Author,Date,Region,Sentence,translation,Score
Brunetto Latini,1260-61,fior.,"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno","Quella guerra era ben fatta, e l'opera che fece etc. D'altra parte, Aiaces era un cavaliere franco e prodi all'arma, ma non era pieno di grande saggezza.",4
Bono Giamboni,1292,fior.,"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.","Crudele, come dice la legge, la vendetta è di tutte le colpe e a nessuno cavallo perdoni che pecca.",5
Valerio Massimo (red. V1,1336,fior.,"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.","Non era altra forza d'animo quella che lo fece nato Ponzio Aufidiano, cavaliere romano.",4
Lucano volg. (ed. Marinoni),1330/40,prat.,"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.","Se questo piace a tutti e se il tempo ha bisogno di avere Pompeio come cavalieri e non come compagno, non riterrò più i miei fati.",3
Brunetto Latini,1260-61,fior.,"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.","L'ufficio di questa arte pare che sia dire apertamente per far credere, finalità è far credere per dirlo.",4
Simintendi,1333,tosc.,Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare,Ecco e molti ventipiovoli cadono delle nuvole ferme; e potresti credere che tutto il cielo cade nel mare.,4
Agostino da Scarperia (?),1390,tosc.,"Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti.","Chiunque ora spera che ciò che è chiaro a questi che non vogliono ancora credere in Cristo, già lo hanno visto con noi, e perché non possono negare, gridano di denti.",3
Bono Giamboni,1292,fior.,I vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.,I vendetta dei morti e la pressione dei vivi crearono la frode di un feroce re.,3
Bart. da San Concordio,1313,tosc.,"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato della impietà verso il mio padre.","Perché, chi ora per le sue alte pretese è feroz e onorato, è afflitto e tormentato da ogni male verso il mio padre.",3
Brunetto Latini,1260-61,fior.,Gli uomini spessamente a stare fermi nella bugia incontra la verità.,Gli uomini spesso restano fermi nella bugia incontra la verità.,2
