Author,Date,Region,Sentence,translation,Score
Brunetto Latini,1260-61,fior.,"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno","Quella guerra fu condotta bene e l'opera fu compiuta come previsto. Dall'altra parte Aiace era un cavaliere franco e valoroso nel combattimento, molto più, ma non era pieno di grande intelligenza.",5
Bono Giamboni,1292,fior.,"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.","Crudele, si vendica di tutte le colpe come prescrive la legge, e non perdoni a nessun cavaliere che pecca.",5
Valerio Massimo (red. V1,1336,fior.,"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.","Ponzio Aufidiano, romano cavaliere, non era dotato di altro vigore d'animo.",5
Lucano volg. (ed. Marinoni),1330/40,prat.,"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.","«Se questo piace a tutti e se il tempo ha bisogno di avere Pompeo come cavallo e non come compagno, non considererò più le sorti.»

(Note: I've preserved the original meaning and translated it into Modern Italian)",5
Brunetto Latini,1260-61,fior.,"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.","«Sembrerebbe che questo mestiere consista nel fingere la convinzione affinché gli altri credano, e il fine è convincere gli altri attraverso l'espressione.»

(Note: I tried to preserve the original meaning while translating into modern Italian)",5
Simintendi,1333,tosc.,Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare,"«Ecco che gravi nubi cadono dalle nebbie decise; e sembrava impossibile che tutto il cielo si riversasse nel mare.»

(Note: I've preserved the original meaning and tone of the archaic Italian sentence, while translating it into modern Italian.)",4
Agostino da Scarperia (?),1390,tosc.,"Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti.","Però, coloro che ancora non credono in Cristo, ormai capiscono di starci vicini e, essendo costretti a riconoscerlo, manifestano la loro insoddisfazione con smorfie.",4
Bono Giamboni,1292,fior.,I vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.,«Le pratiche dei defunti e le pressioni dei viventi hanno portato alla menzogna di un re crudelmente avido».,5
Bart. da San Concordio,1313,tosc.,"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato della impietà verso il mio padre.","Affinché coloro che attualmente, a causa delle loro gravi colpe, sono crudeli e dignitosi, essi siano colpiti da ogni male per la loro impia condotta verso mio padre.

(Note: I've tried to preserve the original meaning and tone of the sentence, while translating it into modern Italian.)",4
Brunetto Latini,1260-61,fior.,Gli uomini spessamente a stare fermi nella bugia incontra la verità.,Gli uomini spesso incontrano la verità solo dopo aver resistito alla menzogna.,4
