Author,Date,Region,Sentence,translation,Score
Brunetto Latini,1260-61,fior.,"Et se l' occhio è nobile membro del corpo dell' uomo, dunque la salutazione è nobile parte della pistola, c' altressì allumina tutta la lettera come l' occhio allumina l' uomo.","Se gli occhi sono un membro nobile del corpo umano, la saluti è una parte nobile della pistola: come gli occhi illuminano l'uomo, la saluti illumina la lettera.",4
Bono Giamboni,1292,fior.,"Tarentini, i quali erano nati di quegli di Lacedemonia et facta da lloro nobile cittade de' Greci.","I Tarantini, nati di Lacedemonia e fondati dai loro nobili cittadini greci.",3
Fatti de' Romani (H+R),1313,fior.,"Ulecois, ebe un uomo rico e nobile: Orgentore fue chiamato per nome.",Ulecois era un uomo ricco e nobile: Orgentore era chiamato per nome.,5
Valerio Massimo (red. Va),1336,tosc.,"però che, sse nobile cosa e alta è abatte il nimico, ampoi nonn è meno laudabile sapere avere misiricordia","Tuttavia, se nobile cosa e alta è abbattuta il nemico, non è meno lodevole sapere avere misericordia.",3
Bono Giamboni,1292,fior.,"Alexandri, ciò è il genero e 'l figliuolo, da Phausonia, gentile iovane di Macedonia, stando in uno luogo strecto sanza guardia, fue morto.","Alessandro, questo è il genero e il fratello, da Phausonia, gentiluomo giovane di Macedonia, stava in un luogo stretto senza guardia, fu morto.",4
Grazia di Meo,1343,tosc.,"Alchuno è riccho e gentile, ma lamentasi che vorebbe avere altra moglie che quella ch'egli à.","Alchuno è ricco e gentile, ma si lamentò di avere un'altra moglie di quella che ne ha.",2
Zanobi da Strada,1361,tosc.,"Pietro, essendogli mostrato in figura il populo Gentile, sì gli fu detto: ammazza, e mangia","Pietro, comegli mostrato in figura il popolo Gentile, sì gli fu detto: uccidi e mangia.",2
Declamazioni di Seneca,1392,tosc.,"pregollo che lo liberasse di quella obbligazione, in che egli l' aveva lasciato ubbligato. El gentile uomo assentì, e liberollo, e fecene carta.","Prego di liberarlo da quella obbligazione, in cui l'aveva lasciato legato. Il gentile uomo acconsò, e lo liberò, facendo una carta.",2
Giovanni da San Miniato,1415,tosc.,"L'oro verrà dall'Aquilone. Che figuriamo noi per l'Aquilone, se non il populo Gentile congelato dal freddo del peccato, il qual populo tenne sotto il giogo della sua tirannia","L'oro arriva dall'Aquila. Che figure abbiamo noi verso l'Aquila, se non il popolo dei Genti congelati dal freddo del peccato, che tenne sotto il giogo della sua tirannia.",3
Prima catilinaria volg. (red. A),1294,fior.,"sia in mezzo tra me e te: con noi non puo' tu già più lungamente dimorare, ch'io non lo sofferrò e non lo lascerò.","Sia anche nel mezzo tra me e te: non potrai dimorare più a lungo con noi, perché non lo soffermerò e non lo lascerò.",3

