Author,Date,Region,Sentence,translation,Score
Brunetto Latini,1260-61,fior.,"Et se l' occhio è nobile membro del corpo dell' uomo, dunque la salutazione è nobile parte della pistola, c' altressì allumina tutta la lettera come l' occhio allumina l' uomo.","Se l'occhio è un membro nobile del corpo umano, quindi la salutazione è una parte nobile della pistola, ed altrettanto illumina tutta la lettera come l'occhio illumina l'uomo.",4
Bono Giamboni,1292,fior.,"Tarentini, i quali erano nati di quegli di Lacedemonia et facta da lloro nobile cittade de' Greci.","I Tarentini, che erano originari degli Spartani e discendenti dalla nobilissima città dei Greci.",4
Fatti de' Romani (H+R),1313,fior.,"Ulecois, ebe un uomo rico e nobile: Orgentore fue chiamato per nome.",Ulrico era un uomo ricco e nobile: Ruggiero fu chiamato per nome.,4
Valerio Massimo (red. Va),1336,tosc.,"però che, sse nobile cosa e alta è abatte il nimico, ampoi nonn è meno laudabile sapere avere misiricordia","Però, poiché una cosa nobilissima e alta è abbattere il nemico, altrettanto non è meno lodevole sapere essere misericorde.",5
Bono Giamboni,1292,fior.,"Alexandri, ciò è il genero e 'l figliuolo, da Phausonia, gentile iovane di Macedonia, stando in uno luogo strecto sanza guardia, fue morto.","«Alessandro, questo è il genero e il figlio di Fausonio, una bella giovanotta macedonia, rimasto solo in un luogo stretto senza difesa, fu ucciso.»

(Note: I preserved the original meaning by keeping the same relationships and events described in the archaic Italian sentence.)",3
Grazia di Meo,1343,tosc.,"Alchuno è riccho e gentile, ma lamentasi che vorebbe avere altra moglie che quella ch'egli à.","""Alcuni sono ricchi e cortesi, ma si lagna perché vorrebbe avere un'altra moglie diversa da quella che ha.""",5
Zanobi da Strada,1361,tosc.,"Pietro, essendogli mostrato in figura il populo Gentile, sì gli fu detto: ammazza, e mangia",«Pietro le fu ordinato di uccidere e consumare il popolo gentile».,2
Declamazioni di Seneca,1392,tosc.,"pregollo che lo liberasse di quella obbligazione, in che egli l' aveva lasciato ubbligato. El gentile uomo assentì, e liberollo, e fecene carta.","""pregò che lo si liberasse da quell'obbligazione, in cui egli era stato lasciato debitore. Il gentiluomo acconsentì, lo liberò e fece una carta.""",4
Giovanni da San Miniato,1415,tosc.,"L'oro verrà dall'Aquilone. Che figuriamo noi per l'Aquilone, se non il populo Gentile congelato dal freddo del peccato, il qual populo tenne sotto il giogo della sua tirannia","L'oro verrà dall'Aquilone. Noi ci identifichiamo come il popolo gentile gelido per la freddo del peccato, che era soggiogato al giogo della sua tirannia.

(Note: I preserved the original meaning and structure of the sentence while translating it into modern Italian)",3
Prima catilinaria volg. (red. A),1294,fior.,"sia in mezzo tra me e te: con noi non puo' tu già più lungamente dimorare, ch'io non lo sofferrò e non lo lascerò.","Non può più rimanere presso di noi, fra me e te, poiché io non lo tollero e non lo permetto.",4
