Sentence,Translation,Score
"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno","""Quella guerra fu condotta bene, e l'opera fu compiuta come previsto. Dall'altra parte, Aiaces era un cavaliere francese e prode nell'arme, di gran guisa, ma non era pieno di grande senno.""",4
"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.","Crudele, e si vendica di tutte le colpe, come dice la legge, e a nessun cavaliere perdonare che pecci.",3
"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.","Ponzio Aufidiano, romano cavaliere, non era dotato di altro vigore d'animo.",5
"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.","Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.",2
"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.","L'arte di questo ufficio sembra essere detto specificamente per far credere, il fine è far credere per la parola.",3
Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare,"Ecco, le nuvole si stanno disperdendo e sembra che il cielo stia cadendo nel mare.",3
"Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti.","Però che or chi spererebbe quello che èiandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti.",2
I vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.,I vendimenti dei morti e le pressioni dei vivi hanno portato alla truffa di un crudele re.,5
"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato della impietà verso il mio padre.","Perché quegli, che ora per le sue grandi virtù è feroce e onorevole, egli d'ogni male afflitto e tormentato dalla impietà verso il mio padre.",2
Gli uomini spessamente a stare fermi nella bugia incontra la verità.,"Gli uomini, spesso, si trovano di fronte alla verità quando si trovano in una bugia.",4
"Marco Cornelio ch'era de' dieci compagni, studiosamente  si riservò di parlare all'ultimo.","Marco Cornelio, uno dei dieci compagni, decise di parlare all'ultimo.",4
cose ch'io sapeva che erano fatte in Italia.,cose che io sapevo essere fatte in Italia.,5
Corbio nipote d' Ortensio menò sua vita più bassa e più viziosa,"Corbio, la nipote di Ortensio, condusse una vita più bassa e più viziata.",3
"Altressì uno amante chiamando merzé alla sua donna dice parole e ragioni molte, et ella si difende in suo dire.","""Inoltre, un amante chiamando misericordia alla sua donna dice parole e ragioni molte, e lei si difende nel suo discorso.""",4
"Io mi ricordo (ch. 347) che essendo adirato scapigliai la mia donna. Ohi, quanti dì questa ira mi tolse!","Io ricordo (ch. 347) che essendo arrabbiato ho scagliato la mia donna. Oh, quanti giorni questa rabbia mi ha tolto!",2
colui del quale tu tti solevi dolere ch' era amante della tua donna;,"""colui del quale tu ti solevi dolore, che era amante della tua donna""",3
"Ma no sapeano già le nomora di coloro dela congiurazione, ché la donna no nominava già li nomi.","Ma non sapevano ancora i nomi delle persone della cospirazione, perché la donna non aveva ancora rivelato i loro nomi.",5
"Creti?  Certo quand'elli si mosse, elli ti dixe: ""O fedele mia donna, fa' che in mio luogo ti sia racomandato il nostro hoste troiano"".","Creti?  Certo quand'elli si mosse, elli ti dixe: ""O fedele mia donna, fa' che in mio luogo ti sia raccomandato il nostro hoste troiano"".",4
"A Milano fue ripressa la malvagità d' una donna in simile bugìa, nel tempo medesimo di questo signore della republica, in questo modo: ","A Milano fu repressa la malvagità d' una donna in simile bugìa, nel tempo medesimo di questo signore della repubblica, in questo modo:",4
