Author,Date,Region,Sentence,translation,Score
Brunetto Latini,1260-61,fior.,"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno","Quel' guerra era davvero felice perché... D'altra parte, Aiaces era un cavaliero franco e bravo all'arma, di grande Plusieurs, ma non era pieno di grande saggezza.",2
Bono Giamboni,1292,fior.,"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.",La vendetta è crudele e la legge la prevede. Nessun cavalieri che pecca esca Parmi i suoi nemici.,3
Valerio Massimo (red. V1,1336,fior.,"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.","Non aveva altra scelta di non essere nato a Ponzio Aufidiano, cavaliere romano.",2
Lucano volg. (ed. Marinoni),1330/40,prat.,"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.","Se questo ti piace a tutti e se il tempo ha bisogno di avere Pompeio come cavalieri e non come compagno, non ripeterò più i lavori.",2
Brunetto Latini,1260-61,fior.,"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.","In questo caso, la frase significa: ""Il lavoro di questa arte sembra essere solo per far credere, e la sua scopo è proprio far credere per dirlo.""",4
Simintendi,1333,tosc.,Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare,Ecco e i venti pitano molto alte nuvole; e potresti credere che tutto il cielo cade nel mare.,3
Agostino da Scarperia (?),1390,tosc.,"Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti.","Cependant, chi ci spererebbe che quelli che non vogliono ancora credere in Cristo, già l'hanno visto con noi, e perché non possono negare, gridano di denti.",3
Bono Giamboni,1292,fior.,I vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.,I vendetta dei morti e la pressione dei vivi crearono la folla di un feroce re.,4
Bart. da San Concordio,1313,tosc.,"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato della impietà verso il mio padre.","Poiché ora per la sua grande dignità è feroz e onorabile, è afflitto e tormentato dalla sua impietà verso il mio padre.",3
Brunetto Latini,1260-61,fior.,Gli uomini spessamente a stare fermi nella bugia incontra la verità.,Gli uomini spesso restano fermi nella bugia incontrano la verità.,3
Brunetto Latini,1260-61,fior.,"Et se l' occhio è nobile membro del corpo dell' uomo, dunque la salutazione è nobile parte della pistola, c' altressì allumina tutta la lettera come l' occhio allumina l' uomo.","Se gli occhi sono organi nobili del corpo umano, la saluto è una parte nobile della pistola: ne è chiaro che illumina tutto come gli occhi illuminano l'uomo.",3
Bono Giamboni,1292,fior.,"Tarentini, i quali erano nati di quegli di Lacedemonia et facta da lloro nobile cittade de' Greci.","I Tarantini, nati di Lacedemonia e fondati dai loro nobili centri greci.",3
Fatti de' Romani (H+R),1313,fior.,"Ulecois, ebe un uomo rico e nobile: Orgentore fue chiamato per nome.",Uleco era un uomo ricco e nobile: Orgentore era chiamato da nome.,3
Valerio Massimo (red. Va),1336,tosc.,"però che, sse nobile cosa e alta è abatte il nimico, ampoi nonn è meno laudabile sapere avere misiricordia","Tuttavia, anche se nobile azioni e azioni alte sono accomunate da abbassare l'avversario, non è meno lodevole sapere avere un'ampia e generosa pietà.",3
Bono Giamboni,1292,fior.,"Alexandri, ciò è il genero e 'l figliuolo, da Phausonia, gentile iovane di Macedonia, stando in uno luogo strecto sanza guardia, fue morto.","Alessandro, questo è il genero e il fratello, da Phausonia, gentiluomo giovane di Macedonia, stava in un luogo stretto senza guardia, fu morto.",3
Grazia di Meo,1343,tosc.,"Alchuno è riccho e gentile, ma lamentasi che vorebbe avere altra moglie che quella ch'egli à.","Un uomo è ricco e gentile, ma lamenta che sarebbe avere un'altra moglie di cui quello ha.",3
Zanobi da Strada,1361,tosc.,"Pietro, essendogli mostrato in figura il populo Gentile, sì gli fu detto: ammazza, e mangia","Pietro, essendogli mostrato in figura il popolo Gentile, sì gli fu detto: uccidi e mangia.",3
Declamazioni di Seneca,1392,tosc.,"pregollo che lo liberasse di quella obbligazione, in che egli l' aveva lasciato ubbligato. El gentile uomo assentì, e liberollo, e fecene carta.","Si pregnava che lo liberasse da quella obbligazione, in cui l'aveva lasciato obbligato. Il gentile uomo assentì, e lo liberò, facendogli la carta.",3
Giovanni da San Miniato,1415,tosc.,"L'oro verrà dall'Aquilone. Che figuriamo noi per l'Aquilone, se non il populo Gentile congelato dal freddo del peccato, il qual populo tenne sotto il giogo della sua tirannia","L'oro sarebbe dall'Aquila. Che ne diciamo dell'Aquila, se non il popolo dei gentili congelati dalla fredda del peccato, il popolo che ha sotto il suo giogo la sua tirannia.",3
Prima catilinaria volg. (red. A),1294,fior.,"sia in mezzo tra me e te: con noi non puo' tu già più lungamente dimorare, ch'io non lo sofferrò e non lo lascerò.",Sei già troppo tempo qui con noi. Non lo sopportareò e non lo lascerò.,2
