Author,Date,Region,Sentence,translation,Score
Brunetto Latini,1260-61,fior.,"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno","Quella guerra era stata fatta bene per motivi diversi. Dall'altra parte, Aiace era un cavaliere francese e valoroso nell'arte della guerra, in grado molto elevato, ma non era ricco di grande intelligenza.

Note: I translated ""prode"" as ""valoroso"", which is the modern Italian equivalent of ""cavaliere prode"" (a chivalrous knight).",5.0
Bono Giamboni,1292,fior.,"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.","Crudele e di tutte le colpe prenda vendetta, come stabilisce la legge, e non perdoni a nessun cavallo o cavaliere che pecca.",4.0
Valerio Massimo (red. V1,1336,fior.,"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.","Non è stato adornato da un'anima più forte di quella di Poncio Aufidiano, cavalieri romano.",3.0
Lucano volg. (ed. Marinoni),1330/40,prat.,"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.","Se questo piace a tutti e se il tempo ha bisogno di avere Pompeo come cavaliere e non come compagno, non riterò più i fatti.",5.0
Brunetto Latini,1260-61,fior.,"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.","Esemplifico quest'arte sembra essere esprimere senza intenti nascosti per convincere, e il fine è convincere attraverso l'espressione.

(Note: Archaic Italian is a dialect that existed from the 12th to the 15th century. The translation I provided is in Modern Italian, which is the standard form of the language used today.)",4.0
Simintendi,1333,tosc.,Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare,Ecco i grandi nubi cariche di nebbia si abbassano dalle regioni decise; e potresti pensare che tutto il cielo cadesse sul mare.,5.0
Agostino da Scarperia (?),1390,tosc.,"Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti.","Tuttavia coloro che nemmeno questi che non vogliono ancora credere in Cristo, già vedono con noi e non possono negarlo, lo stanno criticando.",5.0
Bono Giamboni,1292,fior.,I vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.,Le speculazioni dei morti e le pressioni dei vivi crearono la corruzione di un crudele re.,5.0
Bart. da San Concordio,1313,tosc.,"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato della impietà verso il mio padre.","Affinché colui che, a causa delle sue gravi colpe, è crudele e nobile, lui soffre di ogni male e si sente tormentato per la sacrilega offesa rivolta al mio padre.",5.0
Brunetto Latini,1260-61,fior.,Gli uomini spessamente a stare fermi nella bugia incontra la verità.,Gli uomini tendono spesso a trovare la verità quando si fermano a dire la bugia.,5.0
1260-61,fior.,"Et se l' occhio è nobile membro del corpo dell' uomo, dunque la salutazione è nobile parte della pistola, c' altressì allumina tutta la lettera come l' occhio allumina l' uomo.","E se l'occhio è un membro nobile del corpo dell'uomo, quindi la salva è una parte nobile della pistola; altrettanto, illuminare tutta la lettera come l'occhio illumina l'uomo.",,4.0
1292,fior.,"Tarentini, i quali erano nati di quegli di Lacedemonia et facta da lloro nobile cittade de' Greci.","I Tarentini, nati da quelli della Lacedonia e figli della nobilissima città greca.",4.0,
1313,fior.,"Ulecois, ebe un uomo rico e nobile: Orgentore fue chiamato per nome.",Era un uomo ricco e nobile: Orlando fu chiamato per nome.,3.0,
1336,tosc.,"però che, sse nobile cosa e alta è abatte il nimico, ampoi nonn è meno laudabile sapere avere misiricordia","Però, quando qualcosa o qualcuno è caduto per mano nemica, non è minore merito mostrare compassione.",3.0,
1292,fior.,"Alexandri, ciò è il genero e 'l figliuolo, da Phausonia, gentile iovane di Macedonia, stando in uno luogo strecto sanza guardia, fue morto.","Alexandri, questo è il genero e il figlio, dalla nobilissima Phausonia, gentile giovane macedone, stando in un luogo stretto senza guardia, fu ucciso.",5.0,
1343,tosc.,"Alchuno è riccho e gentile, ma lamentasi che vorebbe avere altra moglie che quella ch'egli à.","Nessuno è ricco e gentile, ma si lagna di aver voluto una moglie diversa da quella che ha.",4.0,
1361,tosc.,"Pietro, essendogli mostrato in figura il populo Gentile, sì gli fu detto: ammazza, e mangia","Pietro, mostrando le figure del popolo gentile, gli fu detto: ""ammazza e mangia"".",3.0,
1392,tosc.,"pregollo che lo liberasse di quella obbligazione, in che egli l' aveva lasciato ubbligato. El gentile uomo assentì, e liberollo, e fecene carta.","Lo sollevò da quell'obbligo, nel quale era stato obbligato. Il gentiluomo acconsentì, lo liberò e ne fece atto scritto.",4.0,
1415,tosc.,"L'oro verrà dall'Aquilone. Che figuriamo noi per l'Aquilone, se non il populo Gentile congelato dal freddo del peccato, il qual populo tenne sotto il giogo della sua tirannia","L'oro verrà dal Nord. Che figuriamoci noi per il Nord, se non un popolo Gentile congelato dal freddo del peccato, un popolo che tenne sotto il giogo della sua tirannia.

(Note: ""Aquilone"" is an archaic term for the north wind or direction, equivalent to modern Italian ""Nord"".)",4.0,
1294,fior.,"sia in mezzo tra me e te: con noi non puo' tu già più lungamente dimorare, ch'io non lo sofferrò e non lo lascerò.","Non puoi più restare qui con noi, finché io non ti esilio e non ti impedisco.

(Note: The original sentence is quite formal and poetic, so I tried to preserve its tone while translating it into Modern Italian. However, please keep in mind that the translation may not be exact or word-for-word.)",4.0,
