Author,Date,Region,Sentence,translation,Score
Brunetto Latini,1260-61,fior.,"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno","Quella guerra ben conclusa ebbe il suo compimento perché... Dall'altra parte, Aiace era un cavaliere franco e valoroso con la spada, molto bravo, ma non era dotato di grande intelligenza.,

Note: I've taken some liberties with the translation to ensure that it flows well in modern Italian while preserving the original meaning. The phrase ""di gran guisa"" is a 13th-century expression equivalent to ""molto bravo"" or ""very skilled"", and I've replaced it with the more contemporary phrase ""molto bravo"".",5
Bono Giamboni,1292,fior.,"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.","Crudele, e prendi vendetta per ogni colpa, come richiede la legge, e nessun cavaliere merita perdono se pecca.",5
Valerio Massimo (red. V1,1336,fior.,"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.","Non c'era nessun'altra forza di spirito che decorasse Ponzo Aufidiano, cavaliere romano.",3
Lucano volg. (ed. Marinoni),1330/40,prat.,"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.","Se questo piace a tutti e il tempo richiede Pompeio come cavaliere e non come compagno, non considererò più gli eventi come fatali.",4
Brunetto Latini,1260-61,fior.,"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.","Sembra che il compito di questo arte consista nell'esprimersi in modo tale da convincere, fine è convincere attraverso l'espressione.",5
Simintendi,1333,tosc.,Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare,Ecco che le masse di nebbia densa calan giù dalle nuvole; e sembra impossibile che tutto il cielo si riversasse nel mare.,5
Agostino da Scarperia (?),1390,tosc.,"Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti.","Ma chi sperrebbe ancora che coloro che non credono in Cristo, pur avendoli accanto a sé, non li riconoscano come suoi, e perciò li sentirebbero protestare contro di sé.",3
Bono Giamboni,1292,fior.,I vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.,La corruzione dei defunti e le pressioni dei viventi fece la frode di un re crudelmente oppressivo.,5
Bart. da San Concordio,1313,tosc.,"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato della impietà verso il mio padre.","Perché colui che ora, a causa delle sue gravi colpe, è crudele e degno di stima, egli soffre di ogni male per essere stato tradito dal mio padre.",4
Brunetto Latini,1260-61,fior.,Gli uomini spessamente a stare fermi nella bugia incontra la verità.,Gli esseri umani spesso incontrano la verità quando si fermano di fronte alla menzogna.,5
