Author,Date,Region,Sentence,translation
Brunetto Latini,1260-61,fior.,"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno","Quella guerra fece un'opera grandiosa perché... Inoltre, d'altra parte, Aiaces era un cavaliero franco e prodillo all'arma, di grande Grâce, ma non era pieno di grande saggezza."
Bono Giamboni,1292,fior.,"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.","Crudele, come dice la legge, si prenda vendetta di tutte le colpe; non si perdona a nessuno dei cavalieri che pecca."
Valerio Massimo (red. V1,1336,fior.,"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.","Non era altra forza d'animo il cui fu nato Ponzio Aufidiano, cavaliere romano."
Lucano volg. (ed. Marinoni),1330/40,prat.,"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.","Se questo piace a tutti e il tempo ha bisogno di avere Pompeio come cavalieri, non lo riterrò più."
Brunetto Latini,1260-61,fior.,"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.","L'ufficio di questa arte pare essere di dire apertamente per far credere, il fine è far credere per dirlo."
Simintendi,1333,tosc.,Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare,"Ecco, e largo ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cade nel mare."
Agostino da Scarperia (?),1390,tosc.,"Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti.","Chiunque ora spera che quelli che non credono ancora in Cristo, già li abbiamo visto con noi, e perché non possono negare, gridano di denti."
Bono Giamboni,1292,fior.,I vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.,I vendimenti dei morti e la pressione dei vivi crearono la frode di un feroce re.
Bart. da San Concordio,1313,tosc.,"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato della impietà verso il mio padre.","Nonostante la sua grande dignità attuale, il quale ora è feroz e onorabile, è afflitto di ogni male e tormentato dall'impieta verso il mio padre."
Brunetto Latini,1260-61,fior.,Gli uomini spessamente a stare fermi nella bugia incontra la verità.,Gli uomini frequentemente restano immobile nella bugia incontra la verità.
Filippo da Santa Croce,1323,tosc.,"Marco Cornelio ch'era de' dieci compagni, studiosamente  si riservò di parlare all'ultimo.","Marco Cornelio, che era tra i dieci compagni, si riservò di parlare all'ultimo."
Cavalca,1330,tosc.,cose ch'io sapeva che erano fatte in Italia.,Cosa sapevo che erano fatte in Italia.
Valerio Massimo (red. V1,1336,fior.,Corbio nipote d' Ortensio menò sua vita più bassa e più viziosa,Il corvo nipote di Ortensio trascorse la sua vita in modo basso e vizioso.
Brunetto Latini,1260-61,fior.,"Altressì uno amante chiamando merzé alla sua donna dice parole e ragioni molte, et ella si difende in suo dire.","Un altro uomo che è un amante le chiude a metà della sua donna e le dice frasi e ragioni tante, e lei risponde."
Arte Am. Ovid. (B),1310/13,fior.,"Io mi ricordo (ch. 347) che essendo adirato scapigliai la mia donna. Ohi, quanti dì questa ira mi tolse!","Mi ricordo che, quando ero arrabbiato, scappai via la mia donna. Oh, quanti giorni di ira mi ha tolto!"
Rim. Am. Ovid. (B),1310/13,fior.,colui del quale tu tti solevi dolere ch' era amante della tua donna;,Lui di cui tu soli di lamentarti era l'amante della tua donna.
Fatti de' Romani (H+R),1313,fior.,"Ma no sapeano già le nomora di coloro dela congiurazione, ché la donna no nominava già li nomi.","Ma non sanno già i nomi di coloro che si uniscono, perché la donna non nominava già i nomi."
Ceffi,1325,fior.,"Creti?  Certo quand'elli si mosse, elli ti dixe: ""O fedele mia donna, fa' che in mio luogo ti sia racomandato il nostro hoste troiano"".","Certo quando egli si muove, mi disse: ""Oh mia donna fedele, facci che in mio posto ti sia raccomandato il nostro ospite troiano""."
Valerio Massimo (red. V1,1336,fior.,"A Milano fue ripressa la malvagità d' una donna in simile bugìa, nel tempo medesimo di questo signore della republica, in questo modo: ","A Milano, la malvagità di una donna fu ripressa in un modo simile a quello del signore della Repubblica in quel tempo."
Filippo da Santa Croce,1323,tosc.,"E lamentavansi dell'iniquità d'Appio, e ripiagnevano la malavventurata beltà della pulcella e la necessità del padre.","E lamentano l'iniquità di Appio, e ripugnano la malaventuria della puella e la necessità del padre."
Brunetto Latini,1294,fior.,"Nella quale battaglia, certo io ebbi sempre ardire di ragionare di pace e sempre mi dolfi che non solamente la pace era schifata,","Ne quale battaglia, certo io ebbi sempre l'ardire di ragionare di pace, e sempre mi dolpi che non solamente la pace era scampata."
Bart. da San Concordio,1313,tosc.,"la seconda suole talora per la grande provedenzia fare timoroso, e la prima per l'ardire rendere altrui matto.","La seconda stella talora causa timore per la grande prova, mentre la prima per l'ardire rende gli altri matti."
Valerio Massimo (red. V1,1336,fior.,Andò nel campo de' Cartaginesi e tutta la legione trasse seco.,Andò nel campo dei Cartaginesi e l'intera legione trasse dietro di sé.
