Author,Date,Region,Sentence,translation
Brunetto Latini,1260-61,fior.,"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno","Quella guerra di cui si è incontrata perché ... Et dall'altro parte, Aiace era un cavaliere francese e possedeva una buona conoscenza di armi, ma non aveva saggio di grande umano."
Bono Giamboni,1292,fior.,"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.","""Durchdürzer, und alle Verbrecher treulich Vorwurf, so wie die Gesetzgebung sagt, und auf Neu' einen Ritter, der nicht zu Recht schlägt."" Translation:

Crudel, und allerlei Dreckstrafen, wie es im Gesetz kämen, und auf Neunem Ritter, der das Verbrechen verlassen hat."
Valerio Massimo (red. V1,1336,fior.,"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.","Niente di altra fortezza di animo da armonizzare Ponzio Aufidiano, reale cavaliere romano.

Tutti uscirono a scongiurare la parola del tempo con queste parole in un mondo che si era trasformato sotto le tondevoli della fanciulla dell'alba.

La mattina di una scena drammatica, il giorno dopo un viaggio in piena notte e il cuore acceso dal desiderio di vedere un nuovo paese.

Le donne d'epoca erano state le belle, la vita, l'amore, l'arte e i grandi progetti.

Ma una volta che si era risolto la guerra, per sempre si era trasformato il mondo come mai non avessero veduto il sole al di sopra dei monti rossi.

Solo una volta da scongiurare la parola del tempo con queste parole in un mondo divenuto misterioso e sommosso, a causa dell'eccesso di sangue nella guerra di un secolo di avventura.

Negli anni successivi, il mondo rimase distrutto da una follia che non potesse essere chiamata amore né armonizzazione né reazione né riflessione né piacere nemmeno.

Poema dal 1983 in due voci a Città del Messico: con la parola dell'anno a fiumi, con la pelle di un uccello a cenare.

Travuci la volta dall'italiano antico all'italiano moderno."
Lucano volg. (ed. Marinoni),1330/40,prat.,"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.","""Si, da noi a tutti e così si preoccupa della nostra fidanzata e di non avere Pompeo per cavaliere e nessuno dovrà più provare alle sue gambe.""

Translation:

If this pleases everyone and the time requires me to be a companion instead of just a buddy, I won't reconsider my actions."
Brunetto Latini,1260-61,fior.,"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.","Con la voce d'arte, si è proposto di dare l'impressione di dire così forza a rendere credente, finché non sia creduto.

Traduito:
Devo scrivere questa arte in modo che sembri dire apertamente per provare il credere. È tutto un'impresa fare credere al resto."
Simintendi,1333,tosc.,via alle mortali onde.  Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare; e che l'enfiato mare salisse nelle contrade,"Via all'inferno dove.     Come e fissati, aerei caipiraci aventi soli spuma e ardenti sole.   Potresti credere che tutta la volta il cielo cadisse nel mare; e che l'enferato mare scosse in direzione della paura.

Trauchi: che cosa si può dire di questo luogo, dove?    Come se non c'erano dei portali alla Terra!    Potresti credere che tutto il cielo cadisse nel mare; e che l'enfiatto mare salisse nella notte."
Agostino da Scarperia (?),1390,tosc.,"si nega. Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti, e","Perché se negano. Tuttavia, quello che è stato fatto è questa cosa che non siamo ancora crediti che ciò che non volevamo credere già vediamo con noi, e perché non potrebbero negare gli denti di noi ed i nostri denti."
Bono Giamboni,1292,fior.,"bestiame, i vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.","C'est le meilleur ami que l'antiquité offre à nos ventes démoralisées et au poids de vivants.

Translation:
Pour vous, les ventes mortuaires et la fraude d'un républicain extratropical ont été le coup d'envoi d'une merveilleuse personne moribonde."
Bart. da San Concordio,1313,tosc.,"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato, della impietà verso il mio padre,","Achchi che lo sbarco, di cui ora per la sua imponente reputazione è serio e onorabile, egli d'ogni malessere e dolente del cuore, di una condotta violenta verso il mio padre,

Trauzando:"
Brunetto Latini,1260-61,fior.,"controversie adusandosi gli uomini spessamente a stare fermi nella bugia incontra la verità, imperseveramento di parlare nutricò arditanza.","Für alle, die an mir stehen und schweigen können, läßt sich eine solche Worteübersetzung durch:

Unbehagente in ihrer Menschlichkeit, schwimmende Eifersucht bei den Stühlen im Bieger, zügelnden Mitleid mit allen, die wussten, wie es ging."
