Sentence,Translation,Vote
"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno","Quella guerra andò a buon fine perché... E d'altra parte Aiaces era un cavalieri franco e prodigo all'arma, di gran passo, ma non era pieno di grande saggezza.",
"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.","Crudele, come da ogni colpa, prendi vendetta, come dice la legge, e a nessuno cavallo perdoni che pecca.",
"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.","Non ebbe altra forza d'animo il Ponzio Aufidiano, cavaliere romano.",
"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.","Se questo piace a tutti e se il tempo ha bisogno di avere Pompeio come cavaliere e non come compagno, non ripeterò più i fatti.",
"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.","L'Ufficio di questa arte sembra essere dire apertamente per far credere, finalità è far credere per dirlo.",
Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare,Ecco e numerosi ventipiovoli cadono delle risolute nebbie; e potresti credere che tutto il cielo cade nel mare.,
"Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti.","Cependant, chi ora spererebbe che ciò che ieri questi che non vogliono ancora credere in Cristo, già li hanno visto con noi. E perché non possono negare, gridano di denti.",
I vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.,The selling of death and the pressure of life made the fury of a fierce king.,
"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato della impietà verso il mio padre.","Perché alcuni, quelli ora grandi e potenti, sono feroci e onorevoli. Egli soffrono di ogni male e tormentati dalla impietà verso il mio padre.",
Gli uomini spessamente a stare fermi nella bugia incontra la verità.,Gli uomini spesso restano immobile nella bugia incontrano la verità.,
"Marco Cornelio ch'era de' dieci compagni, studiosamente  si riservò di parlare all'ultimo.","Marco Cornelio, che aveva dieci compagni, studioso si riservò di parlare all'ultimo.",
cose ch'io sapeva che erano fatte in Italia.,Cosa sapevo che erano fatte in Italia.,
Corbio nipote d' Ortensio menò sua vita più bassa e più viziosa,Corvo figlio di Ortensio trascorse la sua vita più bassa e più dissolute.,
