Author,Date,Region,Sentence,translation,Score
Brunetto Latini,1260-61,fior.,"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno","Quella guerra è stata ben fatta perché etc. E dall'altra parte, Aiaces era un cavaliere francese e prode all'arme, di gran guisa, ma non era pieno di grande senno.",4
Bono Giamboni,1292,fior.,"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.","Cruel, and of all the sins takes revenge, as the law says, and to no knight pardons who sins.",1
Valerio Massimo (red. V1,1336,fior.,"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.","Non d' altra forza d' animo fu ornato Ponzio Aufidiano, romano cavaliere.",4
Lucano volg. (ed. Marinoni),1330/40,prat.,"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.","Se questo piace a tutti e se il tempo ha bisogno di avere Pompeio come cavaliere e non come compagno, non riterrò più i fati.",5
Brunetto Latini,1260-61,fior.,"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.","L'arte di questo ufficio sembra essere quella di dire specificamente per far credere, il fine è far credere per lo dire.",3
Simintendi,1333,tosc.,Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare,Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare,3
Agostino da Scarperia (?),1390,tosc.,"Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti.","""Ma che or chi spererebbe quello che questi che non vogliono ancora credere in Cristo, già vedono con noi, e perché non possono negarlo, stridono colli denti.""",4
Bono Giamboni,1292,fior.,I vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.,La vendita dei morti e la pressione dei vivi ha portato alla truffa di un crudele re.,3
Bart. da San Concordio,1313,tosc.,"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato della impietà verso il mio padre.","""Perché quegli, che ora per le sue grandi virtù è feroce e onorevole, egli d'ogni male afflitto e tormentato dalla impietà verso il mio padre.""",5
Brunetto Latini,1260-61,fior.,Gli uomini spessamente a stare fermi nella bugia incontra la verità.,"Gli uomini che si trovano spesso in una bugia, incontrano la verità.",5
