Author,Date,Region,Sentence,translation
Brunetto Latini,1260-61,fior.,"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno","""Quella guerra ben fatta l'opera perché etc. Et dall'altra parte Aiaces era uno cavaliere franco e prode all'arme, di gran guisa, ma non era pieno di grande senno."""
Bono Giamboni,1292,fior.,"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.","""Cruel, and takes revenge for all sins, as the law says, and pardons no knight who sins."""
Valerio Massimo (red. V1,1336,fior.,"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.","Non d' altra forza d' animo fu ornato Ponzio Aufidiano, romano cavaliere."
Lucano volg. (ed. Marinoni),1330/40,prat.,"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.","Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati."
Brunetto Latini,1260-61,fior.,"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.","La funzione di questo artista sembra essere quella di dire specificamente per far credere, il fine è far credere per la parola."
Simintendi,1333,tosc.,Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare,"""Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare"""
Agostino da Scarperia (?),1390,tosc.,"Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti.","""Ma chi vorrebbe quello che questi non vogliono ancora credere in Cristo, già li vediamo con noi, e perché non possono negarlo, stridono colli denti."""
Bono Giamboni,1292,fior.,I vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.,La morte e la vita hanno ingannato un crudele re.
Bart. da San Concordio,1313,tosc.,"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato della impietà verso il mio padre.","""Perché lui, che ora per le sue grandi virtù è feroce e onorevole, egli d'ogni male afflitto e tormentato dalla impietà verso il mio padre."""
Brunetto Latini,1260-61,fior.,Gli uomini spessamente a stare fermi nella bugia incontra la verità.,"Gli uomini che si trovano spesso in una falsa situazione, incontrano la verità."
