Author,Date,Region,Sentence,translation,Score
Brunetto Latini,1260-61,fior.,"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno","**Analysis:**

- **Structure:** Complex sentence with two clauses connected by an et.
- **Key words:** quella guerra (that war), cavaliere (knight), franco (free), prode (brave), grande senno (great sense).

**Translation:**

Quella guerra fece molto successo perché... E dall'altra parte Aiaces era un uomo coraggioso e prodigo all'arma, ma non era pieno di grande saggezza.",5
Bono Giamboni,1292,fior.,"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.","**Analysis:**

* The sentence is in the indicative mood.
* The main verb is ""pigli vendetta"" (takes revenge).
* The sentence is structured as follows: subject + auxiliary verb + main verb + complement.


**Key words:**

* Crudele: cruel
* Pigli vendetta: take revenge
* Neuno: none


**Final version:**

Un uomo crudele non perdona a nessuno che ha peccato.",2
Valerio Massimo (red. V1,1336,fior.,"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.","**Analysis:**

* The sentence is in the past tense.
* It is in the indicative mood.
* The sentence structure is subject-verb-complement.

**Key words:**

* Non: not
* d'altra: from another
* forza: force
* animo: horse
* fue: was born
* ornato: born

**Translation:**

Non era di altra forza un cavallo di Roma, Ponzio Aufidiano.",2
Lucano volg. (ed. Marinoni),1330/40,prat.,"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.","**Structure Analysis:**

* The sentence is an imperative mood, expressing a command or request.
* It consists of four clauses connected by conjunctions.
* The main clause is ""non riterrò più i fati,"" which translates to ""I will not hold back any longer.""


**Key Words:**

* *piace* - pleases
* *tempo* - time
* *Pompeio* - Pompey
* *cavaliere* - horse
* *compagno* - companion

**Final Version:**

Se tutti sono d'accordo e il tempo richiede un uomo come Pompey come cavalieri e non come compagno, non lo terrò più in sospeso.",3
Brunetto Latini,1260-61,fior.,"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.","**Structure:**

- The sentence is an inverted sentence structure, with the verb (pare) coming after the subject (Officio).
- The sentence consists of two clauses: the first clause states that the office has the purpose of making people believe, while the second clause explains the purpose of making people believe.


**Key words:**

- Officio: office, duty
- Arte: art, skill
- Dicere: to say, to declare
- Appostatamente: deliberately, intentionally
- Fare credere: to make believe


**Final version:**

L'ufficio di questa arte pare deliberatamente dire per far credere, finalità è far credere per dire.",3
Simintendi,1333,tosc.,Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare,"**Analysis:**

* Structure: The sentence is an archaic poetic style with a complex syntax. It uses extensive alliteration and figurative language.
* Key words: ventipiovoli (wind), risolute (fog), mare (sea)


**Translation:**

""Nubi densa e serre si arrolano su alte montagne di vento; pare che il cielo cade nel mare.""",5
Agostino da Scarperia (?),1390,tosc.,"Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti.","**Structure:**

The sentence is an elliptical conditional sentence with a complex predicate. 

**Key words:**

- **or chi:** whoever
- **spererebbe:** would expect
- **quello:** that
- **eziandio:** indeed
- **questi:** these
- **non vogliono ancora credere in Cristo:** do not want to believe in Christ yet
- **già veggiono con noi:** have already seen with us
- **perché:** because
- **nol possono negare:** cannot deny
- **stridono colli denti:** make their teeth chatter

**Final version:**

Chiunque si aspetterebbe che qualcuno non crede ancora in Cristo, già lo hanno visto con noi. Perché non possono negare la verità, gridano di denti.",3
Bono Giamboni,1292,fior.,I vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.,"**Analysis:**

- **Structure:** The sentence is in the indicative mood, with a passive voice construction.
- **Key words:** `vendimenti de' morti` (sales of death), `presure de' vivi` (pressure of life), `frode` (trouble), `feroce` (violent).


**Translation:**

Le vendite di morti e la pressione della vita crearono un grande disordine.",2
Bart. da San Concordio,1313,tosc.,"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato della impietà verso il mio padre.","**Structure Analysis:**

- The sentence is in the accusative mood.
- The subject is ""quelcoché"", which is an archaic form of ""qualche"".
- The main verb is ""essere"" (to be).
- There are several adjectives and nouns in the sentence.

**Key Words:**

- ""quelcoché"": some, anyone
- ""feroce"": fierce
- ""onorevole"": honorable
- ""afflitto"": afflicted
- ""tormentato"": tormented

**Final Version:**

Cerchiando chiunque sia, ora per la sua grande regale, è feroz e onorabile, è afflitto e tormentato dall'impieta verso il mio padre.",3
Brunetto Latini,1260-61,fior.,Gli uomini spessamente a stare fermi nella bugia incontra la verità.,"**Structure Analysis:**

- The sentence is composed of three parts: subject (gli uomini), verb (spessamente), and predicate (a stare fermi nella bugia incontra la verità).
- The verb ""spessamente"" means ""often,"" while ""stare fermi nella bugia"" means ""remaining steadfast in one's beliefs.""
- The predicate states that when people remain firm in their beliefs, they encounter the truth.


**Key Words:**

- uomini (men)
- stare fermi nella bugia (to remain steadfast in one's beliefs)
- incontra (meets)
- verità (truth)


**Final Version:**

Gli uomini spesso restano fermi nei propri pensieri e incontrano la verità."
