Author,Date,Region,Sentence,translation
Brunetto Latini,1260-61,fior.,"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno","Quel' guerra era davvero felice perché... D'altra parte, Aiaces era un cavaliero franco e bravo all'arma, di grande Plusieurs, ma non era pieno di grande saggezza."
Bono Giamboni,1292,fior.,"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.",La vendetta è crudele e la legge la prevede. Nessun cavalieri che pecca esca Parmi i suoi nemici.
Valerio Massimo (red. V1,1336,fior.,"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.","Non aveva altra scelta di non essere nato a Ponzio Aufidiano, cavaliere romano."
Lucano volg. (ed. Marinoni),1330/40,prat.,"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.","Se questo ti piace a tutti e se il tempo ha bisogno di avere Pompeio come cavalieri e non come compagno, non ripeterò più i lavori."
Brunetto Latini,1260-61,fior.,"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.","In questo caso, la frase significa: ""Il lavoro di questa arte sembra essere solo per far credere, e la sua scopo è proprio far credere per dirlo."""
Simintendi,1333,tosc.,Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare,Ecco e i venti pitano molto alte nuvole; e potresti credere che tutto il cielo cade nel mare.
Agostino da Scarperia (?),1390,tosc.,"Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti.","Cependant, chi ci spererebbe che quelli che non vogliono ancora credere in Cristo, già l'hanno visto con noi, e perché non possono negare, gridano di denti."
Bono Giamboni,1292,fior.,I vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.,I vendetta dei morti e la pressione dei vivi crearono la folla di un feroce re.
Bart. da San Concordio,1313,tosc.,"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato della impietà verso il mio padre.","Poiché ora per la sua grande dignità è feroz e onorabile, è afflitto e tormentato dalla sua impietà verso il mio padre."
Brunetto Latini,1260-61,fior.,Gli uomini spessamente a stare fermi nella bugia incontra la verità.,Gli uomini spesso restano fermi nella bugia incontrano la verità.
