Author,Date,Region,Sentence,translation
Brunetto Latini,1260-61,fior.,"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno","Quella guerra era stata fatta bene per motivi diversi. Dall'altra parte, Aiace era un cavaliere francese e valoroso nell'arte della guerra, in grado molto elevato, ma non era ricco di grande intelligenza.

Note: I translated ""prode"" as ""valoroso"", which is the modern Italian equivalent of ""cavaliere prode"" (a chivalrous knight)."
Bono Giamboni,1292,fior.,"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.","Crudele e di tutte le colpe prenda vendetta, come stabilisce la legge, e non perdoni a nessun cavallo o cavaliere che pecca."
Valerio Massimo (red. V1,1336,fior.,"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.","Non è stato adornato da un'anima più forte di quella di Poncio Aufidiano, cavalieri romano."
Lucano volg. (ed. Marinoni),1330/40,prat.,"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.","Se questo piace a tutti e se il tempo ha bisogno di avere Pompeo come cavaliere e non come compagno, non riterò più i fatti."
Brunetto Latini,1260-61,fior.,"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.","Esemplifico quest'arte sembra essere esprimere senza intenti nascosti per convincere, e il fine è convincere attraverso l'espressione.

(Note: Archaic Italian is a dialect that existed from the 12th to the 15th century. The translation I provided is in Modern Italian, which is the standard form of the language used today.)"
Simintendi,1333,tosc.,Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare,Ecco i grandi nubi cariche di nebbia si abbassano dalle regioni decise; e potresti pensare che tutto il cielo cadesse sul mare.
Agostino da Scarperia (?),1390,tosc.,"Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti.","Tuttavia coloro che nemmeno questi che non vogliono ancora credere in Cristo, già vedono con noi e non possono negarlo, lo stanno criticando."
Bono Giamboni,1292,fior.,I vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.,Le speculazioni dei morti e le pressioni dei vivi crearono la corruzione di un crudele re.
Bart. da San Concordio,1313,tosc.,"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato della impietà verso il mio padre.","Affinché colui che, a causa delle sue gravi colpe, è crudele e nobile, lui soffre di ogni male e si sente tormentato per la sacrilega offesa rivolta al mio padre."
Brunetto Latini,1260-61,fior.,Gli uomini spessamente a stare fermi nella bugia incontra la verità.,Gli uomini tendono spesso a trovare la verità quando si fermano a dire la bugia.
