Author,Date,Region,Sentence,translation,score
Brunetto Latini,1260-61,fior.,"Et se l' occhio è nobile membro del corpo dell' uomo, dunque la salutazione è nobile parte della pistola, c' altressì allumina tutta la lettera come l' occhio allumina l' uomo.","Se gli occhi sono organi nobili del corpo umano, la saluti è una parte nobili della pistola. Ciò illumina l'intera lettera come gli occhi illuminano l'uomo.",3
Bono Giamboni,1292,fior.,"Tarentini, i quali erano nati di quegli di Lacedemonia et facta da lloro nobile cittade de' Greci.",I Tarentini erano nati di Lacedemonia e facevano parte delle nobili città greche.,3
Fatti de' Romani (H+R),1313,fior.,"Ulecois, ebe un uomo rico e nobile: Orgentore fue chiamato per nome.",Ulecois era un uomo ricco e nobile: Orgentore era chiamato per nome.,4
Valerio Massimo (red. Va),1336,tosc.,"però che, sse nobile cosa e alta è abatte il nimico, ampoi nonn è meno laudabile sapere avere misiricordia","Cependant, quando nobile cose e alte sono abbattute il nemico, non è meno lodevole sapere avere misericordìa.",2
Bono Giamboni,1292,fior.,"Alexandri, ciò è il genero e 'l figliuolo, da Phausonia, gentile iovane di Macedonia, stando in uno luogo strecto sanza guardia, fue morto.","Alessandro, questo è il genero e il figlio, da Phausonia, gentile giovane di Macedonia, stava in un luogo stretto senza guardia, fu morto.",3
Grazia di Meo,1343,tosc.,"Alchuno è riccho e gentile, ma lamentasi che vorebbe avere altra moglie che quella ch'egli à.","Alchuno è ricco e gentile, ma lamenta che vorrebbe avere un'altra moglie di quella che ha.",2
Zanobi da Strada,1361,tosc.,"Pietro, essendogli mostrato in figura il populo Gentile, sì gli fu detto: ammazza, e mangia","Pietro, essendogli mostrato in figura il popolo Gentile, sì gli fu detto: uccidi e mangia.",2
Declamazioni di Seneca,1392,tosc.,"pregollo che lo liberasse di quella obbligazione, in che egli l' aveva lasciato ubbligato. El gentile uomo assentì, e liberollo, e fecene carta.","Pregolio che lo liberasse di quella obbligazione, in cui l'aveva lasciato obbligato. Il gentile uomo assentì e lo liberò, facendo poi la carta.",2
Giovanni da San Miniato,1415,tosc.,"L'oro verrà dall'Aquilone. Che figuriamo noi per l'Aquilone, se non il populo Gentile congelato dal freddo del peccato, il qual populo tenne sotto il giogo della sua tirannia","L'oro verrà dall'Aquila. Che figurazioni abbiamo noi verso l'Aquila, se non il popolo Gentile congelato dal freddo del peccato, il quale popolo tene sotto il giogo della sua tirannia.",3
Prima catilinaria volg. (red. A),1294,fior.,"sia in mezzo tra me e te: con noi non puo' tu già più lungamente dimorare, ch'io non lo sofferrò e non lo lascerò.",Sei tra me e te: non puoi più rimanere con noi. Non lo soffermerò e non lo lascerò.,2
