Author,Date,Region,Sentence,translation,Score
Brunetto Latini,1260-61,fior.,"Et se l' occhio è nobile membro del corpo dell' uomo, dunque la salutazione è nobile parte della pistola, c' altressì allumina tutta la lettera come l' occhio allumina l' uomo.","**Analysis:**

* The sentence is in the form of a conditional statement, with ""et se l' occhio è nobile membro del corpo dell' uomo"" as the hypothesis and ""dunque la salutazione è nobile parte della pistola, c' altressì allumina tutta la lettera come l' occhio allumina l' uomo"" as the conclusion.
* Key words: occhio (eye), nobile (noble), membro (member), salutazione (salutation), alterra (illuminate).


**Modern Italian:**

Se gli occhi sono organi nobili del corpo umano, la saluto è un tratto nobile della pistola, perché illumina la lettera come un occhio illumina la persona.",3
Bono Giamboni,1292,fior.,"Tarentini, i quali erano nati di quegli di Lacedemonia et facta da lloro nobile cittade de' Greci.","**Analysis:**

* The sentence is in the plural form, referring to the inhabitants of Tarentum.
* The sentence originates from the 13th century and exhibits archaic syntax and vocabulary.
* Key words: Tarentini ( inhabitants of Tarentum), Lacedemonia (a region in ancient Greece), nobile (noble), cittade (city).


**Translation:**

I Tarentini, nati di quei luoghi di Lacedemonia, facevano parte dei nobili centri urbani dei Greci.",4
Fatti de' Romani (H+R),1313,fior.,"Ulecois, ebe un uomo rico e nobile: Orgentore fue chiamato per nome.","**Structure Analysis:**

- The sentence is in the indicative mood.
- It consists of two clauses:
    - The first clause: ""Ulecois, ebe un uomo rico e nobile"" - ""Ulecois was a rich and noble man"".
    - The second clause: ""Orgentore fue chiamato per nome"" - ""Orgentore was called by name"".


**Key Words:**

- Ulecois: Proper name of a person
- rico: Rich
- nobile: Noble
- Orgentore: Proper name of a person


**Final Version:**

Ulecois era un uomo ricco e nobile. Orgentore fu chiamato con il suo nome.",4
Valerio Massimo (red. Va),1336,tosc.,"però che, sse nobile cosa e alta è abatte il nimico, ampoi nonn è meno laudabile sapere avere misiricordia","**Analysis:**

* The sentence is an inverted sentence structure, with the verb ""essere"" (to be) coming after the subject.
* Key words: nobile (noble), cosa (thing), alta (high), abatte (to overcome), nimico (enemy), laudabile (praiseworthy), misiricordia (moderation).

**Modern Italian:**

Tuttavia, se nobile cosa ed alta è abbattuta il nemico, non è meno lodabile sapere avere moderazione.",3
Bono Giamboni,1292,fior.,"Alexandri, ciò è il genero e 'l figliuolo, da Phausonia, gentile iovane di Macedonia, stando in uno luogo strecto sanza guardia, fue morto.","**Structure Analysis:**

* The sentence is in the indicative mood.
* It consists of four clauses connected by conjunctions.
* The sentence is relatively complex due to the presence of two participial phrases and a prepositional phrase.

**Key Words:**

* Alexandri: Alexander
* Phausonia: Phausonia
* gentile: young
* stando: being
* strecto: narrow
* sanza: without
* fue: was killed

**Final Version:**

Alexander, questo è il genero e il figlio, nato a Phausonia, giovane di Macedonia, che si trovava in un luogo stretto senza guardia, fu ucciso.",5
Grazia di Meo,1343,tosc.,"Alchuno è riccho e gentile, ma lamentasi che vorebbe avere altra moglie che quella ch'egli à.","**Analysis:**

* **Structure:** The sentence is in the indicative mood, with a subjective clause (""Alchuno è riccho e gentile"") and an objective clause (""lamentasi..."").
* **Key words:** Alchuno (a name), riccho (rich), gentile (kind), lamentasi (laments).

**Translation:**

Alchuno è ricco e gentile, ma lamenta che vorrebbe avere un'altra moglie di quella che ne ha.",3
Zanobi da Strada,1361,tosc.,"Pietro, essendogli mostrato in figura il populo Gentile, sì gli fu detto: ammazza, e mangia","**Structure Analysis:**

- The sentence consists of two independent clauses.
- The first clause: ""Pietro, essendogli mostrato in figura il populo Gentile"" - Subject (Pietro), auxiliary verb (essendogli), main verb (mostrare) with direct object (il populo Gentile).
- The second clause: "" sì gli fu detto: ammazza, e mangia"" - Modal verb (gli fu detto), direct object (ammazza), and conjunction (e) with another direct object (mangiando).

**Key Words:**

- Pietro: Name of the protagonist.
- Gentile: Foreigners (non-Christians).
- Mostra: To show.
- Ammazza: To kill.
- Mangiando: Eating.


**Final Version:**

Pietro, dopo avergli mostrato in figura il popolo Gentile, gli disse: ""Amazzateli e mangiateli.""",3
Declamazioni di Seneca,1392,tosc.,"pregollo che lo liberasse di quella obbligazione, in che egli l' aveva lasciato ubbligato. El gentile uomo assentì, e liberollo, e fecene carta.","**Analysis:**

- The sentence is in the indicative mood, with a request (pregollo) and a response (el gentile uomo assentì).
- Key words: pregollo (request), obbligazione (obligation), liberollo (freed), fecene carta (made a document).


**Translation:**

""Please release him from that obligation, which he had left him obligated. The gentle man agreed, freed him, and made a document.""",2
Giovanni da San Miniato,1415,tosc.,"L'oro verrà dall'Aquilone. Che figuriamo noi per l'Aquilone, se non il populo Gentile congelato dal freddo del peccato, il qual populo tenne sotto il giogo della sua tirannia","**Structure Analysis:**

* The sentence is complex, consisting of five independent clauses connected by conjunctions.
* The main clause is ""L'oro verrà dall'Aquilone"", which states that gold will come from Aquilone.
* The remaining clauses provide context and explanation regarding the origin of the gold.

**Key Words:**

* Aquilone: a mountain in Tuscany known for its gold deposits.
* Gentile: a people or nation.
* Freddo: cold.
* Piacere: punishment.


**Final Version:**

L'oro proviene dall'Aquilone. Che figureamo noi verso l'Aquilone, se non il popolo Gentile congelato dal freddo della sua tirannia, che ha sotto il suo giogo.",3
Prima catilinaria volg. (red. A),1294,fior.,"sia in mezzo tra me e te: con noi non puo' tu già più lungamente dimorare, ch'io non lo sofferrò e non lo lascerò.","**Analysis:**

* The sentence is in the middle voice, with the subject receiving the action.
* Key words: sia, mezzo, tra, lungamente, sofferrò, lascerò.


**Translation:**

Sia tra me e te: non puoi più dimorare con noi, perché non lo soffermerò e non lo lascerò.",4
