Author,Date,Region,Sentence,translation,score
Brunetto Latini,1260-61,fior.,"Et se l' occhio è nobile membro del corpo dell' uomo, dunque la salutazione è nobile parte della pistola, c' altressì allumina tutta la lettera come l' occhio allumina l' uomo.","Se l'occhio è un membro nobile del corpo umano, la salutazione è una parte nobile della pistola, e l'illuminazione ne è pari alla luce del sole sull'uomo.",2
Bono Giamboni,1292,fior.,"Tarentini, i quali erano nati di quegli di Lacedemonia et facta da lloro nobile cittade de' Greci.",I Tarantini erano nati di quei di Laconia e facevano parte delle nobili città dei Greci.,4
Fatti de' Romani (H+R),1313,fior.,"Ulecois, ebe un uomo rico e nobile: Orgentore fue chiamato per nome.",Ulecois era un uomo ricco e nobile: Orgentore fu chiamato per nome.,5
Valerio Massimo (red. Va),1336,tosc.,"però che, sse nobile cosa e alta è abatte il nimico, ampoi nonn è meno laudabile sapere avere misiricordia","Tuttavia, quando nobile cose e alte sono abbate il nemico, non è meno lodevole sapere avere misericordia.",3
Bono Giamboni,1292,fior.,"Alexandri, ciò è il genero e 'l figliuolo, da Phausonia, gentile iovane di Macedonia, stando in uno luogo strecto sanza guardia, fue morto.","Alessandri, ciò è il genero e il figlio, da Phausonia, gentile giovane di Macedonia, trovandosi in un luogo stretto senza guardia, fu ucciso.",3
Grazia di Meo,1343,tosc.,"Alchuno è riccho e gentile, ma lamentasi che vorebbe avere altra moglie che quella ch'egli à.","Alchuno è ricco e gentile, ma lamentarsi che vorrebbe avere un'altra moglie di quella che ha.",3
Zanobi da Strada,1361,tosc.,"Pietro, essendogli mostrato in figura il populo Gentile, sì gli fu detto: ammazza, e mangia","Pietro, vedendo in figura il popolo Gentile, sì gli fu detto: uccidi, e mangia.",3
Declamazioni di Seneca,1392,tosc.,"pregollo che lo liberasse di quella obbligazione, in che egli l' aveva lasciato ubbligato. El gentile uomo assentì, e liberollo, e fecene carta.","Pregollo chiese che lo liberasse da quella obbligazione, in cui egli l'aveva lasciato obbligato. Il gentile uomo assenti, e lo liberò, e fece la carta.",4
Giovanni da San Miniato,1415,tosc.,"L'oro verrà dall'Aquilone. Che figuriamo noi per l'Aquilone, se non il populo Gentile congelato dal freddo del peccato, il qual populo tenne sotto il giogo della sua tirannia","L'oro verrà dall'Aquilone. Che cosa ci è di noi per l'Aquilone, se non il popolo Gentile congelato dalle frigorie del peccato, il quale tenne sotto il giogo della sua tirannia.",3
Prima catilinaria volg. (red. A),1294,fior.,"sia in mezzo tra me e te: con noi non puo' tu già più lungamente dimorare, ch'io non lo sofferrò e non lo lascerò.","Sia tra me e te: non puoi più restare con noi, perché non lo sopporto e non lo lascerò.",4
