Author,Date,Region,Sentence,translation,Score
Brunetto Latini,1260-61,fior.,"Et se l' occhio è nobile membro del corpo dell' uomo, dunque la salutazione è nobile parte della pistola, c' altressì allumina tutta la lettera come l' occhio allumina l' uomo.","E se l'occhio è un membro nobile del corpo dell'uomo, quindi la salva è una parte nobile della pistola; altrettanto, illuminare tutta la lettera come l'occhio illumina l'uomo.",,4
Bono Giamboni,1292,fior.,"Tarentini, i quali erano nati di quegli di Lacedemonia et facta da lloro nobile cittade de' Greci.","I Tarentini, nati da quelli della Lacedonia e figli della nobilissima città greca.",4
Fatti de' Romani (H+R),1313,fior.,"Ulecois, ebe un uomo rico e nobile: Orgentore fue chiamato per nome.",Era un uomo ricco e nobile: Orlando fu chiamato per nome.,3
Valerio Massimo (red. Va),1336,tosc.,"però che, sse nobile cosa e alta è abatte il nimico, ampoi nonn è meno laudabile sapere avere misiricordia","Però, quando qualcosa o qualcuno è caduto per mano nemica, non è minore merito mostrare compassione.",3
Bono Giamboni,1292,fior.,"Alexandri, ciò è il genero e 'l figliuolo, da Phausonia, gentile iovane di Macedonia, stando in uno luogo strecto sanza guardia, fue morto.","Alexandri, questo è il genero e il figlio, dalla nobilissima Phausonia, gentile giovane macedone, stando in un luogo stretto senza guardia, fu ucciso.",5
Grazia di Meo,1343,tosc.,"Alchuno è riccho e gentile, ma lamentasi che vorebbe avere altra moglie che quella ch'egli à.","Nessuno è ricco e gentile, ma si lagna di aver voluto una moglie diversa da quella che ha.",4
Zanobi da Strada,1361,tosc.,"Pietro, essendogli mostrato in figura il populo Gentile, sì gli fu detto: ammazza, e mangia","Pietro, mostrando le figure del popolo gentile, gli fu detto: ""ammazza e mangia"".",3
Declamazioni di Seneca,1392,tosc.,"pregollo che lo liberasse di quella obbligazione, in che egli l' aveva lasciato ubbligato. El gentile uomo assentì, e liberollo, e fecene carta.","Lo sollevò da quell'obbligo, nel quale era stato obbligato. Il gentiluomo acconsentì, lo liberò e ne fece atto scritto.",4
Giovanni da San Miniato,1415,tosc.,"L'oro verrà dall'Aquilone. Che figuriamo noi per l'Aquilone, se non il populo Gentile congelato dal freddo del peccato, il qual populo tenne sotto il giogo della sua tirannia","L'oro verrà dal Nord. Che figuriamoci noi per il Nord, se non un popolo Gentile congelato dal freddo del peccato, un popolo che tenne sotto il giogo della sua tirannia.

(Note: ""Aquilone"" is an archaic term for the north wind or direction, equivalent to modern Italian ""Nord"".)",4
Prima catilinaria volg. (red. A),1294,fior.,"sia in mezzo tra me e te: con noi non puo' tu già più lungamente dimorare, ch'io non lo sofferrò e non lo lascerò.","Non puoi più restare qui con noi, finché io non ti esilio e non ti impedisco.

(Note: The original sentence is quite formal and poetic, so I tried to preserve its tone while translating it into Modern Italian. However, please keep in mind that the translation may not be exact or word-for-word.)",4
