Author,Date,Region,Sentence,translation,Score,score
Brunetto Latini,1260-61,fior.,"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno","Quella guerra era ben fatta, e l'opera che fece etc. D'altra parte, Aiaces era un cavaliere franco e prodi all'arma, ma non era pieno di grande saggezza.",4.0,
Bono Giamboni,1292,fior.,"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.","Crudele, come dice la legge, la vendetta è di tutte le colpe e a nessuno cavallo perdoni che pecca.",5.0,
Valerio Massimo (red. V1,1336,fior.,"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.","Non era altra forza d'animo quella che lo fece nato Ponzio Aufidiano, cavaliere romano.",4.0,
Lucano volg. (ed. Marinoni),1330/40,prat.,"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.","Se questo piace a tutti e se il tempo ha bisogno di avere Pompeio come cavalieri e non come compagno, non riterrò più i miei fati.",3.0,
Brunetto Latini,1260-61,fior.,"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.","L'ufficio di questa arte pare che sia dire apertamente per far credere, finalità è far credere per dirlo.",4.0,
Simintendi,1333,tosc.,Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare,Ecco e molti ventipiovoli cadono delle nuvole ferme; e potresti credere che tutto il cielo cade nel mare.,4.0,
Agostino da Scarperia (?),1390,tosc.,"Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti.","Chiunque ora spera che ciò che è chiaro a questi che non vogliono ancora credere in Cristo, già lo hanno visto con noi, e perché non possono negare, gridano di denti.",3.0,
Bono Giamboni,1292,fior.,I vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.,I vendetta dei morti e la pressione dei vivi crearono la frode di un feroce re.,3.0,
Bart. da San Concordio,1313,tosc.,"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato della impietà verso il mio padre.","Perché, chi ora per le sue alte pretese è feroz e onorato, è afflitto e tormentato da ogni male verso il mio padre.",3.0,
Brunetto Latini,1260-61,fior.,Gli uomini spessamente a stare fermi nella bugia incontra la verità.,Gli uomini spesso restano fermi nella bugia incontra la verità.,2.0,
Brunetto Latini,1260-61,fior.,"Et se l' occhio è nobile membro del corpo dell' uomo, dunque la salutazione è nobile parte della pistola, c' altressì allumina tutta la lettera come l' occhio allumina l' uomo.","Se gli occhi sono organi nobili del corpo umano, la saluti è una parte nobili della pistola. Ciò illumina l'intera lettera come gli occhi illuminano l'uomo.",,3.0
Bono Giamboni,1292,fior.,"Tarentini, i quali erano nati di quegli di Lacedemonia et facta da lloro nobile cittade de' Greci.",I Tarentini erano nati di Lacedemonia e facevano parte delle nobili città greche.,,3.0
Fatti de' Romani (H+R),1313,fior.,"Ulecois, ebe un uomo rico e nobile: Orgentore fue chiamato per nome.",Ulecois era un uomo ricco e nobile: Orgentore era chiamato per nome.,,4.0
Valerio Massimo (red. Va),1336,tosc.,"però che, sse nobile cosa e alta è abatte il nimico, ampoi nonn è meno laudabile sapere avere misiricordia","Cependant, quando nobile cose e alte sono abbattute il nemico, non è meno lodevole sapere avere misericordìa.",,2.0
Bono Giamboni,1292,fior.,"Alexandri, ciò è il genero e 'l figliuolo, da Phausonia, gentile iovane di Macedonia, stando in uno luogo strecto sanza guardia, fue morto.","Alessandro, questo è il genero e il figlio, da Phausonia, gentile giovane di Macedonia, stava in un luogo stretto senza guardia, fu morto.",,3.0
Grazia di Meo,1343,tosc.,"Alchuno è riccho e gentile, ma lamentasi che vorebbe avere altra moglie che quella ch'egli à.","Alchuno è ricco e gentile, ma lamenta che vorrebbe avere un'altra moglie di quella che ha.",,2.0
Zanobi da Strada,1361,tosc.,"Pietro, essendogli mostrato in figura il populo Gentile, sì gli fu detto: ammazza, e mangia","Pietro, essendogli mostrato in figura il popolo Gentile, sì gli fu detto: uccidi e mangia.",,2.0
Declamazioni di Seneca,1392,tosc.,"pregollo che lo liberasse di quella obbligazione, in che egli l' aveva lasciato ubbligato. El gentile uomo assentì, e liberollo, e fecene carta.","Pregolio che lo liberasse di quella obbligazione, in cui l'aveva lasciato obbligato. Il gentile uomo assentì e lo liberò, facendo poi la carta.",,2.0
Giovanni da San Miniato,1415,tosc.,"L'oro verrà dall'Aquilone. Che figuriamo noi per l'Aquilone, se non il populo Gentile congelato dal freddo del peccato, il qual populo tenne sotto il giogo della sua tirannia","L'oro verrà dall'Aquila. Che figurazioni abbiamo noi verso l'Aquila, se non il popolo Gentile congelato dal freddo del peccato, il quale popolo tene sotto il giogo della sua tirannia.",,3.0
Prima catilinaria volg. (red. A),1294,fior.,"sia in mezzo tra me e te: con noi non puo' tu già più lungamente dimorare, ch'io non lo sofferrò e non lo lascerò.",Sei tra me e te: non puoi più rimanere con noi. Non lo soffermerò e non lo lascerò.,,2.0
