Author,Date,Region,Sentence,translation,Score,score
Brunetto Latini,1260-61,fior.,"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno","Quella guerra ben fatta l'opera perché da una parte c'erano soldati valorosi, mentre dall'altra Aiaces era un cavaliere francese e prode con la spada, ma non aveva grande intelligenza.",5.0,
Bono Giamboni,1292,fior.,"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.","""Crudele è colui che prende vendetta di tutte le colpe, come stabilisce la legge, e a nessun cavaliere perdona chi pecca."",

(Translation: ""Cruel is one who takes revenge for all wrongs, as the law provides, and forgives no knight who sins."")",5.0,
Valerio Massimo (red. V1,1336,fior.,"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.","""Ponzio Aufidiano non era dotato di un carattere più forte dell'animo, era un cavaliere romano.""

(Note: I tried to preserve the original meaning and tone of the sentence while translating it into Modern Italian. The phrase ""non d'altra forza"" is an idiomatic expression in Old Italian that roughly translates to ""not being more robust than..."". In this context, it means that Ponzio Aufidiano didn't have a stronger personality or character.)",4.0,
Lucano volg. (ed. Marinoni),1330/40,prat.,"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.","Se questo piace a tutti e se il tempo ha bisogno di avere Pompeo come cavaliere e non come compagno, non mi considererò più gli dei.",4.0,
Brunetto Latini,1260-61,fior.,"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.","Sembrarebbe farsi credere qualcosa per convincere gli altri a crederci, il vero scopo è convincere gli altri dicendolo.",2.0,
Simintendi,1333,tosc.,Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare,"""Guarda, i temporali poderosi scendono dalle nebbie decise; e ti sembrerebbe che tutta la volta cadesse sul mare""

(Note: I've used a slightly more contemporary tone and vocabulary to make it easier to understand for modern readers.)",5.0,
Agostino da Scarperia (?),1390,tosc.,"Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti.","Però chiunque sperasse in qualcosa che anche questi che non vogliono ancora credere in Cristo, già vedrebbero con noi e non potrebbero negarlo, quindi lo urlerebbero.",4.0,
Bono Giamboni,1292,fior.,I vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.,La corruzione del re tiranno fu causata dalle richieste dei morti e dalle pressioni dei vivi.,5.0,
Bart. da San Concordio,1313,tosc.,"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato della impietà verso il mio padre.","Perché quell'uomo, che a causa delle sue gravi colpe è ora crudele e rispettato, sia liberato da ogni male e sofferenza derivante dalla sua ingiustizia contro il mio padre.",5.0,
Brunetto Latini,1260-61,fior.,Gli uomini spessamente a stare fermi nella bugia incontra la verità.,Gli uomini spesso quando si fermano nella menzogna incontrano la verità.,5.0,
