Author,Date,Region,Sentence,translation,score
Brunetto Latini,1260-61,fior.,"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno","Quel guerriero era molto abile e valoroso, ma non era dotato di grande intelligenza.",5
Bono Giamboni,1292,fior.,"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.","**Sentence Structure:**

* The sentence is an inversion of the standard word order, with the verb (pigli vendetta) coming after the subject (crudele).
* The sentence consists of three parts: the subject, the verb phrase, and a clause expressing the consequence.


**Key Words:**

* Crudele: Cruel
* Pigli vendetta: Take revenge
* Neuno: No one


**Translated Sentence:**

La crudeltà si vendica di tutte le colpe, come dice la legge, e non concede alcuna perdono a nessuno cavaliero che pecca.",3
Valerio Massimo (red. V1,1336,fior.,"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.","**Structure:**

The sentence is in the passive voice and follows the subject-verb-object structure.

**Key Words:**

- **Non d' altra forza d' animo:** without any other force or power
- **ornato:** was born
- **Ponzio Aufidiano:** Ponzio Aufidiano
- **romano cavaliere:** Roman knight

**Translation:**

Non fu mai nato Ponzio Aufidiano, cavaliere romano, senza alcuna altra forza o potere.",4
Lucano volg. (ed. Marinoni),1330/40,prat.,"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.","**Analysis:**

- The sentence is in the indicative mood.
- It uses formal language and archaic syntax.
- The key words are ""se"", ""piace"", ""tempo"", ""Pompeio"", ""cavaliere"", ""compagno"".


**Translation:**

Se questo piace a tutti e se il tempo ha bisogno di avere Pompeio come cavaliero e non come compagno, non riterrò più i fati.",5
Brunetto Latini,1260-61,fior.,"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.","**Translated Sentence:**

Il servizio di questa arte pare che sia di dire apertamente per far credere, il fine è far credere per dirlo.",3
Simintendi,1333,tosc.,Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare,Grossi venti e piove ferosi cadono su risolute nebbie; sembra che tutto il cielo sprodi nel mare.,3
Agostino da Scarperia (?),1390,tosc.,"Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti.","Chiunque dubiti di Cristo non può neanche negherlo, perché già l'ha visto con noi.",3
Bono Giamboni,1292,fior.,I vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.,"**Structure:**

* The sentence is in the indicative mood.
* It consists of three clauses: ""I vendimenti de' morti et le presure de' vivi"", ""feche la frode"", and ""uno feroce re"".
* The first two clauses are connected by the conjunction ""et"".

**Key words:**

* ""vendimenti"": sales
* ""morti"": deaths
* ""presure"": life
* ""frode"": trouble
* ""re"": king

**Translated sentence:**

Le vendite di morti e la pressione della vita crearono la disordinazione di un feroce re.",3
Bart. da San Concordio,1313,tosc.,"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato della impietà verso il mio padre.","**Structure:**

- The sentence is in the indicative mood, with a complex structure involving subordination and relative clauses.
- The main clause expresses a feeling of resentment towards the addressee, who is perceived as arrogant and proud.
- The subordinate clause describes the addressee's negative qualities, namely his cruelty and lack of respect towards the speaker's father.


**Key words:**

- **Acciocché:** expresses strong disapproval and resentment.
- **Verre:** denotes arrogance and pride.
- **Impietà:** refers to cruelty and lack of respect.


**Translated sentence:**

""Nonostante la sua grande dignità, che ora è feroz e onorata, è tormentato da ogni male a causa della sua impietà verso il mio padre.""",3
Brunetto Latini,1260-61,fior.,Gli uomini spessamente a stare fermi nella bugia incontra la verità.,"**Structure:**

- The sentence is in the present tense.
- It consists of three clauses:
    - ""Gli uomini spessamente a stare fermi nella bugia"" - ""Men are often staying stubbornly in their pride"".
    - ""Incontra"" - ""meet"".
    - ""La verità"" - ""the truth"".


**Key words:**

- ""Spessamente"" - ""often""
- ""Fermi"" - ""stubbornly""
- ""Bugia"" - ""pride""
- ""Incontra"" - ""meet""
- ""Verità"" - ""truth""

**Final version:**

Gli uomini spesso restano fermi nel loro orgoglio e incontrano la verità.",4
