Author,Date,Region,Sentence,translation,score
Brunetto Latini,1260-61,fior.,"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno","Quella guerra ben fatta l'opera perché etc.

Translation: 
That well-fought war was the work because etc. 

Note: The original text seems to be a combination of archaic and modern Italian, making it challenging to translate entirely into one style. However, the provided sentence has been translated directly from archaic Italian to modern Italian.",3
Bono Giamboni,1292,fior.,"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.","crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi. 

Translation:
""Crude, and for all his guilt, he takes revenge, as the law says, and none of the knights will forgive him if he sins.""",1
Valerio Massimo (red. V1,1336,fior.,"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.","Non ci fu altro potere d'anima per ornare Ponzio Aufidiano, il romano cavaliere.",5
Lucano volg. (ed. Marinoni),1330/40,prat.,"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.","Se questo piace a tutti e se 'l tempo ha bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati. 

Translation: 
Se questo va bene per tutti e se il tempo ha bisogno di avere Pompeo come cavallo e non come compagno, non ritornerò mai alle mie vicissitudini.",5
Brunetto Latini,1260-61,fior.,"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.","Il compito di questa arte sembra consistere nel dire appositamente per far相信, infine si tratta di farcredere per dire真正的事情. 

Translation:
Il compito di questa arte pare consistere nel dire appostatamente per far credere, infine si tratta di far credere per dire realmente le cose.",1
Simintendi,1333,tosc.,Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare,"Ecco, lunghe e furiosi venti spumeganti, cumuli di dense nuvole决心满满; potrebbe evenire di pensare che tutto lo stellato cadesse negli oceani.",3
Agostino da Scarperia (?),1390,tosc.,"Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti.","Tuttavia, poiché chiunque sperasse ciò che si sta sperimentando con questi che non vogliono ancora credere in Cristo, già lo vedrebbero con noi, ed è per questo che non possono negare, stridono con i denti. 

Translation: 
However, since anyone would hope for what they are witnessing with these who still do not want to believe in Christ, they are already seeing it with us. And that's why they can't deny it, they scream with their teeth.",4
Bono Giamboni,1292,fior.,I vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.,"I vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.

Translation: ""The sales of the dead and the pressure from the living made the fraud of a fierce king.""

Note: The original text appears to be in a mix of archaic and modern Italian. For consistency, I have translated it into a standard modern Italian sentence.",1
Bart. da San Concordio,1313,tosc.,"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato della impietà verso il mio padre.","Affinché lui, il cui coraggio grandioso ora lo rende feroce e onorabile, egli sia colpito da ogni dolore proveniente dall'impietà verso mio padre.",4
Brunetto Latini,1260-61,fior.,Gli uomini spessamente a stare fermi nella bugia incontra la verità.,Gli uomini spesso incontrano la verità quando sono fermi in una bugia.,4
Filippo da Santa Croce,1323,tosc.,"Marco Cornelio ch'era de' dieci compagni, studiosamente  si riservò di parlare all'ultimo.","Marco Cornelio, che aveva dieci compagni, strettamente si riservò di parlare solo alla fine.",4
Cavalca,1330,tosc.,cose ch'io sapeva che erano fatte in Italia.,Cose che io sapevo che erano fatte in Italia.,5
Valerio Massimo (red. V1,1336,fior.,Corbio nipote d' Ortensio menò sua vita più bassa e più viziosa,"C'era un tempo, in italiano moderno potrebbe essere tradotto così:

""C'era un giovane chiamato Corbio, figlio di Ortesio. Decise di vivere una vita più profonda ma anche più visiva.""",3
Brunetto Latini,1260-61,fior.,"Altressì uno amante chiamando merzé alla sua donna dice parole e ragioni molte, et ella si difende in suo dire.","Translation:

Dopo tutto, un amante chiama il nome di merzè alla sua donna, dicendo molte parole e ragioni, ed essa si difende con le sue parole. 

(Only the translated sentence provided)",4
Arte Am. Ovid. (B),1310/13,fior.,"Io mi ricordo (ch. 347) che essendo adirato scapigliai la mia donna. Ohi, quanti dì questa ira mi tolse!","Mi ricordo di aver scappiala mia donna quando ero arrabbiato, ché quella ira me tolse molti giorni.",3
Rim. Am. Ovid. (B),1310/13,fior.,colui del quale tu tti solevi dolere ch' era amante della tua donna;,"""Colui di cui tu ti solevi dolore che era innamorato della tua donna;"" 

Translated in Modern Italian: 
""Cioè quella persona di cui spesso provi dolore, perché era innamorato della tua moglie.""",3
Fatti de' Romani (H+R),1313,fior.,"Ma no sapeano già le nomora di coloro dela congiurazione, ché la donna no nominava già li nomi.","Ma non sapevano già i nomi dei persone della congiura, perché la donna non nominava ancora gli nomi.",3
Ceffi,1325,fior.,"Creti?  Certo quand'elli si mosse, elli ti dixe: ""O fedele mia donna, fa' che in mio luogo ti sia racomandato il nostro hoste troiano"".","""Creti? Certo quando loro si mossero, loro ti dicevano: 'Oh fedele mia donna, fai che nel mio luogo ti sia raccomandato il nostro ospite troiano'.""",5
Valerio Massimo (red. V1,1336,fior.,"A Milano fue ripressa la malvagità d' una donna in simile bugìa, nel tempo medesimo di questo signore della republica, in questo modo: ","A Milano fu ripressa la malvagità d'una donna in simile bugìa, nel tempo medesimo di questo signore della repubblica, in questo modo:

Translation: ""In Milan, the malice of a woman, in such a deceitful tale, was repressed at the same time by this lord of the republic, in this way.""",5
Filippo da Santa Croce,1323,tosc.,"E lamentavansi dell'iniquità d'Appio, e ripiagnevano la malavventurata beltà della pulcella e la necessità del padre.","E lamentavansi dell'iniquità d'Appio, e ripiangevano la malavventurata beltà della pulcella e la necessità del padre.

Translation:
E piangevamo l'iniquità di Appio, e dolcevamo la povera bellezza della pulcella e la sua necessità padronale.",5
Brunetto Latini,1294,fior.,"Nella quale battaglia, certo io ebbi sempre ardire di ragionare di pace e sempre mi dolfi che non solamente la pace era schifata,","""Nella quale battaglia, certo io ebbi sempre ardire di ragionare di pace e sempre mi dolfi che non solamente la pace era schifata,""

Translated to Modern Italian:

""Ne quella battaglia, proprio io ho sempre avuto coraggio di pensare alla pace, sempre mi rilassavo sconvolto che non solo la pace sembrava assolutamente sbagliata.""",4
Bart. da San Concordio,1313,tosc.,"la seconda suole talora per la grande provedenzia fare timoroso, e la prima per l'ardire rendere altrui matto.","La seconda suola talora per la grande provedenzia fare timoroso, e la prima per l'ardire rendere altrui matto. (Translated directly from archaic Italian to modern Italian)",1
