Author,Date,Region,Sentence,translation,score
Brunetto Latini,1260-61,fior.,"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno","Quella guerra ben fatta l' opera perché etc.

(A modern Italian version preserving the original meaning and structure)

Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno. 

(The translated description of Aiaces, maintaining the original style and content)",5
Bono Giamboni,1292,fior.,"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.","crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi. 

Translation:
 ""He is cruel, and takes revenge for all his faults, as the law says, and none shall forgive a knight who sins.""",5
Valerio Massimo (red. V1,1336,fior.,"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.","Non fu ornato da altre forze d'animo che fossero state presenti. Tuttavia, Ponzio Aufidiano, un cavaliere romano, lo fu appassionatamente. 

Translation:
But it was not adorned with any other forces of emotion that might have been present. However, Ponzio Aufidiano, a Roman knight, was passionately adorned with it.",3
Lucano volg. (ed. Marinoni),1330/40,prat.,"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.","Se questo piace a tutti e se 'l tempo ha bisogno d'avere Pompeoio per cavaliere e non per compagno, non riterrò più i fati. 

Translation: 
If this pleases everyone and if time needs someone like Pompeius as a knight, not just as a companion, then I will no longer resist fate.",5
Brunetto Latini,1260-61,fior.,"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.","L'arte di questo officio sembra concentrarsi sullo dicere deliberatamente per trarre fede, e l'obiettivo è proprio quello di far credere attraverso il dire. 

Translation:
The art of this office seems to revolve around saying deliberately something in order to convince and the goal is precisely to make believe through the act of speaking.",4
Simintendi,1333,tosc.,Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare,"Ecco come tutto il cielo pare cadere nel mare, con venti violenti che spargono cattivi fango. Potresti facilmente pensare che tutto si trasformi in un immaginario disastro.",3
Agostino da Scarperia (?),1390,tosc.,"Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti.","Tuttavia, per chi spera ancora nel ciò che sta sorgendo, questi che non yet vogliono credere in Cristo, già vedono con noi ed, poiché non possono negarlo, stridono con i denti.",3
Bono Giamboni,1292,fior.,I vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.,"I vendimenti de' morti e il presurore dei vivi fece la frode d'uno feroce re. 

Translation:
The sale of corpses and the pressure from living people caused a mutiny against a ruthless king.",5
Bart. da San Concordio,1313,tosc.,"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato della impietà verso il mio padre.","Perché quel individuo, che ora è feroce e onorevole grazie alle sue grandi virtù, soffre di malavolenza, angoscia e martirio causato dall'impietà verso mio padre. (Translation)",3
Brunetto Latini,1260-61,fior.,Gli uomini spessamente a stare fermi nella bugia incontra la verità.,Gli uomini di solito fermi nella menzogna incontrano la verità. (Translation in Modern Italian),4
