Author,Date,Region,Sentence,translation,score
Brunetto Latini,1260-61,fior.,"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno","Quella guerra ben fatta l'opera perché etc. (Translation: ""That well-fought war was an operation because etc."")",3
Bono Giamboni,1292,fior.,"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.","Crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi. (Translation: ""The crude one, and of all the sins, he takes revenge, as the law says, and no knight forgives those who sin.""",5
Valerio Massimo (red. V1,1336,fior.,"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.","""Non d'altra forza d'animo fu ornato Ponzio Aufidiano, romano cavaliere."" 

Translation: ""No other source of motivation was adorned except for Ponzio Aufidiano, a Roman knight.""",5
Lucano volg. (ed. Marinoni),1330/40,prat.,"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.","""Non riterrò più i fati"" (Translation: ""I won't look back at the past anymore."")",5
Brunetto Latini,1260-61,fior.,"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.","""Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.""

Translation: ""The art of this profession seems to be saying ostentatively to make believe, in the end it is to make believe to say so.""",1
Simintendi,1333,tosc.,Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare,Il cielo scende nel mare.,1
Agostino da Scarperia (?),1390,tosc.,"Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti.","Gli che non vogliono ancora creder in Cristo, già vedgiono con noi, e perche non lo possono negare, stridono colli denti.",3
Bono Giamboni,1292,fior.,I vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.,Il rendimento dei morti e l'assenza di controllo vivi hanno spinto all'imbroglio di un furioso re.,4
Bart. da San Concordio,1313,tosc.,"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato della impietà verso il mio padre.","""Egli, dal quale ora la sua grande virtù lo rende feroce e onorabile, soffre e è tormentato da ogni male derivante dalle impiezi towards mio padre."" 

This is the modern Italian translation of the original sentence provided.",3
Brunetto Latini,1260-61,fior.,Gli uomini spessamente a stare fermi nella bugia incontra la verità.,"Gli uomini, spesso immobili nella truffa, incontrano la realtà.",5
Filippo da Santa Croce,1323,tosc.,"Marco Cornelio ch'era de' dieci compagni, studiosamente  si riservò di parlare all'ultimo.","Marco Cornelio, uno dei dodici compagni, decise consapevolmente di parlare solo quando tutti gli altri avrebbero già fatto il loro.

Translation:
Marco Cornelio, one of the ten companions, deliberately reserved himself to speak only at the very end.",3
Cavalca,1330,tosc.,cose ch'io sapeva che erano fatte in Italia.,"""Cose che io sapevo che erano fatte in Italia.""",5
Valerio Massimo (red. V1,1336,fior.,Corbio nipote d' Ortensio menò sua vita più bassa e più viziosa,"Corbio, il nipote di Ortesio, trascorse la sua vita sempre più profana e visiva.",5
Brunetto Latini,1260-61,fior.,"Altressì uno amante chiamando merzé alla sua donna dice parole e ragioni molte, et ella si difende in suo dire.","""Quindi, un amante chiamando il nome della sua donna, dice parole e ragioni molte, ed essa cerca di difendersi con le sue proprie parole."" 

Translation:
""So, a lover calling out the name of his woman speaks many words and reasons, and she defends herself with her own arguments.""",4
Arte Am. Ovid. (B),1310/13,fior.,"Io mi ricordo (ch. 347) che essendo adirato scapigliai la mia donna. Ohi, quanti dì questa ira mi tolse!","""Mi ricordo che, irritato, spappai la mia donna. Oh, quanto tempo quest'ira mi strappò!"" 

Translation: ""I remember that, angry, I tore my woman's clothes. Oh, how many days did this anger take from me!""",3
Rim. Am. Ovid. (B),1310/13,fior.,colui del quale tu tti solevi dolere ch' era amante della tua donna;,"""Colui del quale tu ti solevi dolere che era amante della tua donna;"" 

Translation:
""The person you complain about constantly experiencing pain, who was your woman's lover.""",1
Fatti de' Romani (H+R),1313,fior.,"Ma no sapeano già le nomora di coloro dela congiurazione, ché la donna no nominava già li nomi.","""Ma no sapeano già le nomora di coloro dela congiurazione, ché la donna no nominava già li nomi."" 

Translation: ""But they didn't already know the names of those involved in the conspiracy, because women didn't yet name such things.""",1
Ceffi,1325,fior.,"Creti?  Certo quand'elli si mosse, elli ti dixe: ""O fedele mia donna, fa' che in mio luogo ti sia racomandato il nostro hoste troiano"".","""Certo quando'elli si mosse,elli ti dixe: 'O fedele mia donna, fa' che in mio luogo ti sia raccomandato il nostro hoste troiano'.""

This modern Italian translation captures the meaning of the original Old Italian sentence.",5
Valerio Massimo (red. V1,1336,fior.,"A Milano fue ripressa la malvagità d' una donna in simile bugìa, nel tempo medesimo di questo signore della republica, in questo modo: ","La malvagità d'una donna in simile bugia fu ripressata a Milano da questo signore della repubblica nel tempo stesso. 

Translation: ""The wickedness of a woman in such a deceitful trick was pressed down in Milan by this gentleman of the republic at the same time.""",5
Filippo da Santa Croce,1323,tosc.,"E lamentavansi dell'iniquità d'Appio, e ripiagnevano la malavventurata beltà della pulcella e la necessità del padre.","""Ripiangevano la malavventurata bellezza della pulcella e la necessità del padre.""",5
Brunetto Latini,1294,fior.,"Nella quale battaglia, certo io ebbi sempre ardire di ragionare di pace e sempre mi dolfi che non solamente la pace era schifata,","""Quale battaglia, giuro sempre avessi coraggio di parlare di pace e mi rilassavo pensando che non solo la pace fosse impegnabile, ma anche il concetto stesso di pace era profondamente sciofato."" 

Translation:
""In which battle, I swear always to have the courage to reason about peace, and always I indulge myself thinking that not only the peace was off-putting, but also the concept itself of peace was deeply flawed.""",3
Bart. da San Concordio,1313,tosc.,"la seconda suole talora per la grande provedenzia fare timoroso, e la prima per l'ardire rendere altrui matto.","La seconda suole talora per la grande provedenzia fare timoroso, e la prima per l'ardire rendere altrui matto. (Translation: ""The second soles sometimes, for great precaution, show fear, and the first for courage render others insane."")",5
Valerio Massimo (red. V1,1336,fior.,Andò nel campo de' Cartaginesi e tutta la legione trasse seco.,Andò nel campo de' Cartaginesi e tutta la legione trasse seco. (Modern Italian),5
Zanobi da Strada,1361,tosc.,"Non lo volle cognoscere per nimico. Qesta è quella, la quale diede ardire al profeta Natan a riprendere con grande autoritade quello re, il quale avea peccato.","Non lo volle cognoscere per nimico.

(Translation: He didn't want to recognize him as an enemy.)",5
Frontino volg.,1381,bologn.,"l'armi et insieme con loro passaseno tra li nimici, perçò se alcuno non avesse ardire de questo et sì avevano questo animo.","Le armi e insieme con loro passeggiavano tra i nemici, pertanto, se qualcuno non avesse coraggio di questo ed anche aveva questo spirito. 

Translation:
Le armi e insieme con loro passeggiavano tra i nemici, quindi, se qualcuno non avesse coraggio di questo ed anche avesse questo spirito.",4
Giovanni da San Miniato,1415,tosc.,Unde ragionevolemente Iob è interpretato dolente;,Il Job viene dolentemente interpretato.,3
Filippo da Santa Croce,1323,tosc.,"quello che sopra tutti gli altri perdonasse a' cittadini, e a cui più sicuramente possiate credere; poi ch'egli fu vostro comandatore.",Il comandante vostro era colui al quale potevate credere più sicuramente e perdonare agli cittadini e a tutti gli altri in modo superiore. (Translation: The commander you trusted was the one you could most confidently believe in and forgive to citizens and others above all else.),4
Zanobi da Strada,1361,tosc.,"in vano si domanda chi questo Libro scrivesse, con ciò sia cosa che fedelmente si debba credere che l'Auttore di quello fusse lo Spirito santo.","Invanamente si chiede chi questo libro scrivesse, ed è quanto si deve creder fedelmente, che lo scrittore di ciò fosse lo Spirito Santo.",5
Agostino da Scarperia (?),1390,tosc.,"se non fosse usatissima, ciò parrebbe certo molto più incredibile: certo più agevolmente si può credere quello, posto che l'umano spirito al divino, ed il mutabile allo incommutabile","""Certo, si può相信那些事，只要人类精神向着神的，以及变化的东西向着不变的东西，这确实会更令人难以置信，但无疑会更容易接受。""",1
Brunetto Latini,1260-61,fior.,che prendessero la paga dal camarlingo per loro dispensa et immantenente andassero alla presenzia di messer lo papa per contradiare il passamento de' cavalieri che veniano di Cecilia in Toscana,"""Prendessero la paga dal camarlingo per loro dispensa et immantenente, andassero alla presenza di messer lo papa per contradiere il passaggio de' cavalieri che veniano di Cecilia in Toscana.""",5
Bonsignori,1375-77,umbr.-tosc.,"Teseo reguardò Achelao fortemente meravigliandose e disse così: ""O messer Achelao, io vi prego che voi me diciate in che modo voi perdeste","""Teseo guardò Achelao intensamente, meravigliato e disse: 'Oh signor Achelao, pregomi che tu mi riveli come mai hai perso'""",5
Giovanni da San Miniato,1415,tosc.,"Io spero in messer Iesù di mandare tosto a voi Timoteo, acciocché io sia d'animo buono","""I hope Jesus sends you right away, Timothy, so that my heart may be good.""",5
Brunetto Latini,1260-61,fior.,sanza fallo lo porco salvatico avanza l' uomo d' udire e 'l lupo cerviere del vedere,"""L' uomo d' udire e 'l lupo cerviere del vedere"" 

Translation: ""The man of hearing and the wolf, the brain of sight.""",1
Bono Giamboni,1292,fior.,uno luogo si mandano lancioni;  la quale cosa i cavalieri l' appellano capo di porco,"""Uno luogo si mandano lancioni; La quale cosa i cavalieri l'appellano capo di porco.""",5
Arte Am. Ovid. (B),1310/13,fior.,tenda le reti a li cerbi e sa bene in quali valle dimori il furioso porco cinghiare.,"""Tenda le reti ai cibi saporiti e sa bene dove risieda l'irascibile porceggio cinghitare."" 

Translation: ""Set up the nets for tasty foods and know well where the furious pig with horns resides.""",3
Rim. Am. Ovid. (B),1310/13,fior.,"Ora spaventerai li disidirosi cervi con varie e diverse paure, o lo porco cenghiare caggia in terra passato collo spiedo.","""Ora spaventerai li disidirosi cervi con varie e diverse paure, o lo porco cenghiare caggia in terra passato collo spiedo."" 

Translation: ""Now you'll scare the disobedient horns of those cervials with various and diverse fears, or that pig will snort and stink on the ground, passing its neck with a pole.""",5
Brunetto Latini,1260-61,fior.,"tratta la natura delle cose incorporali le quali non conversano intra lle corpora, sì come Dio e le divine cose.","Le cui naturele è di essere incorporate, che non conversano dentro le loro corpora, come Dio e le divine cose. (Translation)",3
Bono Giamboni,1292,fior.,"Dio, per la quale si dispensano et iudicano tutte le cose.","""Dio, per la quale si dispensano et iudicano tutte le cose."" 

Translation:
""God, for whom all humans are relieved and judged in everything.""",1
Bonsignori,1375-77,umbr.-tosc.,"Unde gli poeti, parlando de lloro, dicono le virtute loro e dicono fabolosamente gli loro difetti, quando alcuna passava l'ordine a lloro deputato","Gli poeti, parlando di lloro, dicono le virture loro e dicono fabolosamente gli loro difetti.",4
Giovanni dalle Celle (?),1396,tosc.,"e quella cosa, la quale è diricta et onesta, e con virtute, quella sola penso essere lo bene.","""Quello solo che penso sia il bene, è diretto, onesto, composto con virtù.""",4
Fatti de' Romani (H+R),1313,fior.,"Quando li serpenti invellenava di giorno alcuno Romano, allora iera la maraviglia a vedere come li Psille si combattevano al veleno, ché elli imolavano tutto inazzi della loro salive","Quando li serpenti invellenava di giorno alcuno Romano, allora iera la maraviglia a vedere come li Psille si combattevano al veleno, ché elli imolavano tutto inazzi della loro salive. 

Translation: 
When the snakes enticed during the daytime any Roman, it would amaze to witness how the Puppies fought venomously, as they dissolved everything in a splash of their saliva.",1
Chiose a Rim. Am. (B),1310-,fior.,"Dice il poeta: oh, che bella cosa è vedere apertamente con gli occhi quando tu glel fai diretro o in culo o in altro","Translation:
""Oh, what a beautiful thing it is to see clearly with your eyes when you do things like going backwards or into other private places.""",3
Cavalca,1330,tosc.,"ma pur questo fu colpa tua, però che volesti cercare di vedere con gli occhi corporali la cosa invisibile.","""Ma pur questo fu colpa tua, ma ciò che volesti cercare di vedere con gli occhi corporali l'东西 invisibile."" 

Translated sentence: ""But still, this was your fault, but what you wanted to do was try to see with your bodily eyes the unseen thing.""",1
Brunetto Latini,1260-61,fior.,"Vero è, ma non tine rispondo in questo tempo, perciò che ttu se' mio servo, o perciò ch' è tempo feriato, o perciò ch' io non debbo risponderti","""Non tine rispondo"", which in modern Italian would be ""Non ti preoccupa rispondere"". This translation captures the meaning that in today's language, it doesn't matter if you respond or not.",3
Fatti de' Romani (H+R),1313,fior.,sì convene che lli desse grande avere perché · lasciasse andare via.,"Lui doleva grandissimo averlo, perché gli lasciasse andare via. 

Translation:
""Hedesired to be given great wealth because he wanted him to let him go.""",3
