Sentence,Translation,Score
"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno","""Quella guerra ben fatta l'opera perché etc. Et dall'altra parte Aiaces era uno cavaliere franco e prode all'arme, di gran guisa, ma non era pieno di grande senno.""",3
"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.","""Cruel, and takes revenge for all sins, as the law says, and pardons no knight who sins.""",4
"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.","Non d' altra forza d' animo fu ornato Ponzio Aufidiano, romano cavaliere.",5
"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.","Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.",3
"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.","La funzione di questo artista sembra essere quella di dire specificamente per far credere, il fine è far credere per la parola.",4
Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare,"""Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare""",3
"Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti.","""Ma chi vorrebbe quello che questi non vogliono ancora credere in Cristo, già li vediamo con noi, e perché non possono negarlo, stridono colli denti.""",2
I vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.,La morte e la vita hanno ingannato un crudele re.,3
"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato della impietà verso il mio padre.","""Perché lui, che ora per le sue grandi virtù è feroce e onorevole, egli d'ogni male afflitto e tormentato dalla impietà verso il mio padre.""",2
Gli uomini spessamente a stare fermi nella bugia incontra la verità.,"Gli uomini che si trovano spesso in una falsa situazione, incontrano la verità.",3
"Marco Cornelio ch'era de' dieci compagni, studiosamente  si riservò di parlare all'ultimo.","Marco Cornelio, uno dei dieci compagni, decise di parlare all'ultimo.",4
cose ch'io sapeva che erano fatte in Italia.,Le cose che so essere fatte in Italia.,5
Corbio nipote d' Ortensio menò sua vita più bassa e più viziosa,"""La nipote di Ortensio condusse la sua vita più bassa e più viziata.""",2
"Altressì uno amante chiamando merzé alla sua donna dice parole e ragioni molte, et ella si difende in suo dire.","""Inoltre, un amante chiamando misericordia alla sua donna dice parole e ragioni molte, e lei si difende nel suo discorso.""",4
"Io mi ricordo (ch. 347) che essendo adirato scapigliai la mia donna. Ohi, quanti dì questa ira mi tolse!","Io ricordo (ch. 347) che essendo arrabbiato ho lasciato la mia donna. Oh, quanti giorni questa rabbia mi ha tolto!",4
colui del quale tu tti solevi dolere ch' era amante della tua donna;,"""Il tuo dolore è causato da colui che era l'amante della tua donna.""",3
"Ma no sapeano già le nomora di coloro dela congiurazione, ché la donna no nominava già li nomi.","""Non sapevano ancora i nomi delle persone della cospirazione, perché la donna non aveva ancora rivelato i loro nomi.""",5
"Creti?  Certo quand'elli si mosse, elli ti dixe: ""O fedele mia donna, fa' che in mio luogo ti sia racomandato il nostro hoste troiano"".","""Creti? Certo quando si mosse, lui ti disse: 'O fedele mia donna, facci che nel mio luogo sia raccomandato il nostro ospite troiano'.""",4
"A Milano fue ripressa la malvagità d' una donna in simile bugìa, nel tempo medesimo di questo signore della republica, in questo modo: ","A Milano fu ripressa la malvagità d' una donna in simile bugìa, nel tempo medesimo di questo signore della repubblica, in questo modo:",5
"E lamentavansi dell'iniquità d'Appio, e ripiagnevano la malavventurata beltà della pulcella e la necessità del padre.","Lamentavano dell'ingiustizia di Appio, e si lamentavano della malaventurata bellezza della ragazza e della necessità del padre.",4
"Nella quale battaglia, certo io ebbi sempre ardire di ragionare di pace e sempre mi dolfi che non solamente la pace era schifata,","In quel combattimento, certo io avevo sempre coraggio di parlare della pace e sempre mi sembrava che non solo la pace fosse stata offesa.",3
"la seconda suole talora per la grande provedenzia fare timoroso, e la prima per l'ardire rendere altrui matto.","La seconda è spesso temuta a causa della sua grande provvidenza, mentre la prima è temuta per il suo ardore che fa diventare pazzi gli altri.",4
Andò nel campo de' Cartaginesi e tutta la legione trasse seco.,"""Entrò nel campo dei Cartaginesi e portò con sé l'intera legione.""",5
"Non lo volle cognoscere per nimico. Qesta è quella, la quale diede ardire al profeta Natan a riprendere con grande autoritade quello re, il quale avea peccato.","Non voleva riconoscerlo come nemico. Questa è la stessa persona che diede coraggio al profeta Natan per riprendere con grande autorità quel re, il quale aveva peccato.",5
"l'armi et insieme con loro passaseno tra li nimici, perçò se alcuno non avesse ardire de questo et sì avevano questo animo.","""Armi e insieme con loro si passano tra i nemici, perché se nessuno avesse il coraggio di farlo e avessero questo spirito.""",2
Unde ragionevolemente Iob è interpretato dolente;,"""Dal momento che Job è stato interpretato come un sofferente""",4
"quello che sopra tutti gli altri perdonasse a' cittadini, e a cui più sicuramente possiate credere; poi ch'egli fu vostro comandatore.","""Chi sopra tutti gli altri perdonasse ai cittadini, e a cui più sicuramente potete credere; poi che egli fu il vostro comandante.""",5
"in vano si domanda chi questo Libro scrivesse, con ciò sia cosa che fedelmente si debba credere che l'Auttore di quello fusse lo Spirito santo.","""In vano si chiede chi abbia scritto questo libro, con ciò sia cosa che fedelmente si debba credere che l'autore di quello fosse lo Spirito Santo.""",5
"se non fosse usatissima, ciò parrebbe certo molto più incredibile: certo più agevolmente si può credere quello, posto che l'umano spirito al divino, ed il mutabile allo incommutabile","Se non fosse usatissima, ciò parrebbe certo molto più incredibile: certo più agevolmente si può credere quello, posto che l'umano spirito al divino, ed il mutabile allo incommutabile.",3
che prendessero la paga dal camarlingo per loro dispensa et immantenente andassero alla presenzia di messer lo papa per contradiare il passamento de' cavalieri che veniano di Cecilia in Toscana,"""che prendessero la paga dal camarlingo per loro dispensa et immantenente andassero alla presenza di messer lo papa per contradiare il passaggio dei cavalieri che venivano da Cecilia in Toscana""",3
"Teseo reguardò Achelao fortemente meravigliandose e disse così: ""O messer Achelao, io vi prego che voi me diciate in che modo voi perdeste","Teseo guardò Achelao con grande meraviglia e disse così: ""O messer Achelao, mi prego di raccontarmi come avete perso"".",4
"Io spero in messer Iesù di mandare tosto a voi Timoteo, acciocché io sia d'animo buono","Spero che il Signore ti invii presto, così posso essere di buon umore.",3
sanza fallo lo porco salvatico avanza l' uomo d' udire e 'l lupo cerviere del vedere,Il maiale selvaggio si avvicina all'uomo per ascoltare e il lupo cerviere per vedere.,4
uno luogo si mandano lancioni;  la quale cosa i cavalieri l' appellano capo di porco,Uno luogo si mandano lancioni; la quale cosa i cavalieri l' appellano capo di porco.,3
tenda le reti a li cerbi e sa bene in quali valle dimori il furioso porco cinghiare.,"""Tenda le reti ai cervi, e sa bene dove si trova la furiosa maestra.""",2
"Ora spaventerai li disidirosi cervi con varie e diverse paure, o lo porco cenghiare caggia in terra passato collo spiedo.","Ora spaventerai li disidirosi cervi con varie e diverse paure, o lo porco cenghiare caggia in terra passato collo spiedo.",3
"tratta la natura delle cose incorporali le quali non conversano intra lle corpora, sì come Dio e le divine cose.","Le cose incorporee, che non si trovano tra i corpi, sono di natura divina, come Dio e le sue cose.",4
"Dio, per la quale si dispensano et iudicano tutte le cose.","Dio, per la quale si dispensano e giudicano tutte le cose.",5
"Unde gli poeti, parlando de lloro, dicono le virtute loro e dicono fabolosamente gli loro difetti, quando alcuna passava l'ordine a lloro deputato","""I poeti, parlando di se stessi, descrivono le loro virtù e descrivono fabolosamente i loro difetti, quando qualcuno passa l'ordine a loro assegnato.""",3
"e quella cosa, la quale è diricta et onesta, e con virtute, quella sola penso essere lo bene.","""E quella cosa, che è diretta e onesta, e con virtù, quella sola penso essere il bene.""",5
"Quando li serpenti invellenava di giorno alcuno Romano, allora iera la maraviglia a vedere come li Psille si combattevano al veleno, ché elli imolavano tutto inazzi della loro salive","Quando i serpenti invadevano di giorno alcuni Romani, allora era la meraviglia vedere come si combattevano al veleno, perché imolavano tutto inazzi della loro saliva.",2
"Dice il poeta: oh, che bella cosa è vedere apertamente con gli occhi quando tu glel fai diretro o in culo o in altro","Il poeta dice: ""Oh, quanto bello è vedere apertamente con gli occhi quando lo fai diretto o dietro o in altro"".",3
"ma pur questo fu colpa tua, però che volesti cercare di vedere con gli occhi corporali la cosa invisibile.","""Ma pur questa fu colpa tua, perché volesti cercare di vedere con gli occhi corporali la cosa invisibile.""",5
"Vero è, ma non tine rispondo in questo tempo, perciò che ttu se' mio servo, o perciò ch' è tempo feriato, o perciò ch' io non debbo risponderti","""È vero, ma non ti rispondo in questo momento, perché sei il mio servitore, o perché è tempo di festa, o perché devo rispondere a te.""",3
sì convene che lli desse grande avere perché · lasciasse andare via.,"""Sì, è vero che gli dà grandi poteri perché lascia andare via.""",3
"notabile esemplo a ciascuno che si guardasse di fare e di pensar tradigione, il servo, il quale gli avea accusati, fu francato, e fugli donata grande quantità di moneta","Il servo, che gli aveva accusato, fu liberato e gli furono date grandi quantità di denaro.",4
che sarebbe a llui cosa sconcia se ll'avesse commesso sì che lla colpa del servo e 'l gastigamento di Platone avesse meritato egualmente.,"Se avesse commesso quello, sarebbe stato un'azione scorretta per lui, e la colpa del servo e il castigo di Platone lo meriterebbero entrambi.",4
"mostroe massimamente le forze sue, dando lui re a questa cittade ne la quale nacque servo; al quale avvenne lunghissimamente lo imperio tenere","""Mostro massimamente le sue forze, dando lui re a questa città dove nacque servo; al quale avvenne lungamente l'impero tenere.""",3
l' anima muta la sua forza per la propietade di quello corpo a cui ella si congiunge.,"L'anima, silenziosa, esprime la sua forza per il possesso del corpo a cui si unisce.",3
"sono due già non in una carne, ma in uno spirito, cioè Iddio, e l' anima. Onde in altro luogo dice S. Paolo: Chi s' accosta a Dio è uno spirito","""Sono due già non in una carne, ma in uno spirito, cioè Iddio, e l' anima. Onde in altro luogo dice S. Paolo: Chi s' accosta a Dio è uno spirito""",3
"per tanto che Lucano il disse, il vi racontiamo. Ivi, quando l'anima di Pompeo ebe sentito la chiarità di lasusso, ella sì cognobe prima in  grande","""Quindi Lucano disse, lo raccontiamo. Lì, quando l'anima di Pompeo ebbe sentito la chiarezza del lascito, essa si riconobbe prima in grande.""",2
"Sicchè dolore è a udire, quando l' usare l' arme e la fatica ricusano, con grandissimo disonore come pecore essere","""Quindi, il dolore è nell'udire, quando l'uso dell'arma e della fatica si rifiutano, con grande disonore come pecore essere""",3
et nonn ebbe in fastido Cristo cotali parole d'udire.,"""E non ebbe in fastidio Cristo quelle parole da sentire.""",4
"la moltitudine de' quali tu ài potuto vedere e riguardare lo studio e poco dinanzi udire le voci, e lle cui mani e lance apena posso ritenere.","La moltitudine di coloro che hai potuto vedere e poco prima udire le voci, e le cui mani e lance sono quasi impossibili da trattenere.",4
"udire di belle novelle et odorare di belli fiori, come et quando et quanto si conviene","udire di belle novelle et odorare di belli fiori, come et quando et quanto si conviene",3
"Il re entrò in uno giardino dietro al suo albergo, quasi come s'egli andasse pensando alla risposta.","Il re entrò nel giardino dietro l'albergo, quasi come se stesse pensando alla risposta.",5
