Sentence,Translation,Score
"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno","Quella guerra fu condotta bene, e l'opera fu compiuta come previsto. Tuttavia, dall'altra parte Aiaces era un cavalieri franco e prodiall'arma, di grande dimensioni, ma non era dotato di grande saggezza.",
"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.","Crudele, e si vendica di tutte le colpe, come dice la legge, ed a nessuno cavallo perdoni che pecca.",
"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.",Ponzio Aufidiano non era dotato di altro vigore d’animo.,
"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.","Se questo piace a tutti e se il tempo ha bisogno di avere Pompeio come cavaliere, non lo riterrò più.",
"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.","L'Ufficio di questa arte pare dire apertamente per far credere, il fine è far credere per dirlo.",
Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare,Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cade nel mare.,
"Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti.","Chiunque speri che chiunque non crede ancora in Cristo, ha già visto con noi, e non può negarlo, gridando come un uomo con i denti strappati.",
I vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.,I vendimenti dei morti e le pressioni dei vivi crearono la frode di un feroce re.,
"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato della impietà verso il mio padre.","Ogni uomo che ora per le sue grandi azioni è feroz e onorabile, è afflitto e tormentato dalla impietà verso il mio padre.",
Gli uomini spessamente a stare fermi nella bugia incontra la verità.,Gli uomini frequentemente incontrano la verità quando si lasciano fermi nella bugia.,
"Marco Cornelio ch'era de' dieci compagni, studiosamente  si riservò di parlare all'ultimo.","Marco Cornelio, che era di dieci compagni, si riservò di parlare all'ultimo.",
cose ch'io sapeva che erano fatte in Italia.,Cosa sapevo che erano fatte in Italia.,
Corbio nipote d' Ortensio menò sua vita più bassa e più viziosa,"Corbio, nipote di Ortensio, passò la sua vita più bassa e più viziosa.",
"Altressì uno amante chiamando merzé alla sua donna dice parole e ragioni molte, et ella si difende in suo dire.","Un altro amante che chiami la sua donna dice parole e ragioni molte, e lei si difende in suo dire.",
"Io mi ricordo (ch. 347) che essendo adirato scapigliai la mia donna. Ohi, quanti dì questa ira mi tolse!","Ricordo ancora che, mentre ero adirato, scappai di casa la mia donna. Oh, quante giornate di ira mi quitarono!",
colui del quale tu tti solevi dolere ch' era amante della tua donna;,Lui di cui tu ti sentivi dolere era il suo amante della tua donna.,
"Ma no sapeano già le nomora di coloro dela congiurazione, ché la donna no nominava già li nomi.","Ma loro non sapevano già i nomi di coloro che erano coinvolti, perché la donna non li nominava già.",
"Creti?  Certo quand'elli si mosse, elli ti dixe: ""O fedele mia donna, fa' che in mio luogo ti sia racomandato il nostro hoste troiano"".","Creti? Certo quando si mossevano, ti dicevano: ""Oh fedele mia donna, facci che in mio luogo ti sia raccomandato il nostro ospite troiano"".",
