Sentence,Translation,Score
"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno","Quella guerra era stata fatta bene per motivi diversi. Dall'altra parte, Aiace era un cavaliere francese e valoroso nell'arte della guerra, in grado molto elevato, ma non era ricco di grande intelligenza.

Note: I translated ""prode"" as ""valoroso"", which is the modern Italian equivalent of ""cavaliere prode"" (a chivalrous knight).",4
"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.","Crudele e di tutte le colpe prenda vendetta, come stabilisce la legge, e non perdoni a nessun cavallo o cavaliere che pecca.",2
"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.","Non è stato adornato da un'anima più forte di quella di Poncio Aufidiano, cavalieri romano.",3
"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.","Se questo piace a tutti e se il tempo ha bisogno di avere Pompeo come cavaliere e non come compagno, non riterò più i fatti.",4
"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.","Esemplifico quest'arte sembra essere esprimere senza intenti nascosti per convincere, e il fine è convincere attraverso l'espressione.

(Note: Archaic Italian is a dialect that existed from the 12th to the 15th century. The translation I provided is in Modern Italian, which is the standard form of the language used today.)",3
Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare,Ecco i grandi nubi cariche di nebbia si abbassano dalle regioni decise; e potresti pensare che tutto il cielo cadesse sul mare.,4
"Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti.","Tuttavia coloro che nemmeno questi che non vogliono ancora credere in Cristo, già vedono con noi e non possono negarlo, lo stanno criticando.",3
I vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.,Le speculazioni dei morti e le pressioni dei vivi crearono la corruzione di un crudele re.,4
"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato della impietà verso il mio padre.","Affinché colui che, a causa delle sue gravi colpe, è crudele e nobile, lui soffre di ogni male e si sente tormentato per la sacrilega offesa rivolta al mio padre.",5
Gli uomini spessamente a stare fermi nella bugia incontra la verità.,Gli uomini tendono spesso a trovare la verità quando si fermano a dire la bugia.,2
"Marco Cornelio ch'era de' dieci compagni, studiosamente  si riservò di parlare all'ultimo.","Marco Cornelio, uno dei dieci compagni, si riservò consapevolmente di parlare ultimo.",5
cose ch'io sapeva che erano fatte in Italia.,Le cose che io sapevo essere fatte in Italia.,5
Corbio nipote d' Ortensio menò sua vita più bassa e più viziosa,Il nipote di Ortensio condusse una vita più bassa e più viziata.,4
"Altressì uno amante chiamando merzé alla sua donna dice parole e ragioni molte, et ella si difende in suo dire.","Ancora un amante invocando il perdono della sua donna dice molte parole e argomenti, e lei si difende con le sue scuse.",3
"Io mi ricordo (ch. 347) che essendo adirato scapigliai la mia donna. Ohi, quanti dì questa ira mi tolse!","Mi ricordo (cap. 347) che essendomi infuriato, lasciai andare la mia donna. Oh, quanti giorni questa rabbia mi sottrasse!",4
colui del quale tu tti solevi dolere ch' era amante della tua donna;,Quello del cui amore tu ti addoloravi perché era innamorato della tua donna.,4
"Ma no sapeano già le nomora di coloro dela congiurazione, ché la donna no nominava già li nomi.","In realtà non lo sapevano già i nomi di quelli della congiura, poiché la donna non li aveva ancora menzionati.",5
"Creti?  Certo quand'elli si mosse, elli ti dixe: ""O fedele mia donna, fa' che in mio luogo ti sia racomandato il nostro hoste troiano"".","Sì? Certamente quando partì, mi disse: ""Oh, mia signora fedele, chiedi al nostro ospite troiano che ti prenderebbe come mio sostituto"".",4
