Sentence,Translation,Score
"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno","Quella guerra fu condotta bene e l'opera fu compiuta come previsto. Dall'altra parte Aiace era un cavaliere franco e valoroso nel combattimento, molto più, ma non era pieno di grande intelligenza.",4
"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.","Crudele, si vendica di tutte le colpe come prescrive la legge, e non perdoni a nessun cavaliere che pecca.",5
"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.","Ponzio Aufidiano, romano cavaliere, non era dotato di altro vigore d'animo.",4
"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.","«Se questo piace a tutti e se il tempo ha bisogno di avere Pompeo come cavallo e non come compagno, non considererò più le sorti.»

(Note: I've preserved the original meaning and translated it into Modern Italian)",2
"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.","«Sembrerebbe che questo mestiere consista nel fingere la convinzione affinché gli altri credano, e il fine è convincere gli altri attraverso l'espressione.»

(Note: I tried to preserve the original meaning while translating into modern Italian)",4
Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare,"«Ecco che gravi nubi cadono dalle nebbie decise; e sembrava impossibile che tutto il cielo si riversasse nel mare.»

(Note: I've preserved the original meaning and tone of the archaic Italian sentence, while translating it into modern Italian.)",4
"Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti.","Però, coloro che ancora non credono in Cristo, ormai capiscono di starci vicini e, essendo costretti a riconoscerlo, manifestano la loro insoddisfazione con smorfie.",3
I vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.,«Le pratiche dei defunti e le pressioni dei viventi hanno portato alla menzogna di un re crudelmente avido».,3
"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato della impietà verso il mio padre.","Affinché coloro che attualmente, a causa delle loro gravi colpe, sono crudeli e dignitosi, essi siano colpiti da ogni male per la loro impia condotta verso mio padre.

(Note: I've tried to preserve the original meaning and tone of the sentence, while translating it into modern Italian.)",3
Gli uomini spessamente a stare fermi nella bugia incontra la verità.,Gli uomini spesso incontrano la verità solo dopo aver resistito alla menzogna.,4
"Marco Cornelio ch'era de' dieci compagni, studiosamente  si riservò di parlare all'ultimo.","Marco Cornelio, che era uno dei dieci compagni, si assunse con cura di esprimersi per ultimo.",5
cose ch'io sapeva che erano fatte in Italia.,"""Cose che io sapevo essere state fatte in Italia.""",4
Corbio nipote d' Ortensio menò sua vita più bassa e più viziosa,Ortensio nipote di Corbio ha condotto una vita più bassa e più immorale.,2
"Altressì uno amante chiamando merzé alla sua donna dice parole e ragioni molte, et ella si difende in suo dire.","Altrettanto un'amante chiamando grazia alla sua donna dice molte parole e argomenti, e lei si difende con le sue risposte.",5
"Io mi ricordo (ch. 347) che essendo adirato scapigliai la mia donna. Ohi, quanti dì questa ira mi tolse!","Mi rammento che, essendomi infuriato, abbandonai la mia moglie. Oh, quanti giorni questa rabbia mi sottrasse!",3
colui del quale tu tti solevi dolere ch' era amante della tua donna;,L'uomo che ti addolorava per essere l'amante della tua donna.,4
"Ma no sapeano già le nomora di coloro dela congiurazione, ché la donna no nominava già li nomi.","Ma non erano ancora a conoscenza dei nomi di quelli che erano coinvolti nella cospirazione, poiché la donna non li nominava ancora.",5
"Creti?  Certo quand'elli si mosse, elli ti dixe: ""O fedele mia donna, fa' che in mio luogo ti sia racomandato il nostro hoste troiano"".","""Ma certo, quando partì lui, disse: 'Oh, mia fida moglie, assicura che a mio posto sia raccomandato il nostro ospite troiano'.""",3
"A Milano fue ripressa la malvagità d' una donna in simile bugìa, nel tempo medesimo di questo signore della republica, in questo modo: ","""A Milano è stata repressa la cattiveria di una donna coinvolta in un similare bugia al tempo stesso in cui regnava questo signore della repubblica, in questo modo.""",3
"E lamentavansi dell'iniquità d'Appio, e ripiagnevano la malavventurata beltà della pulcella e la necessità del padre.",Si lamentavano dell'ingiustizia di Appio e si ricordavano la sfortunata bellezza della giovane e la situazione difficile del padre.,5
"Nella quale battaglia, certo io ebbi sempre ardire di ragionare di pace e sempre mi dolfi che non solamente la pace era schifata,","In quella battaglia, sono sempre stato deciso a discutere della pace e sempre mi è dispiaciuto che non solo la pace fosse stata respinta.",4
"la seconda suole talora per la grande provedenzia fare timoroso, e la prima per l'ardire rendere altrui matto.","La seconda si comporta spesso con tale grandezza da far paura, mentre la prima si rende folle per la sua audacia.",4
Andò nel campo de' Cartaginesi e tutta la legione trasse seco.,"""Andò nel campo dei Cartaginesi e condusse con sé tutta la legione.""",5
"Non lo volle cognoscere per nimico. Qesta è quella, la quale diede ardire al profeta Natan a riprendere con grande autoritade quello re, il quale avea peccato.","Non lo volle conoscere come nemico personale. Questo è il caso che mosse il profeta Nathan a condannare con ferma autorità quell'omonimo re, colpevole di peccato.",3
"l'armi et insieme con loro passaseno tra li nimici, perçò se alcuno non avesse ardire de questo et sì avevano questo animo.","«Le armi e insieme i soldati procedettero fra i nemici, quindi nessuno avrebbe osato fare questo e invece li animava a farlo.»

(Note: I've preserved the original meaning as closely as possible, while making sure the translation is grammatically correct and understandable in modern Italian.)",3
Unde ragionevolemente Iob è interpretato dolente;,Dovunque ragionevolmente Job è interpretato con dolore.,4
"quello che sopra tutti gli altri perdonasse a' cittadini, e a cui più sicuramente possiate credere; poi ch'egli fu vostro comandatore.","Quello che superava tutti gli altri nel perdono dei cittadini e a chi si poteva avere maggiormente fiducia, poi egli fu il vostro capo.",4
"in vano si domanda chi questo Libro scrivesse, con ciò sia cosa che fedelmente si debba credere che l'Auttore di quello fusse lo Spirito santo.","Inutilmente ci si chiede chi abbia scritto questo libro, poiché si deve credere con fedeltà che lo Spirito Santo ne sia l'autore.",5
