Sentence,Translation,Score
"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno","Quella guerra ben fatta l'opera perché da una parte c'erano soldati valorosi, mentre dall'altra Aiaces era un cavaliere francese e prode con la spada, ma non aveva grande intelligenza.",4
"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.","""Crudele è colui che prende vendetta di tutte le colpe, come stabilisce la legge, e a nessun cavaliere perdona chi pecca.""

(Translation: ""Cruel is one who takes revenge for all wrongs, as the law provides, and forgives no knight who sins."")",4
"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.","""Ponzio Aufidiano non era dotato di un carattere più forte dell'animo, era un cavaliere romano.""

(Note: I tried to preserve the original meaning and tone of the sentence while translating it into Modern Italian. The phrase ""non d'altra forza"" is an idiomatic expression in Old Italian that roughly translates to ""not being more robust than..."". In this context, it means that Ponzio Aufidiano didn't have a stronger personality or character.)",3
"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.","Se questo piace a tutti e se il tempo ha bisogno di avere Pompeo come cavaliere e non come compagno, non mi considererò più gli dei.",2
"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.","Sembrarebbe farsi credere qualcosa per convincere gli altri a crederci, il vero scopo è convincere gli altri dicendolo.",3
Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare,"""Guarda, i temporali poderosi scendono dalle nebbie decise; e ti sembrerebbe che tutta la volta cadesse sul mare""

(Note: I've used a slightly more contemporary tone and vocabulary to make it easier to understand for modern readers.)",4
"Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti.","Però chiunque sperasse in qualcosa che anche questi che non vogliono ancora credere in Cristo, già vedrebbero con noi e non potrebbero negarlo, quindi lo urlerebbero.",2
I vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.,La corruzione del re tiranno fu causata dalle richieste dei morti e dalle pressioni dei vivi.,3
"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato della impietà verso il mio padre.","Perché quell'uomo, che a causa delle sue gravi colpe è ora crudele e rispettato, sia liberato da ogni male e sofferenza derivante dalla sua ingiustizia contro il mio padre.",4
Gli uomini spessamente a stare fermi nella bugia incontra la verità.,Gli uomini spesso quando si fermano nella menzogna incontrano la verità.,3
"Marco Cornelio ch'era de' dieci compagni, studiosamente  si riservò di parlare all'ultimo.","Marco Cornelio, che era uno dei dieci compagni, si riservò attentamente di parlare ultimo.",5
cose ch'io sapeva che erano fatte in Italia.,"""Cose che io sapevo essere state prodotte in Italia.""",4
Corbio nipote d' Ortensio menò sua vita più bassa e più viziosa,Corbisnipote di Ortensio ha vissuto una vita più bassa e più dissoluta.,4
"Altressì uno amante chiamando merzé alla sua donna dice parole e ragioni molte, et ella si difende in suo dire.","Invece un innamorato che implora il perdono della sua ragazza dice molte parole e argomentazioni, e lei si difende con le sue stesse parole.",4
"Io mi ricordo (ch. 347) che essendo adirato scapigliai la mia donna. Ohi, quanti dì questa ira mi tolse!","Mi ricordo che quando ero arrabbiato buttai fuori la mia moglie. Oh, quanti giorni questa rabbia mi tolse!",2
colui del quale tu tti solevi dolere ch' era amante della tua donna;,Quello che tu una volta soffrivesti per l'uomo che amava la tua moglie.,3
"Ma no sapeano già le nomora di coloro dela congiurazione, ché la donna no nominava già li nomi.","Non sapevano ancora i dettagli della cospirazione, perché la donna non aveva ancora rivelato i nomi.",5
"Creti?  Certo quand'elli si mosse, elli ti dixe: ""O fedele mia donna, fa' che in mio luogo ti sia racomandato il nostro hoste troiano"".","""Sei preoccupato? Certamente quando partì, mi disse: 'Oh, mia moglie fedele, chiedi al nostro ospite troiano che ti sostituiscano'"".",3
"A Milano fue ripressa la malvagità d' una donna in simile bugìa, nel tempo medesimo di questo signore della republica, in questo modo: ",La malvagità di una donna simile fu denunciata a Milano all'epoca di un tale signore della repubblica.,4
"E lamentavansi dell'iniquità d'Appio, e ripiagnevano la malavventurata beltà della pulcella e la necessità del padre.",Si lamentavano dell'ingiustizia di Appio e si vendicavano della sfortunata bellezza della fanciulla e della necessità del padre.,3
"Nella quale battaglia, certo io ebbi sempre ardire di ragionare di pace e sempre mi dolfi che non solamente la pace era schifata,","In quale battaglia, sono sempre stato pronto a discutere la pace e sempre mi è dispiaciuto che la pace non sia stata solo schivata.",4
"la seconda suole talora per la grande provedenzia fare timoroso, e la prima per l'ardire rendere altrui matto.","La seconda solita a volte fa paura per la grossa provvisorietà, e la prima dà coraggio per convincere gli altri di essere pazzi.",2
Andò nel campo de' Cartaginesi e tutta la legione trasse seco.,Andò nel campo dei cartaginesi e tutta la legione lo seguì.,5
"Non lo volle cognoscere per nimico. Qesta è quella, la quale diede ardire al profeta Natan a riprendere con grande autoritade quello re, il quale avea peccato.",Non voleva conoscerlo come nemico. Era quella donna che aveva incoraggiato il profeta Nathan a criticare con fermezza quel re che si era peccato.,3
"l'armi et insieme con loro passaseno tra li nimici, perçò se alcuno non avesse ardire de questo et sì avevano questo animo.","""Il loro esercito e loro passarono tra gli nemici insieme con le armi, quindi se qualcuno non aveva il coraggio di fare ciò e invece lo avevano questo animo.""",2
Unde ragionevolemente Iob è interpretato dolente;,Sono stato interpretato come qualcuno che soffre.,3
"quello che sopra tutti gli altri perdonasse a' cittadini, e a cui più sicuramente possiate credere; poi ch'egli fu vostro comandatore.","Quello che mostrava maggior clemenza ai cittadini e a cui potete più facilmente credere, poi che egli fu il vostro comandante.",5
"in vano si domanda chi questo Libro scrivesse, con ciò sia cosa che fedelmente si debba credere che l'Auttore di quello fusse lo Spirito santo.","Inutile è chiedersi chi abbia scritto questo libro, dato che bisogna ritenere fedelmente che lo Spirito Santo ne sia stato l'autore.",5
"se non fosse usatissima, ciò parrebbe certo molto più incredibile: certo più agevolmente si può credere quello, posto che l'umano spirito al divino, ed il mutabile allo incommutabile","Se non fosse così comune, ciò sembrerebbe assolutamente incredibile; è più facile credere che lo spirito umano possa essere influenzato dal divino e il mutevole dal permanente.",4
che prendessero la paga dal camarlingo per loro dispensa et immantenente andassero alla presenzia di messer lo papa per contradiare il passamento de' cavalieri che veniano di Cecilia in Toscana,Si pagherebbero dal cameriere del Papa e immediatamente andrebbero alla presenza di Sua Santità per contrastare l'approvazione dei cavalieri che stanno arrivando da Cecilia in Toscana.,3
"Teseo reguardò Achelao fortemente meravigliandose e disse così: ""O messer Achelao, io vi prego che voi me diciate in che modo voi perdeste","Mister Achelao, ti prego di dirmi come hai perso il tuo potere.",3
"Io spero in messer Iesù di mandare tosto a voi Timoteo, acciocché io sia d'animo buono","Spero di poterti presto contattare per parlarti, in modo da sentirmi tranquillo.",3
sanza fallo lo porco salvatico avanza l' uomo d' udire e 'l lupo cerviere del vedere,Senza errori il selvaggio avanzava l'uomo ad ascoltare e il cervo a guardare.,2
uno luogo si mandano lancioni;  la quale cosa i cavalieri l' appellano capo di porco,"""I posti in cui si gettonano frecce; quelli che sono cavalieri lo chiamano 'capo di maiale'.""",3
tenda le reti a li cerbi e sa bene in quali valle dimori il furioso porco cinghiare.,Estende le trappole ai cervi e saprai dove abita il maiale feroce che ama inghiottire.,4
"Ora spaventerai li disidirosi cervi con varie e diverse paure, o lo porco cenghiare caggia in terra passato collo spiedo.","""Adesso farai impaurire i cervi selvaggi con vari e diversi timori, o il maiale cadere a terra colpendolo con la punta di un'asta.""",4
"tratta la natura delle cose incorporali le quali non conversano intra lle corpora, sì come Dio e le divine cose.","Tratta il concetto delle cose immateriali che non interagiscono tra loro, come Dio e le realtà divine.",4
"Dio, per la quale si dispensano et iudicano tutte le cose.",""" Dio giudica tutto ciò che accade.""",4
"Unde gli poeti, parlando de lloro, dicono le virtute loro e dicono fabolosamente gli loro difetti, quando alcuna passava l'ordine a lloro deputato","I'd be happy to help!

Gli scrittori, parlando di sé stessi, elogiano le loro virtù e descrivono fantasticamente i loro difetti, quando qualcuno superava il loro rango designato.",4
"e quella cosa, la quale è diricta et onesta, e con virtute, quella sola penso essere lo bene.","La sola cosa che penso essere il bene è quella onesta e retta, sostenuta dalla virtù.",5
"Quando li serpenti invellenava di giorno alcuno Romano, allora iera la maraviglia a vedere come li Psille si combattevano al veleno, ché elli imolavano tutto inazzi della loro salive","When snakes would poison someone from Rome during the day, then it was astonishing to see how the Psille fought each other with venom, since they sacrificed everything for their saliva's sake.",2
