Sentence,Translation,Score
"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno","Quella guerra era ben fatta, e l'opera che fece etc. D'altra parte, Aiaces era un cavaliere franco e prodi all'arma, ma non era pieno di grande saggezza.",4
"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.","Crudele, come dice la legge, la vendetta è di tutte le colpe e a nessuno cavallo perdoni che pecca.",2
"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.","Non era altra forza d'animo quella che lo fece nato Ponzio Aufidiano, cavaliere romano.",3
"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.","Se questo piace a tutti e se il tempo ha bisogno di avere Pompeio come cavalieri e non come compagno, non riterrò più i miei fati.",4
"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.","L'ufficio di questa arte pare che sia dire apertamente per far credere, finalità è far credere per dirlo.",3
Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare,Ecco e molti ventipiovoli cadono delle nuvole ferme; e potresti credere che tutto il cielo cade nel mare.,4
"Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti.","Chiunque ora spera che ciò che è chiaro a questi che non vogliono ancora credere in Cristo, già lo hanno visto con noi, e perché non possono negare, gridano di denti.",3
I vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.,I vendetta dei morti e la pressione dei vivi crearono la frode di un feroce re.,2
"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato della impietà verso il mio padre.","Perché, chi ora per le sue alte pretese è feroz e onorato, è afflitto e tormentato da ogni male verso il mio padre.",3
Gli uomini spessamente a stare fermi nella bugia incontra la verità.,Gli uomini spesso restano fermi nella bugia incontra la verità.,4
"Marco Cornelio ch'era de' dieci compagni, studiosamente  si riservò di parlare all'ultimo.","Marco Cornelio, che aveva dieci compagni, si reservò di parlare all'ultimo.",4
cose ch'io sapeva che erano fatte in Italia.,Cosa sapevo che erano fatte in Italia.,3
Corbio nipote d' Ortensio menò sua vita più bassa e più viziosa,Il nipote di Ortensio trascorse la sua vita più bassa e più dissidente.,3
"Altressì uno amante chiamando merzé alla sua donna dice parole e ragioni molte, et ella si difende in suo dire.","Un altro uomo che amava la sua donna gli parlava e le parlava di molte ragioni, e lei si difendeva.",3
"Io mi ricordo (ch. 347) che essendo adirato scapigliai la mia donna. Ohi, quanti dì questa ira mi tolse!","Mi ricordo che, quando ero arrabbiato, scappai via la mia donna. Oh, quanti giorni di ira mi hanno tolto!",3
colui del quale tu tti solevi dolere ch' era amante della tua donna;,Tu hai solo lamentato il suo amore per la tua donna.,2
"Ma no sapeano già le nomora di coloro dela congiurazione, ché la donna no nominava già li nomi.","Ma non sapevano già i nomi di coloro della congiurazione, perché la donna non nominava già i nomi.",4
"Creti?  Certo quand'elli si mosse, elli ti dixe: ""O fedele mia donna, fa' che in mio luogo ti sia racomandato il nostro hoste troiano"".","Credi? Certo quando si muove, ti dice: ""Oh fedele mia donna, fa' che in mio luogo ti sia raccomandato il nostro ospite troiano"".",4
"A Milano fue ripressa la malvagità d' una donna in simile bugìa, nel tempo medesimo di questo signore della republica, in questo modo: ","A Milano fu represa la malvagità di una donna in simile situazione, nel tempo medesimo di questo signore della Repubblica, in questo modo.",4
"E lamentavansi dell'iniquità d'Appio, e ripiagnevano la malavventurata beltà della pulcella e la necessità del padre.","E lamentano l'iniquità di Appio, e riprano la malavventura della povera ragazza e la necessità del padre.",4
"Nella quale battaglia, certo io ebbi sempre ardire di ragionare di pace e sempre mi dolfi che non solamente la pace era schifata,","In quale battaglia, certo io ebbi sempre l'ardore di ragionare di pace e sempre mi dolpi che non solo la pace era scampata.",3
"la seconda suole talora per la grande provedenzia fare timoroso, e la prima per l'ardire rendere altrui matto.","La seconda sulole talora per la grande provenienza fa timoroso, e la prima per l'ardire rende altrui matto.",3
Andò nel campo de' Cartaginesi e tutta la legione trasse seco.,Andò nel campo dei Cartaginesi e l'intera legione rimase secca.,2
"Non lo volle cognoscere per nimico. Qesta è quella, la quale diede ardire al profeta Natan a riprendere con grande autoritade quello re, il quale avea peccato.",Non lo volle conoscere per nemico. Questa è quella che gli diede ardire al profeta Nathan per riprendere con grande autorità quello re che avea peccato.,4
"l'armi et insieme con loro passaseno tra li nimici, perçò se alcuno non avesse ardire de questo et sì avevano questo animo.","Le armi e insieme con loro passarono tra i nemici, perché se qualcuno non avesse coraggio di questo e sì avevano questo animo.",3
Unde ragionevolemente Iob è interpretato dolente;,Reasonabilmente Iob è interpretato come dolorevole.,4
"quello che sopra tutti gli altri perdonasse a' cittadini, e a cui più sicuramente possiate credere; poi ch'egli fu vostro comandatore.","Quello che sopra tutti gli altri perdona a' cittadini, e a cui più sicuramente poteste credere; poi ch'egli fu vostro comandatore.",4
"in vano si domanda chi questo Libro scrivesse, con ciò sia cosa che fedelmente si debba credere che l'Auttore di quello fusse lo Spirito santo.","Invano si domanda chi questo libro scrivesse, con ciò sia cosa che fedelmente si debba credere che l'Autore di quello fosse lo Spirito Santo.",5
"se non fosse usatissima, ciò parrebbe certo molto più incredibile: certo più agevolmente si può credere quello, posto che l'umano spirito al divino, ed il mutabile allo incommutabile","Se non fosse così insaziabile, ciò sarebbe certo molto più incredibile. Certo più agevolmente si può credere quello, visto che l'animo umano al divino e il mutabile allo incommutabile.",4
che prendessero la paga dal camarlingo per loro dispensa et immantenente andassero alla presenzia di messer lo papa per contradiare il passamento de' cavalieri che veniano di Cecilia in Toscana,Che prendessero la paga dal camarlingo per la loro dispensa e rimanessero alla presenza di Messer Lo Papa per contradurre il passaggio dei cavalieri che venivano da Cecilia in Toscana.,4
"Teseo reguardò Achelao fortemente meravigliandose e disse così: ""O messer Achelao, io vi prego che voi me diciate in che modo voi perdeste","Cesare osservò Achille con grande meraviglia e disse: ""Oh messere Achille, mi dicete come persidete?",3
"Io spero in messer Iesù di mandare tosto a voi Timoteo, acciocché io sia d'animo buono","Speravo che il signore Isu di spedervi presto a Timoteo, perché sono felice.",3
sanza fallo lo porco salvatico avanza l' uomo d' udire e 'l lupo cerviere del vedere,"Senza errori, il porco selvatico avanza l'uomo di udere e il lupo cerviere del vedere.",4
uno luogo si mandano lancioni;  la quale cosa i cavalieri l' appellano capo di porco,Un luogo viene mandato lancioni; la quale cosa i cavalieri l'appellantano capo di porco.,3
tenda le reti a li cerbi e sa bene in quali valle dimori il furioso porco cinghiare.,Ritorna le reti ai cervi e fa bene in quale valle dimori il feroce maiale.,4
"Ora spaventerai li disidirosi cervi con varie e diverse paure, o lo porco cenghiare caggia in terra passato collo spiedo.",Ora ti spaventerai i disperati cervi con varie paure o il maiale si è nascosto nel terreno dietro lo spiedone.,3
"tratta la natura delle cose incorporali le quali non conversano intra lle corpora, sì come Dio e le divine cose.",Tra i caratteri incorporei non vi sono conversazioni come Dio e le cose divine.,2
