Author,Date,Region,Sentence,translation,Score
Brunetto Latini,1260-61,fior.,"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno","Quella guerra fece un'opera grandiosa perché... Inoltre, d'altra parte, Aiaces era un cavaliero franco e prodillo all'arma, di grande Grâce, ma non era pieno di grande saggezza.",4
Bono Giamboni,1292,fior.,"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.","Crudele, come dice la legge, si prenda vendetta di tutte le colpe; non si perdona a nessuno dei cavalieri che pecca.",5
Valerio Massimo (red. V1,1336,fior.,"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.","Non era altra forza d'animo il cui fu nato Ponzio Aufidiano, cavaliere romano.",4
Lucano volg. (ed. Marinoni),1330/40,prat.,"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.","Se questo piace a tutti e il tempo ha bisogno di avere Pompeio come cavalieri, non lo riterrò più.",4
Brunetto Latini,1260-61,fior.,"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.","L'ufficio di questa arte pare essere di dire apertamente per far credere, il fine è far credere per dirlo.",5
Simintendi,1333,tosc.,Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare,"Ecco, e largo ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cade nel mare.",4
Agostino da Scarperia (?),1390,tosc.,"Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti.","Chiunque ora spera che quelli che non credono ancora in Cristo, già li abbiamo visto con noi, e perché non possono negare, gridano di denti.",4
Bono Giamboni,1292,fior.,I vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.,I vendimenti dei morti e la pressione dei vivi crearono la frode di un feroce re.,4
Bart. da San Concordio,1313,tosc.,"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato della impietà verso il mio padre.","Nonostante la sua grande dignità attuale, il quale ora è feroz e onorabile, è afflitto di ogni male e tormentato dall'impieta verso il mio padre.",3
Brunetto Latini,1260-61,fior.,Gli uomini spessamente a stare fermi nella bugia incontra la verità.,Gli uomini frequentemente restano immobile nella bugia incontra la verità.,3
Brunetto Latini,1260-61,fior.,"Et se l' occhio è nobile membro del corpo dell' uomo, dunque la salutazione è nobile parte della pistola, c' altressì allumina tutta la lettera come l' occhio allumina l' uomo.","Se gli occhi sono un membro nobile del corpo umano, la saluti è una parte nobile della pistola: come gli occhi illuminano l'uomo, la saluti illumina la lettera.",4
Bono Giamboni,1292,fior.,"Tarentini, i quali erano nati di quegli di Lacedemonia et facta da lloro nobile cittade de' Greci.","I Tarantini, nati di Lacedemonia e fondati dai loro nobili cittadini greci.",3
Fatti de' Romani (H+R),1313,fior.,"Ulecois, ebe un uomo rico e nobile: Orgentore fue chiamato per nome.",Ulecois era un uomo ricco e nobile: Orgentore era chiamato per nome.,5
Valerio Massimo (red. Va),1336,tosc.,"però che, sse nobile cosa e alta è abatte il nimico, ampoi nonn è meno laudabile sapere avere misiricordia","Tuttavia, se nobile cosa e alta è abbattuta il nemico, non è meno lodevole sapere avere misericordia.",3
Bono Giamboni,1292,fior.,"Alexandri, ciò è il genero e 'l figliuolo, da Phausonia, gentile iovane di Macedonia, stando in uno luogo strecto sanza guardia, fue morto.","Alessandro, questo è il genero e il fratello, da Phausonia, gentiluomo giovane di Macedonia, stava in un luogo stretto senza guardia, fu morto.",4
Grazia di Meo,1343,tosc.,"Alchuno è riccho e gentile, ma lamentasi che vorebbe avere altra moglie che quella ch'egli à.","Alchuno è ricco e gentile, ma si lamentò di avere un'altra moglie di quella che ne ha.",2
Zanobi da Strada,1361,tosc.,"Pietro, essendogli mostrato in figura il populo Gentile, sì gli fu detto: ammazza, e mangia","Pietro, comegli mostrato in figura il popolo Gentile, sì gli fu detto: uccidi e mangia.",2
Declamazioni di Seneca,1392,tosc.,"pregollo che lo liberasse di quella obbligazione, in che egli l' aveva lasciato ubbligato. El gentile uomo assentì, e liberollo, e fecene carta.","Prego di liberarlo da quella obbligazione, in cui l'aveva lasciato legato. Il gentile uomo acconsò, e lo liberò, facendo una carta.",2
Giovanni da San Miniato,1415,tosc.,"L'oro verrà dall'Aquilone. Che figuriamo noi per l'Aquilone, se non il populo Gentile congelato dal freddo del peccato, il qual populo tenne sotto il giogo della sua tirannia","L'oro arriva dall'Aquila. Che figure abbiamo noi verso l'Aquila, se non il popolo dei Genti congelati dal freddo del peccato, che tenne sotto il giogo della sua tirannia.",3
Prima catilinaria volg. (red. A),1294,fior.,"sia in mezzo tra me e te: con noi non puo' tu già più lungamente dimorare, ch'io non lo sofferrò e non lo lascerò.","Sia anche nel mezzo tra me e te: non potrai dimorare più a lungo con noi, perché non lo soffermerò e non lo lascerò.",3
