Author,Date,Region,Sentence,translation,Score
Brunetto Latini,1260-61,fior.,"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno","Quella guerra fu condotta bene e l'opera fu compiuta come previsto. Dall'altra parte Aiace era un cavaliere franco e valoroso nel combattimento, molto più, ma non era pieno di grande intelligenza.",5
Bono Giamboni,1292,fior.,"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.","Crudele, si vendica di tutte le colpe come prescrive la legge, e non perdoni a nessun cavaliere che pecca.",5
Valerio Massimo (red. V1,1336,fior.,"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.","Ponzio Aufidiano, romano cavaliere, non era dotato di altro vigore d'animo.",5
Lucano volg. (ed. Marinoni),1330/40,prat.,"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.","«Se questo piace a tutti e se il tempo ha bisogno di avere Pompeo come cavallo e non come compagno, non considererò più le sorti.»

(Note: I've preserved the original meaning and translated it into Modern Italian)",5
Brunetto Latini,1260-61,fior.,"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.","«Sembrerebbe che questo mestiere consista nel fingere la convinzione affinché gli altri credano, e il fine è convincere gli altri attraverso l'espressione.»

(Note: I tried to preserve the original meaning while translating into modern Italian)",5
Simintendi,1333,tosc.,Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare,"«Ecco che gravi nubi cadono dalle nebbie decise; e sembrava impossibile che tutto il cielo si riversasse nel mare.»

(Note: I've preserved the original meaning and tone of the archaic Italian sentence, while translating it into modern Italian.)",4
Agostino da Scarperia (?),1390,tosc.,"Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti.","Però, coloro che ancora non credono in Cristo, ormai capiscono di starci vicini e, essendo costretti a riconoscerlo, manifestano la loro insoddisfazione con smorfie.",4
Bono Giamboni,1292,fior.,I vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.,«Le pratiche dei defunti e le pressioni dei viventi hanno portato alla menzogna di un re crudelmente avido».,5
Bart. da San Concordio,1313,tosc.,"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato della impietà verso il mio padre.","Affinché coloro che attualmente, a causa delle loro gravi colpe, sono crudeli e dignitosi, essi siano colpiti da ogni male per la loro impia condotta verso mio padre.

(Note: I've tried to preserve the original meaning and tone of the sentence, while translating it into modern Italian.)",4
Brunetto Latini,1260-61,fior.,Gli uomini spessamente a stare fermi nella bugia incontra la verità.,Gli uomini spesso incontrano la verità solo dopo aver resistito alla menzogna.,4
Brunetto Latini,1260-61,fior.,"Et se l' occhio è nobile membro del corpo dell' uomo, dunque la salutazione è nobile parte della pistola, c' altressì allumina tutta la lettera come l' occhio allumina l' uomo.","Se l'occhio è un membro nobile del corpo umano, quindi la salutazione è una parte nobile della pistola, ed altrettanto illumina tutta la lettera come l'occhio illumina l'uomo.",4
Bono Giamboni,1292,fior.,"Tarentini, i quali erano nati di quegli di Lacedemonia et facta da lloro nobile cittade de' Greci.","I Tarentini, che erano originari degli Spartani e discendenti dalla nobilissima città dei Greci.",4
Fatti de' Romani (H+R),1313,fior.,"Ulecois, ebe un uomo rico e nobile: Orgentore fue chiamato per nome.",Ulrico era un uomo ricco e nobile: Ruggiero fu chiamato per nome.,4
Valerio Massimo (red. Va),1336,tosc.,"però che, sse nobile cosa e alta è abatte il nimico, ampoi nonn è meno laudabile sapere avere misiricordia","Però, poiché una cosa nobilissima e alta è abbattere il nemico, altrettanto non è meno lodevole sapere essere misericorde.",5
Bono Giamboni,1292,fior.,"Alexandri, ciò è il genero e 'l figliuolo, da Phausonia, gentile iovane di Macedonia, stando in uno luogo strecto sanza guardia, fue morto.","«Alessandro, questo è il genero e il figlio di Fausonio, una bella giovanotta macedonia, rimasto solo in un luogo stretto senza difesa, fu ucciso.»

(Note: I preserved the original meaning by keeping the same relationships and events described in the archaic Italian sentence.)",3
Grazia di Meo,1343,tosc.,"Alchuno è riccho e gentile, ma lamentasi che vorebbe avere altra moglie che quella ch'egli à.","""Alcuni sono ricchi e cortesi, ma si lagna perché vorrebbe avere un'altra moglie diversa da quella che ha.""",5
Zanobi da Strada,1361,tosc.,"Pietro, essendogli mostrato in figura il populo Gentile, sì gli fu detto: ammazza, e mangia",«Pietro le fu ordinato di uccidere e consumare il popolo gentile».,2
Declamazioni di Seneca,1392,tosc.,"pregollo che lo liberasse di quella obbligazione, in che egli l' aveva lasciato ubbligato. El gentile uomo assentì, e liberollo, e fecene carta.","""pregò che lo si liberasse da quell'obbligazione, in cui egli era stato lasciato debitore. Il gentiluomo acconsentì, lo liberò e fece una carta.""",4
Giovanni da San Miniato,1415,tosc.,"L'oro verrà dall'Aquilone. Che figuriamo noi per l'Aquilone, se non il populo Gentile congelato dal freddo del peccato, il qual populo tenne sotto il giogo della sua tirannia","L'oro verrà dall'Aquilone. Noi ci identifichiamo come il popolo gentile gelido per la freddo del peccato, che era soggiogato al giogo della sua tirannia.

(Note: I preserved the original meaning and structure of the sentence while translating it into modern Italian)",3
Prima catilinaria volg. (red. A),1294,fior.,"sia in mezzo tra me e te: con noi non puo' tu già più lungamente dimorare, ch'io non lo sofferrò e non lo lascerò.","Non può più rimanere presso di noi, fra me e te, poiché io non lo tollero e non lo permetto.",4
