Author,Date,Region,Sentence,translation,score
Brunetto Latini,1260-61,fior.,"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno","Quella guerra ben fatta l'opera perché etc. E dall'altra parte Aiaces era un cavaliere francese e prode all'arme, di gran guisa, ma non era pieno di grande senno",5
Bono Giamboni,1292,fior.,"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.","Cruel, and of all the sins takes revenge, as the law says, and to no knight pardons those who sin.",3
Valerio Massimo (red. V1,1336,fior.,"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.","Non d' altra forza d' animo fu ornato Ponzio Aufidiano, romano cavaliere.",5
Lucano volg. (ed. Marinoni),1330/40,prat.,"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.","Se questo piace a tutti e se il tempo ha bisogno di avere Pompeio come cavaliere e non come compagno, non lo considererò più un destino.",5
Brunetto Latini,1260-61,fior.,"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.","La traduzione moderna dell'antico italiano sarebbe: ""Sembra che questo ufficio di arte sia detto appositamente per fare credere, fine è far credere per lo dire.""",5
Simintendi,1333,tosc.,Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare,"Il cielo è pieno di nuvole dense, e potresti pensare che tutto il cielo stia cadendo nel mare.",5
Agostino da Scarperia (?),1390,tosc.,"Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti.","'Ma chi vorrebbe quello che questi non vogliono ancora credere in Cristo, già li vediamo con noi, e perché non possono negarlo, stridono colli denti.'",5
Bono Giamboni,1292,fior.,I vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.,La morte e la pressione dei vivi hanno portato alla truffa di un crudele re.,5
Bart. da San Concordio,1313,tosc.,"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato della impietà verso il mio padre.","'Quel giovane, che ora per le sue grandi virtù è fiero e onorevole, è stato afflitto e tormentato dalla sua impietà verso il mio padre.'",3
Brunetto Latini,1260-61,fior.,Gli uomini spessamente a stare fermi nella bugia incontra la verità.,"Gli uomini che si trovano spesso in una bugia, incontrano la verità.",5
Filippo da Santa Croce,1323,tosc.,"Marco Cornelio ch'era de' dieci compagni, studiosamente  si riservò di parlare all'ultimo.","Marco Cornelio, uno dei dieci compagni, decise di parlare all'ultimo.",5
Cavalca,1330,tosc.,cose ch'io sapeva che erano fatte in Italia.,Le cose che so essere fatte in Italia.,5
Valerio Massimo (red. V1,1336,fior.,Corbio nipote d' Ortensio menò sua vita più bassa e più viziosa,"""Ortensio's niece led a life more lowly and vicious""",3
Brunetto Latini,1260-61,fior.,"Altressì uno amante chiamando merzé alla sua donna dice parole e ragioni molte, et ella si difende in suo dire.","""Another lover, calling mercy to his woman, says many words and reasons, and she defends herself in his speech.""",5
Arte Am. Ovid. (B),1310/13,fior.,"Io mi ricordo (ch. 347) che essendo adirato scapigliai la mia donna. Ohi, quanti dì questa ira mi tolse!","""Io ricordo (ch. 347) che essendo arrabbiato ho scagliato la mia donna. Oh, quanti giorni questa rabbia mi ha tolto!""",5
Rim. Am. Ovid. (B),1310/13,fior.,colui del quale tu tti solevi dolere ch' era amante della tua donna;,'Chi è colui di cui ti lamenti che era innamorato della tua donna?',5
Fatti de' Romani (H+R),1313,fior.,"Ma no sapeano già le nomora di coloro dela congiurazione, ché la donna no nominava già li nomi.","Non sapevano ancora i numeri dei cospiratori, perché la donna non aveva ancora nominato i loro nomi.",5
Ceffi,1325,fior.,"Creti?  Certo quand'elli si mosse, elli ti dixe: ""O fedele mia donna, fa' che in mio luogo ti sia racomandato il nostro hoste troiano"".","""Creti? Certo quand'elli si mosse, elli ti dixe: 'O fedele mia donna, fa' che in mio luogo ti sia raccomandato il nostro hoste troiano'""",5
Valerio Massimo (red. V1,1336,fior.,"A Milano fue ripressa la malvagità d' una donna in simile bugìa, nel tempo medesimo di questo signore della republica, in questo modo: ","A Milano fu repressa la malvagità d' una donna in simile bugìa, nel tempo medesimo di questo signore della repubblica, in questo modo:",5
Filippo da Santa Croce,1323,tosc.,"E lamentavansi dell'iniquità d'Appio, e ripiagnevano la malavventurata beltà della pulcella e la necessità del padre.","Lamentavano dell'ingiustizia di Appio, e si lamentavano della malaventurata bellezza della ragazza e della necessità del padre.",3
Brunetto Latini,1294,fior.,"Nella quale battaglia, certo io ebbi sempre ardire di ragionare di pace e sempre mi dolfi che non solamente la pace era schifata,","""In quale battaglia, certo io ho sempre avuto coraggio di parlare della pace e sempre mi sono lamentato che non solo la pace fosse stata offesa.""",3
Bart. da San Concordio,1313,tosc.,"la seconda suole talora per la grande provedenzia fare timoroso, e la prima per l'ardire rendere altrui matto.","La seconda volta a volte si fa timorosa per la grande provvidenza, e la prima per l'audacia rende gli altri pazzi.",5
