Author,Date,Region,Sentence,translation,Score
Brunetto Latini,1260-61,fior.,"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno","**Analysis:**

- **Structure:** Complex sentence with two clauses connected by an et.
- **Key words:** quella guerra (that war), cavaliere (knight), franco (free), prode (brave), grande senno (great sense).

**Translation:**

Quella guerra fece molto successo perché... E dall'altra parte Aiaces era un uomo coraggioso e prodigo all'arma, ma non era pieno di grande saggezza.",5
Bono Giamboni,1292,fior.,"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.","**Analysis:**

* The sentence is in the indicative mood.
* The main verb is ""pigli vendetta"" (takes revenge).
* The sentence is structured as follows: subject + auxiliary verb + main verb + complement.


**Key words:**

* Crudele: cruel
* Pigli vendetta: take revenge
* Neuno: none


**Final version:**

Un uomo crudele non perdona a nessuno che ha peccato.",5
Valerio Massimo (red. V1,1336,fior.,"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.","**Analysis:**

* The sentence is in the past tense.
* It is in the indicative mood.
* The sentence structure is subject-verb-complement.

**Key words:**

* Non: not
* d'altra: from another
* forza: force
* animo: horse
* fue: was born
* ornato: born

**Translation:**

Non era di altra forza un cavallo di Roma, Ponzio Aufidiano.",5
Lucano volg. (ed. Marinoni),1330/40,prat.,"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.","**Structure Analysis:**

* The sentence is an imperative mood, expressing a command or request.
* It consists of four clauses connected by conjunctions.
* The main clause is ""non riterrò più i fati,"" which translates to ""I will not hold back any longer.""


**Key Words:**

* *piace* - pleases
* *tempo* - time
* *Pompeio* - Pompey
* *cavaliere* - horse
* *compagno* - companion

**Final Version:**

Se tutti sono d'accordo e il tempo richiede un uomo come Pompey come cavalieri e non come compagno, non lo terrò più in sospeso.",5
Brunetto Latini,1260-61,fior.,"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.","**Structure:**

- The sentence is an inverted sentence structure, with the verb (pare) coming after the subject (Officio).
- The sentence consists of two clauses: the first clause states that the office has the purpose of making people believe, while the second clause explains the purpose of making people believe.


**Key words:**

- Officio: office, duty
- Arte: art, skill
- Dicere: to say, to declare
- Appostatamente: deliberately, intentionally
- Fare credere: to make believe


**Final version:**

L'ufficio di questa arte pare deliberatamente dire per far credere, finalità è far credere per dire.",5
Simintendi,1333,tosc.,Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare,"**Analysis:**

* Structure: The sentence is an archaic poetic style with a complex syntax. It uses extensive alliteration and figurative language.
* Key words: ventipiovoli (wind), risolute (fog), mare (sea)


**Translation:**

""Nubi densa e serre si arrolano su alte montagne di vento; pare che il cielo cade nel mare.""",5
Agostino da Scarperia (?),1390,tosc.,"Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti.","**Structure:**

The sentence is an elliptical conditional sentence with a complex predicate. 

**Key words:**

- **or chi:** whoever
- **spererebbe:** would expect
- **quello:** that
- **eziandio:** indeed
- **questi:** these
- **non vogliono ancora credere in Cristo:** do not want to believe in Christ yet
- **già veggiono con noi:** have already seen with us
- **perché:** because
- **nol possono negare:** cannot deny
- **stridono colli denti:** make their teeth chatter

**Final version:**

Chiunque si aspetterebbe che qualcuno non crede ancora in Cristo, già lo hanno visto con noi. Perché non possono negare la verità, gridano di denti.",5
Bono Giamboni,1292,fior.,I vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.,"**Analysis:**

- **Structure:** The sentence is in the indicative mood, with a passive voice construction.
- **Key words:** `vendimenti de' morti` (sales of death), `presure de' vivi` (pressure of life), `frode` (trouble), `feroce` (violent).


**Translation:**

Le vendite di morti e la pressione della vita crearono un grande disordine.",5
Bart. da San Concordio,1313,tosc.,"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato della impietà verso il mio padre.","**Structure Analysis:**

- The sentence is in the accusative mood.
- The subject is ""quelcoché"", which is an archaic form of ""qualche"".
- The main verb is ""essere"" (to be).
- There are several adjectives and nouns in the sentence.

**Key Words:**

- ""quelcoché"": some, anyone
- ""feroce"": fierce
- ""onorevole"": honorable
- ""afflitto"": afflicted
- ""tormentato"": tormented

**Final Version:**

Cerchiando chiunque sia, ora per la sua grande regale, è feroz e onorabile, è afflitto e tormentato dall'impieta verso il mio padre.",5
Brunetto Latini,1260-61,fior.,Gli uomini spessamente a stare fermi nella bugia incontra la verità.,"**Structure Analysis:**

- The sentence is composed of three parts: subject (gli uomini), verb (spessamente), and predicate (a stare fermi nella bugia incontra la verità).
- The verb ""spessamente"" means ""often,"" while ""stare fermi nella bugia"" means ""remaining steadfast in one's beliefs.""
- The predicate states that when people remain firm in their beliefs, they encounter the truth.


**Key Words:**

- uomini (men)
- stare fermi nella bugia (to remain steadfast in one's beliefs)
- incontra (meets)
- verità (truth)


**Final Version:**

Gli uomini spesso restano fermi nei propri pensieri e incontrano la verità.",5
Filippo da Santa Croce,1323,tosc.,"Marco Cornelio ch'era de' dieci compagni, studiosamente  si riservò di parlare all'ultimo.","**Analysis:**

* The sentence is in the indicative mood.
* The verb ch'era is in the past tense.
* The sentence is in the active voice.


**Key words:**

* Marco Cornelio (Marco Cornelius)
* de' dieci compagni (of ten companions)
* studiosamente (studiously)
* si riservò (he reserved)
* parlare (to speak)
* all'ultimo (finally)


**Final version:**

Marco Cornelio, che aveva dieci compagni, si riservò di parlare all'ultimo.",5
Cavalca,1330,tosc.,cose ch'io sapeva che erano fatte in Italia.,"**Analysis:**

* The sentence is in the indicative mood, third person singular.
* The verb ""sapere"" (to know) is in the past tense.
* The sentence structure is: subject (io) + verb (sapere) + that + clause (che erano fatte in Italia).


**Key words:**

* cose (things)
* sapeva (knew)
* erano (were)
* fatte (made)
* Italia (Italy)


**Final version:**

Mi sapeva che in Italia avevano fatto delle cose.",5
Valerio Massimo (red. V1,1336,fior.,Corbio nipote d' Ortensio menò sua vita più bassa e più viziosa,"**Analysis:**

* **Structure:** The sentence is in the nominative-accusative (NA) sentence pattern.
* **Key words:** Corbio (raven), nipote (grandson), Ortensio (name of a person), menò (spent), vita (life), bassa (low), viziosa (wicked).


**Translation:**

Il nipote del corvo Ortensio passò la sua vita in modo basso e vizioso.",5
Brunetto Latini,1260-61,fior.,"Altressì uno amante chiamando merzé alla sua donna dice parole e ragioni molte, et ella si difende in suo dire.","**Structure Analysis:**

- The sentence is in the indicative mood.
- It consists of four clauses connected by conjunctions.
- The subject is ""uno amante"" (a lover).
- The object is ""la sua donna"" (his woman).


**Key Words:**

- ""Altressì"" - Then, also.
- ""Chiamare"" - To call.
- ""Merzé"" - For the sake of.
- ""Parole"" - Words.
- ""Razoni"" - Reasons.
- ""Difendersi"" - To defend oneself.


**Modern Italian Translation:**

""Anche un amante lo chiamerà per il suo bene e le dirà parole e ragioni molte, e lei si difenderà parlando.""",5
Arte Am. Ovid. (B),1310/13,fior.,"Io mi ricordo (ch. 347) che essendo adirato scapigliai la mia donna. Ohi, quanti dì questa ira mi tolse!","**Structure Analysis:**

- The sentence is in the first person singular.
- It consists of four clauses connected by conjunctions.
- The main clause is ""Io mi ricordo..."" (I remember...).
- The other three clauses are participial phrases.


**Key Words:**

- **mi ricordo:** I remember
- **adirato:** angry
- **scapigliai:** I scolded
- **questa ira:** this anger
- **mi tolse:** took away from me

**Final Version:**

Mi ricordo che, quando ero arrabbiato, ho rimproverato la mia donna. Oh, quante giornate questo rabbio mi ha tolto!",5
Rim. Am. Ovid. (B),1310/13,fior.,colui del quale tu tti solevi dolere ch' era amante della tua donna;,"**Structure Analysis:**

* The sentence is in the conditional mood.
* It consists of two clauses:
    * The first clause: ""colui del quale tu tti solevi dolere"" (Whom you used to complain about).
    * The second clause: ""era amante della tua donna"" (was the lover of your woman).


**Key Words:**

* ""colui"": someone (masculine singular)
* ""solevi"": used to (verb)
* ""dolere"": to complain
* ""era"": was (past tense of ""essere"")
* ""amante"": lover
* ""tua"": your

**Final Version:**

""A chi tu hai lasciato di lamentarsi era il suo amante.""",5
Fatti de' Romani (H+R),1313,fior.,"Ma no sapeano già le nomora di coloro dela congiurazione, ché la donna no nominava già li nomi.","**Analysis:**

* **Structure:** The sentence is an affirmative statement with a negation and an exclamatory element.
* **Key words:** ""no sapeano"" (they do not know), ""nomora"" (names), ""degli"" (of), ""la donna"" (the woman), ""nominava"" (was naming).


**Final Version:**

Non sanno ancora i nomi di coloro della congiurazione, perché la donna non nominava già i nomi.",5
Ceffi,1325,fior.,"Creti?  Certo quand'elli si mosse, elli ti dixe: ""O fedele mia donna, fa' che in mio luogo ti sia racomandato il nostro hoste troiano"".","**Analysis:**

* The sentence is in the indicative mood and employs a direct object (elli ti dixe).
* The word ""creti"" is an archaic form of ""credi"" (surely).
* ""Hoste"" is an archaic term for ""friend"".

**Key words:**

* Creti (surely)
* Elli (he)
* Racomandato (recommended)
* Hoste (friend)

**Final version:**

Certo quando lui si mosse, disse: ""Oh fedele mia donna, fa' che in mio luogo ti sia recommendato il nostro amico troiano"".",5
