Author,Date,Region,Sentence,translation
Brunetto Latini,1260-61,fior.,"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno","""I am a soldier, and I am a soldier of the King of England.""
""I am a soldier, and I am a soldier of the King of England.""
""I am a soldier, and I am a soldier of the King of England.""
""I am a soldier, and I am a soldier of the King of England.""
""I am a soldier, and I am a soldier of the King of England.""
""I am a soldier, and I am a soldier of the King of England.""
""I am a soldier, and I am a soldier of the King of England.""
""I am a soldier, and I am a soldier of the King of England.""
""I am a soldier"
Bono Giamboni,1292,fior.,"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.","""The first thing I did was to go to the police station and ask for the chief of police. I told him that I had been robbed and that I wanted to know what to do. He told me to go to the chief of the police station and ask for the chief of the police station. I went to the chief of the police station and asked for the chief of the police station. He told me to go to the chief of the police station and ask for the chief of the police station. I went to the chief of the police station and asked for the chief of the police station. He told me to go to the chief of the police station and ask for the chief of the police station. I went to the chief of"
Valerio Massimo (red. V1,1336,fior.,"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.","""I am not a man of many words, but I am a man of many deeds.""
- Ponzio Aufidiano
""I am not a man of many words, but I am a man of many deeds.""
- Ponzio Aufidiano
""I am not a man of many words, but I am a man of many deeds.""
- Ponzio Aufidiano
""I am not a man of many words, but I am a man of many deeds.""
- Ponzio Aufidiano
""I am not a man of many words, but I am a man of many deeds.""
- Ponzio Aufidiano
""I am not"
Lucano volg. (ed. Marinoni),1330/40,prat.,"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.","""I am not a soldier, I am a citizen.""
""I am not a soldier, I am a citizen.""
""I am not a soldier, I am a citizen.""
""I am not a soldier, I am a citizen.""
""I am not a soldier, I am a citizen.""
""I am not a soldier, I am a citizen.""
""I am not a soldier, I am a citizen.""
""I am not a soldier, I am a citizen.""
""I am not a soldier, I am a citizen.""
""I am not a soldier, I am a citizen.""
""I am not a soldier, I am a citizen.""
""I am not a soldier"
Brunetto Latini,1260-61,fior.,"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.","""I am not a Christian, but I am a Christian.""
""I am not a Muslim, but I am a Muslim.""
""I am not a Jew, but I am a Jew.""
""I am not a Hindu, but I am a Hindu.""
""I am not a Buddhist, but I am a Buddhist.""
""I am not a Hindu, but I am a Hindu.""
""I am not a Muslim, but I am a Muslim.""
""I am not a Jew, but I am a Jew.""
""I am not a Hindu, but I am a Hindu.""
""I am not a Buddhist, but I am a Buddhist.""
""I am not a Hindu, but I"
Simintendi,1333,tosc.,via alle mortali onde.  Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare; e che l'enfiato mare salisse nelle contrade,"""The first thing I did when I got to the island was to go to the cemetery. I was looking for the grave of my father. I found it, but I didn't find my father. I found a lot of graves, but I didn't find my father. I found a lot of graves, but I didn't find my father.""
""I found a lot of graves, but I didn't find my father.""
""I found a lot of graves, but I didn't find my father.""
""I found a lot of graves, but I didn't find my father.""
""I found a lot of graves, but I didn't find my father.""
""I found a lot of graves, but"
Agostino da Scarperia (?),1390,tosc.,"si nega. Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti, e","""Io sono una persona che non ha mai voglia di vedere, ma non ha mai voglia di vedere.
""Io sono una persona che non ha mai voglia di vedere, ma non ha mai voglia di vedere.
""Io sono una persona che non ha mai voglia di vedere, ma non ha mai voglia di vedere.
""Io sono una persona che non ha mai voglia di vedere, ma non ha mai voglia di vedere.
""Io sono una persona che"
Bono Giamboni,1292,fior.,"bestiame, i vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.","""I vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.""
""I vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.""
""I vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.""
""I vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.""
""I vendimenti de' morti et le presure de' vivi fece la"
Bart. da San Concordio,1313,tosc.,"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato, della impietà verso il mio padre,","I am a man who has been a slave to his own passions, and I have been a slave to my own desires, and I have been a slave to my own fears, and I have been a slave to my own pride, and I have been a slave to my own vanity, and I have been a slave to my own vanity, and I have been a slave to my own vanity, and I have been a slave to my own vanity, and I have been a slave to my own vanity, and I have been a slave to my own vanity, and I have been a slave to my own vanity, and I have been a slave to my own vanity, and I have been a slave to my own vanity, and I have"
Brunetto Latini,1260-61,fior.,"controversie adusandosi gli uomini spessamente a stare fermi nella bugia incontra la verità, imperseveramento di parlare nutricò arditanza.","""The truth is that the truth is that the truth is that the truth is that the truth is that the truth is that the truth is that the truth is that the truth is that the truth is that the truth is that the truth is that the truth is that the truth is that the truth is that the truth is that the truth is that the truth is that the truth is that the truth is that the truth is that the truth is that the truth is that the truth is that the truth is that the truth is that the truth is that the truth is that the truth is that the truth is that the truth is that the truth is that the truth is that the truth is that the truth is that the truth is that the truth is that"
Filippo da Santa Croce,1323,tosc.,"Marco Cornelio ch'era de' dieci compagni, studiosamente  si riservò di parlare all'ultimo.","Marco Cornelio, a man of twenty-five, was a man of twenty-five.
He was a man of twenty-five.
He was a man of twenty-five.
He was a man of twenty-five.
He was a man of twenty-five.
He was a man of twenty-five.
He was a man of twenty-five.
He was a man of twenty-five.
He was a man of twenty-five.
He was a man of twenty-five.
He was a man of twenty-five.
He was a man of twenty-five.
He was a man of twenty-five.
He was a man of twenty-five."
Cavalca,1330,tosc.,"Italia, tuttavia, poi che cominciato abbiamo a parlare contra l' eresia ariana, vuoi che per mostrarti meglio la dannazione del predetto errore passiamo","Italia, poi che cominciato abbiamo a parlare contra l' eresia ariana, vuoi che per mostrarti meglio la dannazione del predetto errore passiamo

Italia, poi che cominciato abbiamo a parlare contra l' eresia ariana, vuoi che per mostrarti meglio la dannazione del predetto errore passiamo

Italia, poi che cominciato abbiamo a parlare contra l' eresia ariana, vuoi che per mostr"
Valerio Massimo (red. V1,1336,fior.,Corbio nipote d' Ortensio menò sua vita più bassa e più viziosa,"""I have been a little more than a little surprised at the way in which the people of the town have been treating me. I have been a little more than a little surprised at the way in which the people of the town have been treating me. I have been a little more than a little surprised at the way in which the people of the town have been treating me. I have been a little more than a little surprised at the way in which the people of the town have been treating me. I have been a little more than a little surprised at the way in which the people of the town have been treating me. I have been a little more than a little surprised at the way in which the people of the town have been treating"
Brunetto Latini,1260-61,fior.,"contendono d' alcuna cosa, e così fanno tencione. Altressì uno amante chiamando merzé alla sua donna dice parole e ragioni molte, et ella si difende in suo dire et inforza le","""I am a man of the world, and I am a man of the world. I am a man of the world, and I am a man of the world. I am a man of the world, and I am a man of the world. I am a man of the world, and I am a man of the world. I am a man of the world, and I am a man of the world. I am a man of the world, and I am a man of the world. I am a man of the world, and I am a man of the world. I am a man of the world, and I am a man of the world. I am a man of the world, and I am a"
Arte Am. Ovid. (B),1310/13,fior.,"Io mi ricordo (ch. 347) che essendo adirato scapigliai la mia donna. Ohi, quanti dì questa ira mi tolse!  E non mi ricordo (ch.","Io mi ricordo (ch. 347) che essendo adirato scapigliai la mia donna. Ohi, quanti dì questa ira mi tolse!
Io mi ricordo (ch. 347) che essendo adirato scapigliai la mia donna. Ohi, quanti dì questa ira mi tolse!
Io mi ricordo (ch. 347) che essendo adirato scapigliai la mia donna. Ohi, quanti dì questa ira mi tolse!
Io mi ricordo (ch. 347)"
Rim. Am. Ovid. (B),1310/13,fior.,"luogo di nimico colui del quale tu tti solevi dolere ch' era amante della tua donna;  e avegna che rimanga l' odio, salutalo; tu sarai allora sano, quando tu il","""Io sono una donna che non ti amo, ma io sono una donna che ti amo.""
""Io sono una donna che non ti amo, ma io sono una donna che ti amo.""
""Io sono una donna che non ti amo, ma io sono una donna che ti amo.""
""Io sono una donna che non ti amo, ma io sono una donna che ti amo.""
""Io sono una donna che non ti amo, ma io sono una donna che ti amo.""
""Io son"
Fatti de' Romani (H+R),1313,fior.,"Ma no sapeano già le nomora di coloro dela congiurazione, ché la donna no nominava già li nomi.","""I am not a number. I am a free man. I am a free man. I am a free man. I am a free man. I am a free man. I am a free man. I am a free man. I am a free man. I am a free man. I am a free man. I am a free man. I am a free man. I am a free man. I am a free man. I am a free man. I am a free man. I am a free man. I am a free man. I am a free man. I am a free man. I am a free man. I am a free man. I am a free man. I am a free"
Ceffi,1325,fior.,"Creti?  Certo quand'elli si mosse, elli ti dixe: ""O fedele mia donna, fa' che in mio luogo ti sia racomandato il nostro hoste troiano"".","""I Creti??""
""O fedele mia donna, fa' che in mio luogo ti sia racomandato il nostro hoste troiano.""
""I Creti??""
""O fedele mia donna, fa' che in mio luogo ti sia racomandato il nostro hoste troiano.""
""I Creti??""
""O fedele mia donna, fa' che in mio luogo ti sia racomandato il nostro hoste troiano.""
""I Creti??""
""O fedele mia donna, fa'"
Valerio Massimo (red. V1,1336,fior.,"nelle comuni prigioni, e lì morìo.  A Milano fue ripressa la malvagità d' una donna in simile bugìa, nel tempo medesimo di questo signore della republica, in questo modo: che","""I am a woman, and I am a mother. I am a woman, and I am a mother. I am a woman, and I am a mother. I am a woman, and I am a mother. I am a woman, and I am a mother. I am a woman, and I am a mother. I am a woman, and I am a mother. I am a woman, and I am a mother. I am a woman, and I am a mother. I am a woman, and I am a mother. I am a woman, and I am a mother. I am a woman, and I am a mother. I am a woman, and I am a mother. I am a woman,"
Filippo da Santa Croce,1323,tosc.,"Appio, e ripiagnevano la malavventurata beltà della pulcella e la necessità del padre.","Appio, e ripiagnevano la malavventurata beltà della pulcella e la necessità del padre.

Traduzione:
Appio, e ripiagnevano la malavventurata beltà della pulcella e la necessità del padre.

Traduzione:
Appio, e ripiagnevano la malavventurata beltà della pulcella e la necessità del padre.

Traduzione:
Appio, e ripiagnevano la malavventurata beltà della pulcella e la necessità del padre."
Brunetto Latini,1294,fior.,"animo, presono la battaglia contro di lui.  Nella quale battaglia, certo io ebbi sempre ardire di ragionare di pace e sempre mi dolfi che non solamente la pace era schifata,","""I am not a soldier, I am a pacifist.""
""I am not a soldier, I am a pacifist.""
""I am not a soldier, I am a pacifist.""
""I am not a soldier, I am a pacifist.""
""I am not a soldier, I am a pacifist.""
""I am not a soldier, I am a pacifist.""
""I am not a soldier, I am a pacifist.""
""I am not a soldier, I am a pacifist.""
""I am not a soldier, I am a pacifist.""
""I am not a soldier, I am a pacifist.""
""I am not a soldier, I am"
Bart. da San Concordio,1313,tosc.,"la seconda suole talora per la grande provedenzia fare timoroso, e la prima per l'ardire rendere altrui matto.","""The second and the first are the same, but the second is the one that is more altruistic.""
""The second and the first are the same, but the second is the one that is more altruistic.""
""The second and the first are the same, but the second is the one that is more altruistic.""
""The second and the first are the same, but the second is the one that is more altruistic.""
""The second and the first are the same, but the second is the one that is more altruistic.""
""The second and the first are the same, but the second is the one that is more altruistic.""
""The second and the first are the same, but"
Valerio Massimo (red. V1,1336,fior.,"nel campo de' Cartaginesi e tutta la legione trasse seco.  E così il forte ardire di tre uomini fece sì che Anibale, il quale poco prima per sua speranza era","""Anibale""
""Anibale""
""Anibale""
""Anibale""
""Anibale""
""Anibale""
""Anibale""
""Anibale""
""Anibale""
""Anibale""
""Anibale""
""Anibale""
""Anibale""
""Anibale""
""Anibale""
""Anibale""
""Anibale""
""Anibale""
""Anibale""
""Anibale""
""Anibale""
""Anibale""
""Anibale""
""Anibale""
""Anibale"""
Zanobi da Strada,1361,tosc.,"podestade d'ucciderlo, non lo volle cognoscere per nimico.","""I am not a man who is easily moved, but I am moved by many things.""
- Friedrich Nietzsche
""I am not a man who is easily moved, but I am moved by many things.""
- Friedrich Nietzsche
""I am not a man who is easily moved, but I am moved by many things.""
- Friedrich Nietzsche
""I am not a man who is easily moved, but I am moved by many things.""
- Friedrich Nietzsche
""I am not a man who is easily moved, but I am moved by many things.""
- Friedrich Nietzsche
""I am not a man who is easily moved, but I am moved by many things.""
- Friedrich Nietzsche
""I am not a"
