Author,Date,Region,Sentence,translation
Brunetto Latini,1260-61,fior.,"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno","I am a soldier,
I am a soldier,
I am a soldier,
I am a soldier,
I am a soldier,
I am a soldier,
I am a soldier,
I am a soldier,
I am a soldier,
I am a soldier,
I am a soldier,
I am a soldier,
I am a soldier,
I am a soldier,
I am a soldier,
I am a soldier,
I am a soldier,
I am a soldier,
I am a soldier,
I am a soldier,
I am a soldier,
I am a soldier,
I am a soldier,
I am a soldier,
I am a soldier,"
Bono Giamboni,1292,fior.,"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.","“
“
“
“
“
“
“
“
“
“
“
“
“
“
“
“
“
“
“
“
“
“
“
“
“
“
“
“
“
“
“
“
“
“
“
“
“
“
“
“
“
“
“
“
“
“
“
“
“
“"
Valerio Massimo (red. V1,1336,fior.,"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.","Ponzio Aufidiano, romano cavaliere,
Non d' alta forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.
Non d' alta forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.
Non d' alta forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.
Non d' alta forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.
Non d' alta forza d' animo fue ornato Ponzio A"
Lucano volg. (ed. Marinoni),1330/40,prat.,"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.","Pompeio,
d'un'altra mano,
d'un'altra mano,
d'un'altra mano,
d'un'altra mano,
d'un'altra mano,
d'un'altra mano,
d'un'altra mano,
d'un'altra mano,
d'un'altra mano,
d'un'altra mano,
d'un'altra mano,
d'un'altra mano,
d'un'altra mano,
d'un'altra mano,
d'un"
Brunetto Latini,1260-61,fior.,"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.","“The office of the Holy Spirit is the office of the Holy Spirit.”
“The office of the Holy Spirit is the office of the Holy Spirit.”
“The office of the Holy Spirit is the office of the Holy Spirit.”
“The office of the Holy Spirit is the office of the Holy Spirit.”
“The office of the Holy Spirit is the office of the Holy Spirit.”
“The office of the Holy Spirit is the office of the Holy Spirit.”
“The office of the Holy Spirit is the office of the Holy Spirit.”
“The office of the Holy Spirit is the office of the Holy Spirit."
Simintendi,1333,tosc.,via alle mortali onde.  Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare; e che l'enfiato mare salisse nelle contrade,"I am a man of the sea,
I am a man of the sea,
I am a man of the sea,
I am a man of the sea.
I am a man of the sea,
I am a man of the sea,
I am a man of the sea.
I am a man of the sea,
I am a man of the sea,
I am a man of the sea.
I am a man of the sea,
I am a man of the sea,
I am a man of the sea.
I am a man of the sea,
I am a man of the sea,
I am a man of the sea.
I am a man of"
Agostino da Scarperia (?),1390,tosc.,"si nega. Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti, e","I’m not sure where you’re getting your info, but great topic. I needs to spend some time learning much more or understanding more. Thanks for wonderful info I was looking for this information for my mission.
I’m not sure where you’re getting your info, but great topic. I needs to spend some time learning much more or understanding more. Thanks for wonderful info I was looking for this information for my mission.
I’m not sure where you’re getting your info, but great topic. I needs to spend some time learning much more or understanding more. Thanks for wonderful info I was looking for this information for my mission.
I’m not sure where you"
Bono Giamboni,1292,fior.,"bestiame, i vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.","I morti, i vivi, i vostri amici, i vostri amici, i vostri amici, i vostri amici, i vostri amici, i vostri amici, i vostri amici, i vostri amici, i vostri amici, i vostri amici, i vostri amici, i vostri amici, i vostri amici, i vostri amici, i vostri amici, i vostri amici, i vostri amici, i vostri amici, i vostri amici, i vostri amici,"
Bart. da San Concordio,1313,tosc.,"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato, della impietà verso il mio padre,","I quattro giorni fa, il padre è morto, e il padre è morto, e il padre è morto, e il padre è morto, e il padre è morto, e il padre è morto, e il padre è morto, e il padre è morto, e il padre è morto, e il padre è morto, e il padre è morto, e il padre è morto, e il padre è morto, e il padre è morto, e il padre è morto, e il padre �"
Brunetto Latini,1260-61,fior.,"controversie adusandosi gli uomini spessamente a stare fermi nella bugia incontra la verità, imperseveramento di parlare nutricò arditanza.","“
“
“
“
“
“
“
“
“
“
“
“
“
“
“
“
“
“
“
“
“
“
“
“
“
“
“
“
“
“
“
“
“
“
“
“
“
“
“
“
“
“
“
“
“
“
“
“
“
“"
Filippo da Santa Croce,1323,tosc.,"Marco Cornelio ch'era de' dieci compagni, studiosamente  si riservò di parlare all'ultimo.","Marco Cornelio, a man of many talents, was a man of many talents. He was a painter, a sculptor, a poet, a musician, a writer, a teacher, a soldier, a politician, a diplomat, a friend, a lover, a husband, a father, a son, a brother, a friend, a lover, a husband, a son, a brother, a friend, a lover, a husband, a father, a son, a brother, a friend, a lover, a husband, a son, a brother, a friend, a lover, a husband, a son, a brother, a friend, a lover, a husband, a son, a brother, a friend, a lover,"
Cavalca,1330,tosc.,"Italia, tuttavia, poi che cominciato abbiamo a parlare contra l' eresia ariana, vuoi che per mostrarti meglio la dannazione del predetto errore passiamo","Italia, poi che cominciato abbiamo a parlare contra l' eresia ariana, vuoi che per mostrarti meglio la dannazione del predetto errore passiamo

Traduzione:
Italia, poi che cominciato abbiamo a parlare contra l' eresia ariana, vuoi che per mostrarti meglio la dannazione del predetto errore passiamo

Traduzione:
Italia, poi che cominciato abbiamo a parlare contra l' eres"
Valerio Massimo (red. V1,1336,fior.,Corbio nipote d' Ortensio menò sua vita più bassa e più viziosa,"Corbio nipote d' Ortensio menò sua vita più bassa e più viziosa
Corbio nipote d' Ortensio menò sua vita più bassa e più viziosa
Corbio nipote d' Ortensio menò sua vita più bassa e più viziosa
Corbio nipote d' Ortensio menò sua vita più bassa e più viziosa
Corbio nipote d' Ortensio menò sua vita più bassa e pi"
Brunetto Latini,1260-61,fior.,"contendono d' alcuna cosa, e così fanno tencione. Altressì uno amante chiamando merzé alla sua donna dice parole e ragioni molte, et ella si difende in suo dire et inforza le","I love you, I love you, I love you, I love you, I love you, I love you, I love you, I love you, I love you, I love you, I love you, I love you, I love you, I love you, I love you, I love you, I love you, I love you, I love you, I love you, I love you, I love you, I love you, I love you, I love you, I love you, I love you, I love you, I love you, I love you, I love you, I love you, I love you, I love you, I love you, I love you, I love you, I"
Arte Am. Ovid. (B),1310/13,fior.,"Io mi ricordo (ch. 347) che essendo adirato scapigliai la mia donna. Ohi, quanti dì questa ira mi tolse!  E non mi ricordo (ch.","Io mi ricordo (ch. 347) che essendo adirato scapigliai la mia donna. Ohi, quanti dì questa ira mi tolse!
Io mi ricordo (ch. 347) che essendo adirato scapigliai la mia donna. Ohi, quanti dì questa ira mi tolse!
Io mi ricordo (ch. 347) che essendo adirato scapigliai la mia donna. Ohi, quanti dì questa ira mi tolse!
Io mi ricordo (ch. 347)"
Rim. Am. Ovid. (B),1310/13,fior.,"luogo di nimico colui del quale tu tti solevi dolere ch' era amante della tua donna;  e avegna che rimanga l' odio, salutalo; tu sarai allora sano, quando tu il","Io sono una donna che mi ha fatto amare,
E' una donna che mi ha fatto amare,
E' una donna che mi ha fatto amare,
E' una donna che mi ha fatto amare,
E' una donna che mi ha fatto amare,
E' una donna che mi ha fatto amare,
E' una donna che mi ha fatto amare,
E' una donna che mi ha fatto amare,
E' una donna che mi ha fatto amare,
E' una donna che mi ha fatto am"
Fatti de' Romani (H+R),1313,fior.,"Ma no sapeano già le nomora di coloro dela congiurazione, ché la donna no nominava già li nomi.","“I’m not a girl, I’m a woman.”
“I’m not a woman, I’m a man.”
“I’m not a man, I’m a woman.”
“I’m not a woman, I’m a man.”
“I’m not a man, I’m a woman.”
“I’m not a woman, I’m a man.”
“I’m not a woman, I’m a man.”
“I’m not a woman"
Ceffi,1325,fior.,"Creti?  Certo quand'elli si mosse, elli ti dixe: ""O fedele mia donna, fa' che in mio luogo ti sia racomandato il nostro hoste troiano"".","Creti?
Creti?
Creti?
Creti?
Creti?
Creti?
Creti?
Creti?
Creti?
Creti?
Creti?
Creti?
Creti?
Creti?
Creti?
Creti?
Creti?
Creti?
Creti?
Creti?
Creti?
Creti?
Creti?
Creti?
Creti?
Creti?
Creti?
Creti?
Creti?
Creti?"
Valerio Massimo (red. V1,1336,fior.,"nelle comuni prigioni, e lì morìo.  A Milano fue ripressa la malvagità d' una donna in simile bugìa, nel tempo medesimo di questo signore della republica, in questo modo: che","""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
"""
Filippo da Santa Croce,1323,tosc.,"Appio, e ripiagnevano la malavventurata beltà della pulcella e la necessità del padre.",“I’m going to tell you a story about a man who was born in a small town in the south of Italy. He was born in a small town in the south of Italy. He was born in a small town in the south of Italy. He was born in a small town in the south of Italy. He was born in a small town in the south of Italy. He was born in a small town in the south of Italy. He was born in a small town in the south of Italy. He was born in a small town in the south of Italy. He was born in a small town in the south of Italy. He was born in a small town in the south of Italy. He was born in
Brunetto Latini,1294,fior.,"animo, presono la battaglia contro di lui.  Nella quale battaglia, certo io ebbi sempre ardire di ragionare di pace e sempre mi dolfi che non solamente la pace era schifata,","Io sono una donna che non è una donna, ma una donna che non è una donna.
Io sono una donna che non è una donna, ma una donna che non è una donna.
Io sono una donna che non è una donna, ma una donna che non è una donna.
Io sono una donna che non è una donna, ma una donna che non è una donna.
Io sono una donna che non è una donna, ma una don"
Bart. da San Concordio,1313,tosc.,"la seconda suole talora per la grande provedenzia fare timoroso, e la prima per l'ardire rendere altrui matto.","Io sono una grande provincia, ma non è una provincia, ma una grande regione, ma non una grande regione, ma una grande regione, ma una grande regione, ma una grande regione, ma una grande regione, ma una grande regione, ma una grande regione, ma una grande regione, ma una grande regione, ma una grande regione, ma una grande regione, ma una grande regione, ma una grande regione, ma una grande regione, ma una grande region"
Valerio Massimo (red. V1,1336,fior.,"nel campo de' Cartaginesi e tutta la legione trasse seco.  E così il forte ardire di tre uomini fece sì che Anibale, il quale poco prima per sua speranza era","Anibale, il quale poco prima per sua speranza era
Anibale, il quale poco prima per sua speranza era
Anibale, il quale poco prima per sua speranza era
Anibale, il quale poco prima per sua speranza era
Anibale, il quale poco prima per sua speranza era
Anibale, il quale poco prima per sua speranza era
Anibale, il quale poco prima per sua speranza era
Anibale, il quale poco prima per sua sper"
