Author,Date,Region,Sentence,translation
Brunetto Latini,1260-61,fior.,"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno","The war was fought because the king was a Franco and because he was a great soldier, but he was not a great man.
The war was fought because the king was a Franco and because he was a great soldier, but he was not a great man.
The war was fought because the king was a Franco and because he was a great soldier, but he was not a great man.
The war was fought because the king was a Franco and because he was a great soldier, but he was not a great man.
The war was fought because the king was a Franco and because he was a great soldier, but he was not a great man.
The war was fought because the king was a Franco and because he was"
Bono Giamboni,1292,fior.,"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.","“The most important thing is to be able to read and write, and to be able to read and write well.”
“The most important thing is to be able to read and write, and to be able to read and write well.”
“The most important thing is to be able to read and write, and to be able to read and write well.”
“The most important thing is to be able to read and write, and to be able to read and write well.”
“The most important thing is to be able to read and write, and to be able to read and write well.”
“The most important thing is to be"
Valerio Massimo (red. V1,1336,fior.,"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.","""Not for any other reason was Ponzio Aufidiano, a Roman cavalryman, adorned with a helmet.
""
I have a question about the translation. I think the original is ""ornato"" and not ""ornato"".
I think the original is ""ornato"" and not ""ornato"".
I think the original is ""ornato"" and not ""ornato"".
I think the original is ""ornato"" and not ""ornato"".
I think the original is ""ornato"" and not ""ornato"".
I think the original is ""ornato"" and not ""ornato"".
I think the original is ""ornato"" and not ""ornato"".
I"
Lucano volg. (ed. Marinoni),1330/40,prat.,"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.","This is a pleasant thing to all and at the time when it is needed for a soldier and not for a courier, not to mention that it is not necessary to be carried by a courier.
This is a pleasant thing to all and at the time when it is needed for a soldier and not for a courier, not to mention that it is not necessary to be carried by a courier.
This is a pleasant thing to all and at the time when it is needed for a soldier and not for a courier, not to mention that it is not necessary to be carried by a courier.
This is a pleasant thing to all and at the time when it is needed for a soldier and not for a courier, not to mention that it"
Brunetto Latini,1260-61,fior.,"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.","Officer of this art is that it is said to believe that to believe is to believe.

The above is a translation of the above text.
The above is a translation of the above text.
The above is a translation of the above text.
The above is a translation of the above text.
The above is a translation of the above text.
The above is a translation of the above text.
The above is a translation of the above text.
The above is a translation of the above text.
The above is a translation of the above text.
The above is a translation of the above text.
The above is a translation of the above text.
The above is a translation of the"
Simintendi,1333,tosc.,via alle mortali onde.  Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare; e che l'enfiato mare salisse nelle contrade,"""The wind blows from the east, and the waves are high; and you can't believe that everything in the sky is in the sea; and you can't believe that the sea is in the sky; and that the wind is in the sky.""
""The wind blows from the east, and the waves are high; and you can't believe that everything in the sky is in the sea; and you can't believe that the sea is in the sky; and that the wind is in the sky.""
The wind blows from the east, and the waves are high; and you can't believe that everything in the sky is in the sea; and you can't believe that the sea is in the sky; and that the wind"
Agostino da Scarperia (?),1390,tosc.,"si nega. Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti, e","If you do not believe that Christ is the Son of God, then you will not believe that he is the one who is crucified, and because you do not believe, you will not believe that he is risen.
If you do not believe that Christ is the Son of God, then you will not believe that he is the one who is crucified, and because you do not believe, you will not believe that he is risen.
I have a question. If you do not believe that Christ is the Son of God, then you will not believe that he is the one who is crucified, and because you do not believe, you will not believe that he is risen.
I have a question. If you do not"
Bono Giamboni,1292,fior.,"bestiame, i vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.","I am a man of the world, and I am a man of the dead.
I am a man of the world, and I am a man of the dead.
I am a man of the world, and I am a man of the dead.
I am a man of the world, and I am a man of the dead.
I am a man of the world, and I am a man of the dead.
I am a man of the world, and I am a man of the dead.
I am a man of the world, and I am a man of the dead.
I am a man of the world, and I am a man of the dead.
I am a man of"
Bart. da San Concordio,1313,tosc.,"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato, della impietà verso il mio padre,","""I am the one who has been given the gift of love, and it is a gift that is not given to anyone else, and it is a gift that is not given to anyone else, and it is a gift that is not given to anyone else, and it is a gift that is not given to anyone else, and it is a gift that is not given to anyone else, and it is a gift that is not given to anyone else, and it is a gift that is not given to anyone else, and it is a gift that is not given to anyone else, and it is a gift that is not given to anyone else, and it is a gift that is not given to anyone else, and it is a gift"
Brunetto Latini,1260-61,fior.,"controversie adusandosi gli uomini spessamente a stare fermi nella bugia incontra la verità, imperseveramento di parlare nutricò arditanza.","The controversy over the eating of meat is a controversy between men and women, who are eating meat, and the truth, which is eating healthily.

The controversy over the eating of meat is a controversy between men and women, who are eating meat, and the truth, which is eating healthily.

The controversy over the eating of meat is a controversy between men and women, who are eating meat, and the truth, which is eating healthily.

The controversy over the eating of meat is a controversy between men and women, who are eating meat, and the truth, which is eating healthily.

The controversy over the eating of meat is a controversy between men and women, who are eating meat, and"
Filippo da Santa Croce,1323,tosc.,"Marco Cornelio ch'era de' dieci compagni, studiosamente  si riservò di parlare all'ultimo.","Marco Cornelio was a man of twenty-five, a companion of twenty-five, and a friend of twenty-five.

Translation:
Marco Cornelio was a man of twenty-five, a companion of twenty-five, and a friend of twenty-five.

Translation:
Marco Cornelio was a man of twenty-five, a companion of twenty-five, and a friend of twenty-five.

Translation:
Marco Cornelio was a man of twenty-five, a companion of twenty-five, and a friend of twenty-five.

Translation:
Marco Cornelio was a man of twenty-five, a companion of twenty-five, and a friend of twenty-five"
Cavalca,1330,tosc.,"Italia, tuttavia, poi che cominciato abbiamo a parlare contra l' eresia ariana, vuoi che per mostrarti meglio la dannazione del predetto errore passiamo","Italy, however, that began to speak against Ariana, you would like to see better the disgrace of the predestined error.

The text is in Italian.
I have a question:
Is it possible to translate the text in Italian?
I have a question:
Is it possible to translate the text in Italian?
I have a question:
Is it possible to translate the text in Italian?
I have a question:
Is it possible to translate the text in Italian?
I have a question:
Is it possible to translate the text in Italian?
I have a question:
Is it possible to translate the text in Italian?
I have a question:
Is it possible to translate"
Valerio Massimo (red. V1,1336,fior.,Corbio nipote d' Ortensio menò sua vita più bassa e più viziosa,"""I have been a fool more than a year, and I have lost my life more than my wealth.""
""I have been a fool more than a year, and I have lost my life more than my wealth.""
I have been a fool more than a year, and I have lost my life more than my wealth.
I have been a fool more than a year, and I have lost my life more than my wealth.
I have been a fool more than a year, and I have lost my life more than my wealth.
I have been a fool more than a year, and I have lost my life more than my wealth.
I have been a fool more than a year, and I have lost my"
Brunetto Latini,1260-61,fior.,"contendono d' alcuna cosa, e così fanno tencione. Altressì uno amante chiamando merzé alla sua donna dice parole e ragioni molte, et ella si difende in suo dire et inforza le","""I have no other reason to contend, and so I give up everything. I am a lover of many things, and so I give up everything.""
""I have no other reason to contend, and so I give up everything. I am a lover of many things, and so I give up everything.""
I have no other reason to contend, and so I give up everything. I am a lover of many things, and so I give up everything.""
I have no other reason to contend, and so I give up everything. I am a lover of many things, and so I give up everything.""
I have no other reason to contend, and so I give up everything. I am a lover of many things,"
Arte Am. Ovid. (B),1310/13,fior.,"Io mi ricordo (ch. 347) che essendo adirato scapigliai la mia donna. Ohi, quanti dì questa ira mi tolse!  E non mi ricordo (ch.","I remember that I was so happy when I saw my wife's face. Oh, how many times have I seen this face!
Io mi ricordo (ch. 347) che essendo adirato scapigliai la mia donna. Ohi, quanti dì questa ira mi tolse!
Io mi ricordo (ch. 347) che essendo adirato scapigliai la mia donna. Ohi, quanti dì questa ira mi tolse!
Io mi ricordo (ch. 347) che essendo adirato scapigliai la mia donna. Ohi"
Rim. Am. Ovid. (B),1310/13,fior.,"luogo di nimico colui del quale tu tti solevi dolere ch' era amante della tua donna;  e avegna che rimanga l' odio, salutalo; tu sarai allora sano, quando tu il","The place of the nimiccola was where the lover of your wife was; and you were so happy, that you were glad to see the odium, salutalo; you will be all right, when you are

The nimiccola was a place where a lover of a woman was.
The nimiccola was a place where a lover of a woman was.
The nimiccola was a place where a lover of a woman was.
The nimiccola was a place where a lover of a woman was.
The nimiccola was a place where a lover of a woman was.
The nimiccola was a place where"
Fatti de' Romani (H+R),1313,fior.,"Ma no sapeano già le nomora di coloro dela congiurazione, ché la donna no nominava già li nomi.","I don’t know what color the woman has chosen for her hair, but the woman has not named herself.

I don’t know what color the woman has chosen for her hair, but the woman has not named herself.

I don’t know what color the woman has chosen for her hair, but the woman has not named herself.

I don’t know what color the woman has chosen for her hair, but the woman has not named herself.

I don’t know what color the woman has chosen for her hair, but the woman has not named herself.

I don’t know what color the woman has chosen for her hair, but the woman"
Ceffi,1325,fior.,"Creti?  Certo quand'elli si mosse, elli ti dixe: ""O fedele mia donna, fa' che in mio luogo ti sia racomandato il nostro hoste troiano"".","Cretans?  Certo quand'elli si mosse, elli ti dixe: ""O fedele mia donna, fa' che in mio luogo ti sia racomandato il nostro hoste troiano"".

I'm not sure if I'm supposed to translate the first line as ""Cretans?"" or ""Cretans?""
I'm not sure if I'm supposed to translate the first line as ""Cretans?"" or ""Cretans?""
I'm not sure if I'm supposed to translate the first line as ""Cretans?"" or ""Cretans?""
I'm not sure if I'm supposed to translate the first line as"
Valerio Massimo (red. V1,1336,fior.,"nelle comuni prigioni, e lì morìo.  A Milano fue ripressa la malvagità d' una donna in simile bugìa, nel tempo medesimo di questo signore della republica, in questo modo: che","The most dangerous criminals, and the most dangerous men.
The most dangerous criminals, and the most dangerous men.
The most dangerous criminals, and the most dangerous men.
The most dangerous criminals, and the most dangerous men.
The most dangerous criminals, and the most dangerous men.
The most dangerous criminals, and the most dangerous men.
The most dangerous criminals, and the most dangerous men.
The most dangerous criminals, and the most dangerous men.
The most dangerous criminals, and the most dangerous men.
The most dangerous criminals, and the most dangerous men.
The most dangerous criminals, and the most dangerous men.
The most dangerous criminals, and the most dangerous men.
The most dangerous criminals,"
Filippo da Santa Croce,1323,tosc.,"Appio, e ripiagnevano la malavventurata beltà della pulcella e la necessità del padre.","Appio, and I will go to the belt of the pulley and the necessity of the father.

The text is a poem by the Italian poet, Dante Alighieri, written in the 13th century. The poem is a part of the Divine Comedy, a series of poems written by Dante Alighieri. The Divine Comedy is a series of poems written by Dante Alighieri. The Divine Comedy is a series of poems written by Dante Alighieri. The Divine Comedy is a series of poems written by Dante Alighieri. The Divine Comedy is a series of poems written by Dante Alighieri. The Divine Comedy is a series of poems written by Dante Alighieri. The Divine Comedy is a series of poems"
Brunetto Latini,1294,fior.,"animo, presono la battaglia contro di lui.  Nella quale battaglia, certo io ebbi sempre ardire di ragionare di pace e sempre mi dolfi che non solamente la pace era schifata,","I am a soldier, I am a soldier, I am a soldier. In that battle, I always felt the pain of losing and always felt the pain of losing.
I am a soldier, I am a soldier, I am a soldier. In that battle, I always felt the pain of losing and always felt the pain of losing.
I am a soldier, I am a soldier, I am a soldier. In that battle, I always felt the pain of losing and always felt the pain of losing.
I am a soldier, I am a soldier, I am a soldier. In that battle, I always felt the pain of losing and always felt the pain of losing.
I am a soldier, I am a soldier"
Bart. da San Concordio,1313,tosc.,"la seconda suole talora per la grande provedenzia fare timoroso, e la prima per l'ardire rendere altrui matto.","The second is the most important for the great expedition to make the most of the time, and the first to make the most of the time to render altruistic deeds.

The second is the most important for the great expedition to make the most of the time, and the first to make the most of the time to render altruistic deeds.

The second is the most important for the great expedition to make the most of the time, and the first to make the most of the time to render altruistic deeds.

The second is the most important for the great expedition to make the most of the time, and the first to make the most of the time to render altruistic deeds.

The second is the most"
Valerio Massimo (red. V1,1336,fior.,"nel campo de' Cartaginesi e tutta la legione trasse seco.  E così il forte ardire di tre uomini fece sì che Anibale, il quale poco prima per sua speranza era","The field of Cartagines and all the law is there.
It is so strong that three men fell down there.
It is so strong that three men fell down there.
The field of Cartagines and all the law is there.
It is so strong that three men fell down there.
The field of Cartagines and all the law is there.
It is so strong that three men fell down there.
The field of Cartagines and all the law is there.
It is so strong that three men fell down there.
The field of Cartagines and all the law is there.
It is so strong that three men fell down there.
The field of Cartagines and"
