Author,Date,Region,Sentence,translation
Brunetto Latini,1260-61,fior.,"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno","Quella guerra bene condotta fu un'opera perché così andava. E dall'altra parte, Achille era uno scudiero francese e valente nelle armi, di grandissima figura, ma non pieno di grande saggezza.

Traduzione moderna:
Quella guerra è stata condotta bene perché così andava. E dall'altra parte, Achille era un cavaliere francese e valente nelle armi, di grandissima figura, ma non pieno di grande saggezza."
Bono Giamboni,1292,fior.,"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.","crudele, e di tutte le colpe prende vendetta, come la legge dice, e a nessun cavaliere perdonare chi pecca.
   (Tradotto: Crudele, ed ha vendetta su tutte le colpe, come dice la legge, e non perdonare alcuno che pecca a nessun cavaliere.)

In questo caso, ho utilizzato il vocabolario moderno per descrivere la stessa frase in italiano antico."
Valerio Massimo (red. V1,1336,fior.,"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.","Non fu ornato con alcuna forza d'animo Ponzio Aufidiano, un cavaliere romano. (da notare che in italiano moderno ""fue"" è tradotto come ""fu"", senza la j)"
Lucano volg. (ed. Marinoni),1330/40,prat.,"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.","Se tutti lo piacciono e se il tempo necessita di avere Gaio Pompeo come cavaliere anziché come compagno, non lo ritornerò più come destino (moderno: non ci credo più che sia il caso).

La traduzione moderna è stata riportata in base alla struttura dell'italiano moderno e all'intento della frase originale."
Brunetto Latini,1260-61,fior.,"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.","Funzione di questo artificio pare che sia dire esattamente per ingannare, il proposito è ingannare per la parola detta.

   (La frase originale significa: ""L'obiettivo dell'arte sembra essere quello di parlare specificatamente per ingannare, la finalità è ingannare con le parole dette."")"
Simintendi,1333,tosc.,via alle mortali onde.  Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare; e che l'enfiato mare salisse nelle contrade,"via alle mortali onde. Ecco e larghe ventipiovoli caggiono delle nebbie determinate; e potresti credere che tutto il cielo cadesse nel mare; e che l'enfiato mare salisse nelle contrade

Traduzione moderna:
via alle onde mortali. Ecco e grandi ventipiovochi delle nebbie determinate appaiono; e potresti pensare che tutto il cielo cadesse nel mare; e che l'enfiato mare sale in terre alte

Nota: In questo caso, ""mortali"" è stato tradotto come ""onde"", poiché l'originale indica le onde del mare, anche se nella lingua moderna si userebbe il termine ""onda"". L'espressione ""ventipiovochi"" è stata conservata dal latino antico e, di conseguenza, non ha una traduzione letterale in italiano moderno."
Agostino da Scarperia (?),1390,tosc.,"si nega. Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti, e","Negano. Ma chi avrebbe quello che anche questi che non vogliono ancora credere in Cristo lo vedono già con noi, e perché non ci possono neggare, stridono colli denti, e

Traduzione moderna:
Negano. Ma chi avrebbe quello che anche questi che non vogliono ancora credere in Cristo lo vedono già con noi, e perché non ci possono negare, stridono i denti, e"
Bono Giamboni,1292,fior.,"bestiame, i vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.","Bestiame, le vendite dei morti e le prese dei vivi fecero il tranello di un ferocissimo re.
(Migliore traduzione in italiano moderno)
Grazie!
Bestiame, le vendite dei cadaveri e le imposte sul vivo hanno fatto la truffa di un re molto crudele.
(Traduzione più idiomatica possibile)"
Bart. da San Concordio,1313,tosc.,"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato, della impietà verso il mio padre,","Affinché quello, che ora per le sue grandi reati è ferocissimo e onorato, egli, sofferente e torturato da ogni male, abbia compassione verso il mio padre,

Trascrizione moderna:
Affinché quel, che ora a causa delle sue grandi azioni criminosi è violento e onorevole, egli, sofferente e tormentato da ogni male, abbia compassione verso il mio padre."
Brunetto Latini,1260-61,fior.,"controversie adusandosi gli uomini spessamente a stare fermi nella bugia incontra la verità, imperseveramento di parlare nutricò arditanza.","Controversie si susseguono frequentemente tra gli uomini quando restano fermi nella bugia; incontriamo la verità attraverso l'insistenza nel parlare, ciò che ha nutrito audacia.

Traduzione più moderna e breve:

Controversie sono frequenti fra coloro che si tengono fermi nella bugia, incontra la verità tramite insistere a parlare, ciò nutre ardire."
Filippo da Santa Croce,1323,tosc.,"Marco Cornelio ch'era de' dieci compagni, studiosamente  si riservò di parlare all'ultimo.","Marco Cornelio, che era tra i dieci compagni, si dedicò a parlare in ultimo con studio.

(in moderno italiano)
Marco Cornelio, uno dei dieci compagni, si prese studiamente la parola all'ultimo."
Cavalca,1330,tosc.,"Italia, tuttavia, poi che cominciato abbiamo a parlare contra l' eresia ariana, vuoi che per mostrarti meglio la dannazione del predetto errore passiamo","Italia, però, avendo iniziato a parlare contro l'eresia ariana, vogliamo che per mostrarti meglio il giudizio del detto errore passiamo

Nota: ho mantenuto la forma dell'italiano antico ""abbiamo"" e ""vogliamo"" e ho modificato solo ""cominciato"" in ""avendo iniziato"" per mantenere la consonanza con il verbo seguente. Inoltre, ho aggiunto la forma del presente della terza persona singolare ""passiamo"" al posto di ""passaremo"" perché questo è il modo più comune oggi."
Valerio Massimo (red. V1,1336,fior.,Corbio nipote d' Ortensio menò sua vita più bassa e più viziosa,"Corbo, il nipote di Ortensio, condusse una vita più bassa e più dissoluta (in italiano moderno)

La frase originale in latino antico è ""Corvus nepos Ortentii vitam infimam et turpissimam duxit"". ""Vitam infimam"" e ""turpissimam"" sono espressioni latine che significano ""una vita più bassa"" e ""più dissoluta"", rispettivamente. Per tradurre queste espressioni in italiano moderno, ho utilizzato ""più bassa"" e ""dissoluta""."
Brunetto Latini,1260-61,fior.,"contendono d' alcuna cosa, e così fanno tencione. Altressì uno amante chiamando merzé alla sua donna dice parole e ragioni molte, et ella si difende in suo dire et inforza le","Discute di qualcosa, e pertanto instigare. Inoltre, un amante chiamandolo piacere verso la sua donna dice tanti discorsi e ragioni, e lei si difende contro di lui e le forza a cederle

Traduzione moderna: Contendono su qualcosa e quindi instigano. Inoltre, un amante chiamandolo piacere verso la sua donna dice tanti discorsi e ragioni, ed ella si difende contro di lui e le forza a cederle."
Arte Am. Ovid. (B),1310/13,fior.,"Io mi ricordo (ch. 347) che essendo adirato scapigliai la mia donna. Ohi, quanti dì questa ira mi tolse!  E non mi ricordo (ch.","Io mi ricordo (ch. 347) di averla allontanata (essendo adirato scapigliai la mia donna). Ohi, quanti dì questa ira mi ha distrutto! E non mi ricordo (ch. ...)

Traduzione moderna:
Io ricordo di averla lasciata a causa della rabbia (essendo arrabbiato ho allontanato la mia donna). Oh, quante volte questa rabbia mi ha fatto soffrire! E non ricordo più (...)

*Note: La frase ""scapigliai"" è un'antica forma di ""allontanai"". ""E non mi ricordo (ch.)"" è una abbreviazione per ""E non ricordo più che"" o semplicemente ""e non mi ricordo di""."
Rim. Am. Ovid. (B),1310/13,fior.,"luogo di nimico colui del quale tu tti solevi dolere ch' era amante della tua donna;  e avegna che rimanga l' odio, salutalo; tu sarai allora sano, quando tu il","luogo di nemico colui del quale tu ti ricordavi di avere sofferto, essendo amante della tua donna; e avessero rimasto l'odio, salutarlo; tu sarai allora sanato, quando tu gli

Traduzione moderna:

luogo dell'avversario colui del quale tu ti ricordavi di aver sofferto, essendo amante della tua donna; e avessero rimasto l'odio, salutarlo; tu sarai allora guarito, quando tu gli

Traduzione in italiano moderno:

luogo dell'avversario colui del quale tu ti ricordavi di aver sofferto, essendo amante della tua donna; e avessero rimasto l'odio, salutarlo; tu sarai allora guarito, quando tu gli

In italiano moderno, la frase si traduce:

luogo dell'avversario colui del quale tu ti ricordavi di aver sofferto, essendo amante della tua donna; e avessero rimasto l'odio, salutarlo; tu sarai allora guarito, quando tu gli

""Place of the enemy, that man whom you remember to have suffered because he was lover of your woman; and if hatred remains, greet him; you will be healed then, when you will forgive him."""
Fatti de' Romani (H+R),1313,fior.,"Ma no sapeano già le nomora di coloro dela congiurazione, ché la donna no nominava già li nomi.","Ma nessuno sapeva ancora i nomi delle persone della congiura, perché la donna non aveva ancora rivelato i nomi. (tradotto dal Latino Vulgare)

In questo caso, l'italiano antico è stato tradotto in italiano moderno attraverso il latino vulgaresche era le lingue italiane medievali più diffuse e la base di molte lingue romanze moderne."
Ceffi,1325,fior.,"Creti?  Certo quand'elli si mosse, elli ti dixe: ""O fedele mia donna, fa' che in mio luogo ti sia racomandato il nostro hoste troiano"".","Crete? Certo quando egli si muove, lui ti dice: ""Oh fedele mia donna, fai che nel mio posto ti sia recomandato il nostro ospite troiano"".

Traduzione moderna:
Creta? Sì certo quando egli si mosse, lui ti disse: ""Oh fedele mia donna, fa' sì che nel mio posto ti sia raccomandato il nostro ospite troiano"".

Spiegazione:
Il latino antico è una lingua prossima all'italiano antico e l'italiano moderno è derivato da entrambi. Per questa frase, le uniche modifiche richieste sono:
- utilizzare la forma ""egli"" al posto di ""elli"", perché nel italiano moderno si preferisce questa forma singolare;
- sostituire il verbo ""raccomandato"" con l'equivalente moderno ""raccomandato"";
- rimpiazzare il pronome dimostrativo ""questo"" con ""nel mio posto"", perché nel italiano moderno si preferisce esprimere la località in questo modo;
- sostituire ""ti"" con ""ti"" nella seconda parte della frase, dato che si tratta di un dialogo e c'è già una forma di tu."
Valerio Massimo (red. V1,1336,fior.,"nelle comuni prigioni, e lì morìo.  A Milano fue ripressa la malvagità d' una donna in simile bugìa, nel tempo medesimo di questo signore della republica, in questo modo: che","In le comuni carceri, e lì morì. A Milano fu represso il male attribuito a una donna con tale menzogna, nel medesimo tempo di questo signore della repubblica, come segue: che

Traduzione moderna: In le comuni carceri, e lì morì. A Milano fu represso il malvagio atto di una donna con tali false accuse, nel medesimo tempo di questo signore della repubblica, in modo che

Il significato è: ""In le comuni carceri e morì (lui). A Milano fu represso il malvagio atto di una donna con tali false accuse, nel medesimo tempo di questo signore della repubblica, in modo che""

Nota bene: l'italiano antico è un po' più complesso rispetto all'italiano moderno. Ad esempio, la parola ""lui"" era indicato con un pronombre differente nell'italiano antico. Inoltre, il verbo ""morì"" è nella forma passata (morto), che nel italiano moderno sarebbe ""è morto"". Tuttavia, l'autore ha scritto ""morìo"", che è una forma più arcaica della forma moderna ""é morto""."
Filippo da Santa Croce,1323,tosc.,"Appio, e ripiagnevano la malavventurata beltà della pulcella e la necessità del padre.","Appio, e piangevano la bellissima ragazza infelice e il bisogno del padre.

Spiegazione:

Appio (dal latino antico Appius) -> Appio (dal latino moderno Appio)
ripiagnareva (dal latino antico ripiagnare) -> piangevano (dal latino moderno piangere)
malaventurata (dal latino antico malaventura) -> infelice (dal latino moderno infelice)
beltà della pulcella (dal latino antico bellitās puellāris) -> bellezza della ragazza (dal latino moderno bellezza della ragazza)
necessità del padre (dal latino antico necessitas patris) -> bisogno del padre (dal latino moderno bisogno del padre)"
