Author,Date,Region,Sentence,translation
Brunetto Latini,1260-61,fior.,"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno","Quella guerra fu condotta bene, e l'operazione fu completata come previsto. Ma dall'altra parte, Aiace era un cavaliere franco e abile nel combattimento, di gran lunga valido, ma non aveva una grande saggezza."
Bono Giamboni,1292,fior.,"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.","Crudele si prende la vendetta per tutte le colpe, come dice la legge, ed a nessun cavaliere perdonerà quelle che ha commesse.
(In moderno: non c'è perdono per quelli che hanno peccato a nessuno cavaliere.)"
Valerio Massimo (red. V1,1336,fior.,"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.","Ponzio Aufidiano, cavaliere romano, non era dotato di altro vigore d'animo. (traduco un po' liberamente per mantenere il significato originale)"
Lucano volg. (ed. Marinoni),1330/40,prat.,"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.","Se tutti lo apprezzano e se l'età necessita di avere Pompeio come cavaliere e non come compagno, non lo considererò più dei destini. (Semplificato) Se tutti lo trovano bello e l'età richiede che Pompeio sia un cavaliere e non un compagno, non lo considero più il fatto."
Brunetto Latini,1260-61,fior.,"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.","Questa frase appare essere una affermazione sull'arte del parlare, che sembra implicare che l'obiettivo di questa arte è esprimersi in modo preciso per ingannare le persone e farle credere cose specifiche.

Traduzione: L'officio di questa arte pare essere quello di dire appositamente per far credere, il fine è infatti far credere grazie alle parole dette."
Simintendi,1333,tosc.,via alle mortali onde.  Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare; e che l'enfiato mare salisse nelle contrade,"Va verso le mortali onde. Ecco, le ventipiovene nuvole si avvicendano con decisione; e potresti credere che tutto il cielo stia cadendo nel mare; e che il mare spinga nella terra

Suggerimento:

Vai verso le mortali onde. Ecco, ventipiovene nuvole si avvicendano con decisione; e potresti credere che tutto il cielo stia cadendo nel mare; e che il mare spinge sulla terra (quest'ultima parte del testo può essere interpretata in modo diverso a seconda della lettura, quindi ho proposto una soluzione alternativa)."
Agostino da Scarperia (?),1390,tosc.,"si nega. Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti, e","Questi individui negano. Tuttavia, chi potrebbe sperare quello che questi stessi che ancora non credono in Cristo, già sono con noi e per questo non possono negare la loro presenza, infatti stridono con denti e zoccoli."
Bono Giamboni,1292,fior.,"bestiame, i vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.","Bestiame, le vendite dei morti e le pressioni dei vivi causarono la frode di un re crudele. (Lit. ""Bestiame, the sales of the dead and the pressures of the living made the fraud of a cruel king."")"
Bart. da San Concordio,1313,tosc.,"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato, della impietà verso il mio padre,","Perché quel giovane, che ora a causa delle sue grandi gesta è fiero e onorabile, viene afflitto e tormentato dalla crudeltà nei confronti del mio padre,"
Brunetto Latini,1260-61,fior.,"controversie adusandosi gli uomini spessamente a stare fermi nella bugia incontra la verità, imperseveramento di parlare nutricò arditanza.","Controversie si sviluppano spesso con l'uomo che resta fermo nella menzogna incontrando così la verità; tuttavia, l'insistenza nel parlare ha nutrito l'ardimento.
   (Oppure): Le controversie si sviluppano spesso quando gli uomini rimangono fermi nella bugia e trovano lì la verità; tuttavia, l'insistenza nel parlare nutre l'ardimento."
