Author,Date,Region,Sentence,translation
Brunetto Latini,1260-61,fior.,"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno","Quella guerra fu bene condotta perché, e da un altro lato, Ettore era un cavaliere toscano e valente in battaglia, molto coraggioso, ma non possedeva una gran saggezza intellettuale. Invece, Aiace era un cavaliere francese e valente nell'arte della spada, di grande abilità, ma mancava di grande astuzia mentale.

In questo testo, scritti in italiano arcaico del XIII secolo, proveniente dalla Toscana, vengono descritti due cavallieri che partecipano a una guerra. Il primo, chiamato Ettore, è un cavaliere toscano e valente in battaglia, ma manca di saggezza intellettuale. Il secondo, Aiace, è un cavaliere francese e valoroso nell'arte della spada, ma manca di astuzia mentale. La guerra fu condotta bene, ciò significa che essa fu portata a buon fine per mezzo del valore militare dei due cavallieri."
Bono Giamboni,1292,fior.,"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.","Crudelissimo, e in tutti gli errori prende la vendetta, come la legge afferma, e ad ogni cavalierero non perdonare quelli che peccano. (Modern Italian)

In modern Italian:

Crudelissimo, e in tutte le colpe prende la vendetta, come dice la legge, e ad ogni cavaliere non perdonare coloro che peccano.

Explanation:

- The original text is written in an archaic form of Italian from the 13th century, specifically Tuscan dialect.
- Here's a modern translation that preserves the meaning, clarity, and syntactic coherence while maintaining the same structure as the original.
- I have replaced some terms with their equivalents in modern Italian:
  - ""crudele"" has been translated to ""crudelissimo.""
  - ""colpe"" is translated to ""errori.""
  - ""pecchi"" is translated to ""peccano.""
  - ""neuno cavaliere"" has been translated to ""ad ogni cavaliere."""
Valerio Massimo (red. V1,1336,fior.,"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.","Non fu di altra forza d'animo abbellito Ponzio Aufidiano, un romano cavaliere.

(Non fu di altro motivo che l'animosità lo arricchì, fu Ponzio Aufidiano, un romano cavaliere.)"
Lucano volg. (ed. Marinoni),1330/40,prat.,"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.","Se questo piace a tutti e se il tempo necessita di avere Pompeio come cavaliere e non come compagno, non lo considererò più come un destino.

Il significato del testo originale è: ""Se la gente approva tutto ciò e se il tempo richiede che Pompeio sia un cavaliere, e non un compagno, allora non lo vedrò più come un fatto inevitabile."" Il linguaggio arcaico originale è stato modernizzato mantenendo la coerenza sintattica e il significato originale."
Brunetto Latini,1260-61,fior.,"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.","Funzione di questa arti sembra essere dicere esplicitamente per ingannare, il suo scopo è ingannare attraverso le parole.

Nota: Il testo originale si riferisce all'arte della retorica. In italiano moderno, il termine ""arte"" può essere sostituito con ""disciplina""."
Simintendi,1333,tosc.,via alle mortali onde.  Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare; e che l'enfiato mare salisse nelle contrade,"Strada verso le mortali onde. Ecco, ventisette grandi tempeste emergono dalla fitta nebbia; e potresti immaginare che tutto il cielo precipiti nell'oceano; e che l'oceano si alzasse nelle terre

   (Traduzione moderna del testo in italiano arcaico del XIII secolo, proveniente dalla regione toscana)

   Strada verso le mortali onde. Ecco, ventisette tempeste grandi emergono dalla nebbia fitta; e potresti pensare che tutto il cielo precipiti nell'oceano; e che l'oceano si alza nelle terre
   (Traduzione moderna chiara e coerente sintatticamente)

   Strada verso le mortali onde. Ecco, ventisette grandi tempeste emergono dalle nebbie fittissime; e potresti immaginare che tutto il cielo precipiti nell'oceano; e che l'oceano si sollevi nelle terre
   (Traduzione moderna coerente con la sintassi, ma conservando parole antiche)"
Agostino da Scarperia (?),1390,tosc.,"si nega. Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti, e","Negato. Tuttavia, chi avrebbe quanto coloro che ancora non credono in Cristo? Essi già ci vedono, e perché non potrebbero negaarci, urlano con i denti, e

In italiano moderno, il testo arcaico del XIII secolo si può leggere come segue:

Negato. Tuttavia, chi avrebbe qualcosa di quanto coloro che ancora non credono in Cristo? Essi ci vedono già e perché non potrebbero negarci, urlano con i denti.

In questo modo, abbiamo mantenuto il significato originale, la chiarezza e la coerenza sintattica del testo."
Bono Giamboni,1292,fior.,"bestiame, i vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.","Bestiame, le vendite dei morti e le pressioni dei vivi causarono l'inganno di un crudele re.

(Traduzione: Il bestiame, le vendite dei morti e le pressioni esercitate dai vivi furono la causa dell'inganno di un re crudele.)"
Bart. da San Concordio,1313,tosc.,"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato, della impietà verso il mio padre,","Affinché quelli che ora per le sue grandi gesta è fiero e onorevole, esso colpito e sofferente da ogni male, si mostri crudele verso il mio padre,

(Traduzione: Perché quello che ora per le sue grandi azioni è orgoglioso e onorevole, egli afflitto e tormentato da ogni male, mostra crudeltà verso il mio padre.)"
Brunetto Latini,1260-61,fior.,"controversie adusandosi gli uomini spessamente a stare fermi nella bugia incontra la verità, imperseveramento di parlare nutricò arditanza.","Controversie si susseguono spesso tra gli uomini, rimanendo fermi nella menzogna affronta la verità, perseveranza nel parlare nutre audacia. (Traduzione moderna)

Questo testo scritto in italiano arcaico del XIII secolo, proveniente dalla regione toscana, viene tradotto in italiano moderno mantenendo il significato originale, la chiarezza e la coerenza sintattica. Il significato della frase è: ""Controversie si susseguono spesso tra gli uomini, rimanendo fermi nella menzogna affronta la verità, perseveranza nel parlare nutre audacia."" (Traduzione moderna)"
Filippo da Santa Croce,1323,tosc.,"Marco Cornelio ch'era de' dieci compagni, studiosamente  si riservò di parlare all'ultimo.","Marco Cornelio, che era tra i dieci compagni, decise prudentemente di parlare all'ultima ora.

Il significato rimane invariato: Marco Cornelio, che faceva parte dei dieci compagni, decise di parlare all'ultimo momento. La frase è stata riadattata in italiano moderno mantenendo il significato originale, la chiarezza e la coerenza sintattica."
Cavalca,1330,tosc.,"Italia, tuttavia, poi che cominciato abbiamo a parlare contra l' eresia ariana, vuoi che per mostrarti meglio la dannazione del predetto errore passiamo","Italia, tuttavia, poiché iniziati abbiamo a discutere contro l'eresia ariana, vogliamo che per chiarire meglio il giudizio su questo errore, passiamo:

Italia, tuttavia, avendo cominciato ad affrontare l'eresia ariana, vogliamo mostrarti meglio il castigo di questo errore passando:

Italia, tuttavia, avendo iniziato a discutere contro l'eresia ariana, vorremmo chiarire meglio la condanna per questo errore passando:

I tre esempi mantengono il significato originale ma sono più comprensibili per un pubblico moderno. La scelta del verbo ""passare"" è una scelta arbitraria, poiché non esiste un verbo idiomatico in italiano moderno che riproduca completamente l'origine del testo arcaico. In questo caso, ho preferito mantenere la struttura originale della frase, per preservare il carattere arcaico del testo."
Valerio Massimo (red. V1,1336,fior.,Corbio nipote d' Ortensio menò sua vita più bassa e più viziosa,"Corbo, nipote di Ortensio, condusse una vita più bassa e più viceversa (viziosa)

   (Traduzione letterale: Corvo, nipote di Ortensio, condusse una vita più bassa e più viziosa)

La frase si riferisce a qualcuno che ha condotto una vita basileare (bassa) e viziata. In italiano moderno, possiamo tradurre ""viziosa"" con ""viziata"", per mantenere il significato originale della parola e rimanere coerenti con la lingua italiana attuale."
Brunetto Latini,1260-61,fior.,"contendono d' alcuna cosa, e così fanno tencione. Altressì uno amante chiamando merzé alla sua donna dice parole e ragioni molte, et ella si difende in suo dire et inforza le","Contendevano su qualcosa, e così creavano tensione. Inoltre, un amante invocando pietà per la sua donna diceva molte parole e ragioni, ma lei si difese in quello che gli diceva e insisteva.

La traduzione mantiene il significato originale e rende chiara l'intenzione del testo, mentre garantisce una struttura sintattica corretta nell'italiano moderno. La frase ""in suo dire"" è stata tradotta con ""in quello che gli diceva"", per riflettere la gerarchia di discorso tra le due parti parlate e rendere il testo più coerente sintatticamente."
Arte Am. Ovid. (B),1310/13,fior.,"Io mi ricordo (ch. 347) che essendo adirato scapigliai la mia donna. Ohi, quanti dì questa ira mi tolse!  E non mi ricordo (ch.","Io ricordo che, arrabbiatome, disprezzai la mia donna. Oh, quanti giorni questa rabbia mi ha privato! E non ricordo...

   I've translated the archaic Italian text from the 13th century Tuscany region into modern Italian, preserving the original meaning, clarity, and syntactical coherence. Here is the translation:

 Io ricordo che, arrabbiatome, ho disprezzato la mia donna. Oh, quanti giorni questa rabbia mi ha privato! E non ricordo...

   I remember that, enraged, I scorned my wife. Oh, how many days did this anger deprive me of! And I do not remember..."
