Author,Date,Region,Sentence,translation
Brunetto Latini,1260-61,fior.,"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno","Quella guerra fu ben condotta, la sua opera perché così. E dall'altra parte Aiace era un cavaliere francese e valente nel combattimento, di grandi qualità, ma non aveva gran senso

Oppure:

Quella guerra venne condotta bene, il suo operato perché così. Invece, Aiace era un cavaliere francese coraggioso nelle armi e dotato di grande abilità, ma non possedeva molta saggezza."
Bono Giamboni,1292,fior.,"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.","Crudeli e per ogni colpa prende la rivincita, come dice la legge, e a nessun cavaliere perdona gli errori. (Traduzione letterale)

   Crudeli, e per tutte le colpe prende la rivalsa, secondo quanto stabilito dalla legge, e non perdona alcun cavaliere per i suoi peccati. (Traduzione più idiomatica)

   Crudele si vendica di tutte le offese, come dice la legge, ed a nessun cavaliere ti dimentichi degli errori commessi. (Traduzione alternativa)"
Valerio Massimo (red. V1,1336,fior.,"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.","Non era arricchito d'altra forza d'animo Ponzio Aufidiano, romano cavaliere. (Oppure: Non ci fu Ponzio Aufidiano, romano cavaliere, che era arricchito d'altra forza d'animo.)

La traduzione letterale è ""Non c'era altrimenti forza d'animo decorato Ponzio Aufidiano, romano cavaliere."" Ma questa frase sembra essere una versione corrotta del latino, e la traduzione corretta dovrebbe essere: ""Ponzio Aufidiano, romano cavaliere, non era arricchito d'altra forza d'animo"" o ""Non ci fu Ponzio Aufidiano, romano cavaliere, che era arricchito d'altra forza d'animo."""
Lucano volg. (ed. Marinoni),1330/40,prat.,"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.","Se tutti lo piacciono e se il tempo necessita di avere Pompeo come cavaliere e non come compagno, non ho più fede nei destini.

Versione tradotta in lingua inglese:

If everyone likes it and if the time needs Pompey as a knight rather than a companion, I will no longer have faith in the fates.

English translation of the original text:

If this pleases everyone and if time requires Pompey to be a knight rather than a companion, I will no longer believe in fate."
Brunetto Latini,1260-61,fior.,"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.","Il compito di questa arti sembra essere quello di dire con precisione al fine di fare credere, il motivo è infatti proprio quello di far credere attraverso le parole.

   La traduzione letterale in inglese sarebbe:

The task of this skill seems to be to say precisely in order to make believe, the purpose is indeed to make believe through words.

In modern English translation:

The function of this art appears to be to speak precisely in order to deceive, the aim being deception through speech."
Simintendi,1333,tosc.,via alle mortali onde.  Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare; e che l'enfiato mare salisse nelle contrade,"Strada alle mortali onde. Ecco e i ventiquattrenove volti di tempesta affiorano dalle decisioni delle nebbie; e potresti credere che tutto il cielo si stia cadendo nell'acqua; e che il mare si stia spingendo nei luoghi altrui.

La traduzione letterale potrebbe essere:

""Strada alle onde mortali. Ecco e i ventiquattrenove facce della tempesta emergono dalle decisioni delle nebbie; e potresti credere che tutto il cielo stia cadendo nell'acqua; e che il mare si sta spingendo nei territori altrui.""

Il testo arcaico usato è molto simile all'italiano di oggi. Per questa traduzione ho preferito mantenere un linguaggio più vicino alla tradizione, dato che il testo in questione sembra essere un poema o una composizione letteraria. Se si desidera una versione più vicina al italiano moderno, posso fornire anche quella:

""Strada alle onde mortali. Ecco e i ventiquattrenove volti di tempesta emergono dalle decisioni delle nebbie; e potresti credere che il cielo stia cadendo nell'acqua; e che il mare si sta spingendo in altre zone.""

Questa traduzione ha un linguaggio più moderno e semplice, ma rimane fedele alla letteratura d'epoca."
Agostino da Scarperia (?),1390,tosc.,"si nega. Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti, e","Negano. Ma chi avrebbe ciò che anche quelli che ancora non credono in Cristo vogliono, lo vedono con noi, e perché non poterlo negare, strillano con i denti, e

Traduzione moderna:
Negano. Ma chi desidererebbe ciò che anche quelli che ancora non credono in Cristo vogliono, lo vedono con noi, e perché non potrebbero negarlo, urlano con i denti, e"
Bono Giamboni,1292,fior.,"bestiame, i vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.","Bestiame, le vendite dei morti e le pressioni dei vivi causarono il tranello di un crudele re.

   (Traduzione letterale: bestiame, le vendite dei cadaveri e le pressioni esercitate dai vivi portarono alla frode compiuta da un re crudele.)

   (Riscritta in italiano moderno: bestiame, i morti venivano venduti e la pressione esercitata dai vivi causò il tranello di un re crudele.)"
Bart. da San Concordio,1313,tosc.,"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato, della impietà verso il mio padre,","Affinché colui che ora a causa delle sue grandi virtù è fiero e onorevole, essendo sventurato e tormentato da male, mostri crudeltà verso il mio padre,

Oppure:

Affinché la persona che oggi a causa delle sue grandi virtù è orgogliosa e onesta, sofferente e tormentata dal male, mostri crudeltà verso il mio padre,"
Brunetto Latini,1260-61,fior.,"controversie adusandosi gli uomini spessamente a stare fermi nella bugia incontra la verità, imperseveramento di parlare nutricò arditanza.","Controversie spesso si generano quando gli uomini si tengono ferma sulla bugia incontrando la verità, insistenza nel parlare alimenta ardimento. (versione letterale)

   Le controversie sono spesso generate quando le persone si tengono fermi nella bugia incontrando la verità, la tenacia nel parlare aumenta l'audacia. (versione più flessibile e moderna)"
