Author,Date,Region,Sentence,translation
Brunetto Latini,1260-61,fior.,"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno","Quella guerra è stata bene condotta perché, etc. E dall'altra parte, Aiace era un cavaliere francese e valoroso nelle armi, di grandissima abilità, ma non pieno di gran saggezza

Translation to Contemporary Italian:

Quella guerra è stata bene condotta perché, etc. E dall'altra parte, Aiace era un cavaliere francese e valente nelle armi, di grandissima abilità, ma non pieno di gran saggezza

Explanation of the translation:
The 13th-century Tuscan text uses an older form of the Italian language. In this case, ""l'opera"" is translated to ""la guerra"" because ""opera"" in contemporary Italian refers more commonly to a work of art or literature. Also, ""ben fatta"" becomes ""bene condotta"" in contemporary Italian. Similarly, ""prode all'arme"" becomes ""valente nelle armi"", and ""di gran guisa"" is translated as ""di grandissima abilità"". Lastly, the phrase ""non era pieno di grande senno"" translates directly to ""non pieno di gran saggezza"" in contemporary Italian."
Bono Giamboni,1292,fior.,"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.","crudele, e di tutte le colpe prende la vendetta, secondo quanto dice la legge, e ad nessun cavalier perdonare chi pecca. (in modern Italian)

This translation preserves the archaic style and word choice of the original text, while making it more understandable for contemporary speakers of Italian."
Valerio Massimo (red. V1,1336,fior.,"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.","Non fu ornato con alcuna forza d'animo Ponzio degli Aufidiani, cavalier romano (modern Italian)

This means: ""Ponzio degli Aufidiani, Roman knight, was not adorned with any strength of spirit."""
Lucano volg. (ed. Marinoni),1330/40,prat.,"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.","Se questo piace a tutti e se il tempo necessita di avere Pompeio come cavaliere e non come compagno, non lo ritornerò più un fatto.

Translation:
If this pleases everyone and if the time needs to have Pompeio as a knight rather than as a companion, I will not consider it a fact anymore."
Brunetto Latini,1260-61,fior.,"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.","Funzione di questa arte sembra essere dicire appunto per ingannare, scopo è ingannare attraverso le parole. (Modern Italian)

Translation: The function of this art seems to be saying exactly for deceiving, the purpose is to deceive through words."
Simintendi,1333,tosc.,via alle mortali onde.  Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare; e che l'enfiato mare salisse nelle contrade,"via alle mortali onde. Ecco e larghe ventipiovolidi cavalloni della nebbia risoluta; e potresti credere che tutto il cielo cadesse nell'oceano; e che l'infinito oceano salisse nelle terre

Translation:

Here is a wide, twenty-five feet deep (ventipiovolidi cavalloni) wave of resolute mist; and you might believe that the whole sky was falling into the sea; and that the infinite sea would rise in the lands.

In contemporary Italian, it could be:

Qui ci sono grandi onde di ventisette metri (ventipiovolidi cavalloni) della nebbia decisiva; e potresti credere che il cielo intero stesse per cadere nell'oceano; e che l'infinito oceano stesse per salire su le terre.

Or more colloquially:

Qui ci sono grandissime onde di ventisette metri (ventipiovolidi cavalloni) di nebbia decisa; sembra addirittura che il cielo intero stesse per cadere nell'oceano, e che l'infinito oceano stesse per salire sulla terra."
Agostino da Scarperia (?),1390,tosc.,"si nega. Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti, e","Negano. Ma chi potrebbe sperare ciò che quelli, anche questi che non vogliono ancora credere in Cristo, hanno già visto con noi? Perché non possono negarlo, grondano con i denti.

In this 13th-century Tuscan text, the following changes have been made to bring it closer to contemporary Italian:

* ""si nega"" has been translated as ""Negano"" (negate)
* ""Però che or chi spererebbe quello che eziandio questi..."" has been shortened and simplified to ""Ma chi potrebbe sperare ciò che...""
* The sentence structure of the original text has been adjusted for clarity and ease of reading, resulting in a more contemporary sentence structure.
* Words like ""eziandio"" have been replaced with their modern equivalents (in this case, ""anche"")
* The spelling and some archaic grammatical forms have been updated to match modern Italian usage.

The translation of the text in question would be:

""They deny it. But who could hope for something that these, even those who still do not believe in Christ, have already seen with us? Because they cannot deny it, they grumble with their teeth."""
Bono Giamboni,1292,fior.,"bestiame, i vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.","Bestiame, le raccolte dei morti e le pressioni dei vivi fecero l'inganno di un crudele re. (Contemporary Italian)

In this 13th century Tuscan text, the term ""bestiame"" is an archaic form of ""beastiame,"" which in contemporary Italian is ""bestiame."" The rest of the text remains fairly similar to modern Italian, with only a slight variation in the spelling of some words like ""vendimenti"" (raccolte) and ""presure"" (pressioni). ""Feroce"" is unchanged. The verb ""fece"" (fecerono in plural form) translates to ""fecero"" in contemporary Italian as it's singular, which aligns with the subject ""uno re."""
Bart. da San Concordio,1313,tosc.,"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato, della impietà verso il mio padre,","Affinché quel quale ora per le sue grandi reati è fiero ed onorevole, egli, da ogni male afflitto e tormentato, per l'impiegata crudeltà verso il mio padre,

[Translation in contemporary Italian:]
Affinché quello che oggi a causa delle sue grandi colpe è orgoglioso ed onorevole, egli, afflitto e tormentato da ogni male, per la sua crudeltà verso il mio padre,

[Note: The text uses some archaic terms and syntax that have been modified for clarity.]"
Brunetto Latini,1260-61,fior.,"controversie adusandosi gli uomini spessamente a stare fermi nella bugia incontra la verità, imperseveramento di parlare nutricò arditanza.","Controversie si sviluppano spesso tra gli uomini quando si tengono fermi nella bugia incontrando la verità, insistenza nel parlare alimenta arditezza.

Translation: Controversies often arise among people when they remain stuck in lying and encountering the truth, persistence in speaking nourishes boldness."
