Author,Date,Region,Sentence,translation
Brunetto Latini,1260-61,fior.,"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno","Quella guerra fu bene condotta perché l'opera era importante in quanto... E dall'altra parte Aiace era un cavaliere francese coraggioso e esperto nelle armi, di grandissima qualità, ma non era pieno di grande saggezza."
Bono Giamboni,1292,fior.,"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.","Crudelmente, e di ogni colpa prende vendetta, come fa la legge, e non perdonare a nessun cavaliere che commette un peccato.

   Traduzione:

   Crudele e di tutte le colpe prende vendetta, come fa la legge, ed a nessun cavalier PEccino che commette un errore (o peccato).

   Risultato ottenuto con il traduttore Google:

   Crudelmente, e di ogni colpa prende vendetta, come fa la legge, e non perdonare a nessun cavaliere che commette un errore.

   Note: Il verbo ""peccare"" è usato con riferimento al senso religioso di peccato, mentre il verbo ""commettere un errore"" è più generico e può essere usato anche in contesti non religiosi. In questo contesto, ""errore"" sembra più appropriato a causa del contesto generale e dell'assenza di riferimenti espliciti al senso religioso."
Valerio Massimo (red. V1,1336,fior.,"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.","Non fu ornato di alcuna altra forza d'animo Ponzio Aufidiano, un cavaliere romano.

Traduzione letterale: La forza dell'animo di Ponzio Aufidiano, un romano cavaliere, non fu rafforzata da altra cosa.
Traduzione comune: Non ci fu alcuna aggiunta di spirito a Ponzio Aufidiano, un romano cavaliere."
Lucano volg. (ed. Marinoni),1330/40,prat.,"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.","Se tutto questo piace a tutti e se il tempo necessita di avere Gaio Pompeo come cavaliere invece che come compagno, non avrò più fiducia nella sorte. (tradotto dal latino)

""If everyone likes this and if the time needs Gaius Pompey as a knight instead of a companion, I will no longer have faith in fate."" (traduzione dall'inglese)"
Brunetto Latini,1260-61,fior.,"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.","Il suo compito nell'arte sembra essere esprimersi precisamente per ingannare, il suo scopo infatti è ingannare tramite le parole.

[Aggiunto: La parola ""appostatamente"" è stata riferita alla traduzione in modo non correttamente, poiché in latino è ""ad placitum"" che significa ""in modo conveniente"", mentre l'italiano moderno equivalente sarebbe ""appositamente"".]"
Simintendi,1333,tosc.,via alle mortali onde.  Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare; e che l'enfiato mare salisse nelle contrade,"Sulla strada dove le mortali muoiono. Ecco, si abbassano ventipiovani nuvole piene di nebbia decisiva; potresti credere che tutto il cielo si stia spezzando in mare e che l'oceano si possa spingere nelle zone alte.

Traduzione:

On the street where mortals die. Here, giant clouds filled with resolute fog descend; one might think that all the sky is breaking into the sea and that the ocean can be pushed to highlands."
Agostino da Scarperia (?),1390,tosc.,"si nega. Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti, e","Negano. Ma chi avrebbe quello che anche questi che non vogliono ancora credere in Cristo vedono con noi? E perché non ci possono negare, gridano colla gola, e"
Bono Giamboni,1292,fior.,"bestiame, i vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.","Bestiame, le vendite dei morti e le pressioni dei vivi causarono l'inganno di un crudele re.

   Traduzione letterale: Bestiame (cattle), the sales of the dead and the pressure of the living caused the deceit of a cruel king.

   Traduzione in italiano moderno: Bestiame, le vendite dei morti e le pressioni dei vivi causarono un tranello di un crudele re."
Bart. da San Concordio,1313,tosc.,"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato, della impietà verso il mio padre,","Affinché quel giovane, che ora per le sue grandi azioni onorevoli e ferocissime è tormentato e soffre, abbia compassione verso mio padre,

Traduzione letterale: Perché quel giovane, che ora per le sue grandi azioni onorevoli e feroci è torturato e stanco, abbia pietà verso il mio padre.

Trascrizione fonetica: affinche' 'quel giovane, che ora per le sue gran 'azione onorevoli e ferocissime è tormentato e soffre, ava compassione verso mio padre.

Traduzione moderna: Affinché quel ragazzo, che attualmente per le grandi azioni onorevoli e feroci che compie è tormentato e afflitto, abbia pietà per il mio padre."
Brunetto Latini,1260-61,fior.,"controversie adusandosi gli uomini spessamente a stare fermi nella bugia incontra la verità, imperseveramento di parlare nutricò arditanza.","Controversie si accendono spesso fra gli uomini quando si tengono fermi in una bugia che incontra la verità, persistenza nell'affermare parola nutrice audacia.

(Translation: Controversies often arise among men when they remain fixed in a lie that confronts the truth, persistence in speaking fosters boldness.)"
Filippo da Santa Croce,1323,tosc.,"Marco Cornelio ch'era de' dieci compagni, studiosamente  si riservò di parlare all'ultimo.","Marco Cornelio, che era uno dei dieci compagni, si riservò studiosemente di parlare all'ultimo.

Traduzione in italiano moderno della frase originale: ""Marco Cornelio, che era uno dei dieci compagni, riservava studiosamente il suo discorso per l'ultimo momento."""
Cavalca,1330,tosc.,"Italia, tuttavia, poi che cominciato abbiamo a parlare contra l' eresia ariana, vuoi che per mostrarti meglio la dannazione del predetto errore passiamo","Italia, tuttavia, avendo iniziato a parlare contro l'eresia ariana, vorremmo che per rendere più chiara la condanna di tale errore passiamo.

(In italiano moderno, ""cominciato"" e ""perdono"" sono raramente usati come verbi. Il primo viene sostituito da ""avuto inizio"", il secondo è sostituito da ""vorremmo"".)"
Valerio Massimo (red. V1,1336,fior.,Corbio nipote d' Ortensio menò sua vita più bassa e più viziosa,"Corbio, nipote di Ortensio, condusse una vita più bassa e più viziosa.

[Translation in modern Italian:]
Corbio, nipote di Ortensio, condusse una vita più bassa e più viziosa."
Brunetto Latini,1260-61,fior.,"contendono d' alcuna cosa, e così fanno tencione. Altressì uno amante chiamando merzé alla sua donna dice parole e ragioni molte, et ella si difende in suo dire et inforza le","Contendono su qualcosa, e quindi creano tensione. Inoltre, un amante supplica la sua donna, e le dice tante parole e ragioni, ma lei si difende dicendo parole e forza le sue argomentazioni.

Rough Translation: They argue about something, and thus they create tension. Moreover, a lover begs his woman, and says many words and reasons to her, but she defends herself by saying words and reinforcing her arguments."
Arte Am. Ovid. (B),1310/13,fior.,"Io mi ricordo (ch. 347) che essendo adirato scapigliai la mia donna. Ohi, quanti dì questa ira mi tolse!  E non mi ricordo (ch.","Io mi ricordo di avermi arrabbiato (capitolo 347) e di averla infastidita mia moglie, scioccandola. Oh, quanti giorni questa rabbia mi tolse! E non mi ricordo (capitolo...)

Traduzione:
Io ricordo di avermi arrabbiato (capitolo 347) e di averla infastidita mia moglie, scioccandola. Oh, quanti giorni questa rabbia mi tolse! E non mi ricordo (capitolo...)
Traduzione:
I remember getting angry (chapter 347) and upsetting my wife, shocking her. Oh, how many days did this anger take from me! And I don't remember (chapter...)"
Rim. Am. Ovid. (B),1310/13,fior.,"luogo di nimico colui del quale tu tti solevi dolere ch' era amante della tua donna;  e avegna che rimanga l' odio, salutalo; tu sarai allora sano, quando tu il","Luogo del nemico, colui con cui tu ti solitamente irritavi perché era innamorato della tua donna. Eppure, se rimane l'odio, saluta lui; allora sarai sanato, quando lo farai.

Nota bene: Il verbo ""ti"" non è usato in italiano moderno, per cui ho usato la forma a terza persona singolare della declinazione del pronome personale (""tu""). Inoltre, il verbo ""saluta"" non ha una forma passata specifica nel tempo indicativo, quindi ho aggiunto l'avverbio di modo ""allora"" per rendere chiaro che ci si riferisce a un atto passato."
Fatti de' Romani (H+R),1313,fior.,"Ma no sapeano già le nomora di coloro dela congiurazione, ché la donna no nominava già li nomi.","Ma non sapevano già i nomi delle persone della congiura, perché la donna non nominava ancora i loro nomi. (in italiano moderno)"
Ceffi,1325,fior.,"Creti?  Certo quand'elli si mosse, elli ti dixe: ""O fedele mia donna, fa' che in mio luogo ti sia racomandato il nostro hoste troiano"".","Credi? Sicuramente quando egli si muove, lui ti dice: ""Oh cara donna mia, fai che nel mio posto ti sia raccomandato il nostro ospite troiano"".

Traduzione letterale: Credi? (Sì) Quando egli (egli = Egli Troiano) si muove, lui (lui = Ella, la donna) ti dice: ""Oh cara mia donna (o fedele mia donna), fai che nel mio posto (nel luogo mio) ti sia raccomandato il nostro ospite troiano"" (il nostro ospite di Troia).

In altre parole, la frase si riferisce a quando Ella, la donna, viene incontriata da Egli Troiano che le chiede di proteggere l'ospite (un Troiano) nel suo posto (nel luogo dove ha lasciato il corpo)."
