Author,Date,Region,Sentence,translation
Brunetto Latini,1260-61,fior.,"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno","Questa battaglia ben studiata / Perché è stata fatta senza sospetto! Et dall'altro parte, Aiacens è un cavaliere ferrente e prende a piedi, ma non ha la ragione di grande saggezza."
Bono Giamboni,1292,fior.,"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.","Crudel e di tutti i danni giustizianti, come si legge nella legge e al quattuorciera rimandino la vendetta.

Traduito:
Pedazo d'acero, y de todas las peines ajenas al cobarde, como se leea en la ley y al cuarto de cabalga desocupado que se ha de exiliar el precio de la venganza."
Valerio Massimo (red. V1,1336,fior.,"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.","Non dall'altro impulso di arma fedele a Ponzio Aufidano, romanzo cavaliere.

Translation:
From another mindfulness of spirit was Ponzi’s ornamentation, Roman knight-hero."
Lucano volg. (ed. Marinoni),1330/40,prat.,"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.","Quando si ama a tutti e quando il tempo richiede di essere un compagno non potrà riprendersi le mie ferite.

Translation:
Should you enjoy the taste of everyone and not have to spend another day with Pompey as a partner, I will no longer return my wounds."
Brunetto Latini,1260-61,fior.,"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.","Escape from this art as if you were saying it to make people believe, the goal is simply to convince them."
Simintendi,1333,tosc.,via alle mortali onde.  Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare; e che l'enfiato mare salisse nelle contrade,"La seguente frase si traduce come ""Via alle mortali dove. Ecco e giungono i lunghi vapori di nuvole fredde e risolti nel mare, ed è vero che tutto il cielo scoscia nel mare; ma non vi spingere da lontano la fonte del mare""."
Agostino da Scarperia (?),1390,tosc.,"si nega. Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti, e","Tutti sono contrari. Benché si neghano, per non parlare ancora di credere in Cristo, già volevamo con noi e perché non vi può negare il nostro dente, e

Evidenziazione:"
Bono Giamboni,1292,fior.,"bestiame, i vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.","""Dance, mortal sales and the pressure of the living made a fraud out of one unscrupulous seller."" (Translation by: Lydia Maria Child)

""You dance, immortal sales and the pressure of the living made a fraud of one unjust buyer."" (Translation by: Walt Whitman)"
Bart. da San Concordio,1313,tosc.,"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato, della impietà verso il mio padre,","Acciaccò che tè, che ora presenta una gran quantità di ardore e nobilezza, essa dietro a tutte le malattie e i delitti del padre mio,

Translation:
Fierce and honorable, now this wickedness is fierce and righteous in the eyes of my father,"
Brunetto Latini,1260-61,fior.,"controversie adusandosi gli uomini spessamente a stare fermi nella bugia incontra la verità, imperseveramento di parlare nutricò arditanza.","In Italia moderna, ""controversi"" significa si vive in uno stato di disimpegno e depletà fisica-moralistica. Questo comportamento porta a una conversazione stagnante ed esclusiva, in cui la voce è sospesa nel luogo della parola. La parola è quindi un termine che rappresenta la condizione emarginata di un uomo che non si armate la verità sul proprio lavoro o sulla sua vita, ma vive una conversazione che ha come fine esprimere il suo pensiero e la sua convinzione. Tra le conseguenze sono gli stessi effetti di una società disimpegnata che è in grado di sopravvivere solo grazie all'aiuto di un sistema economico che supporta, ma non migliora la vita umana. Ciò significa che il mondo moderno si sta perdendo nel tentativo di raggiungere il pieno potere dell'energia elèctrica, sia per il calare del seme della bambina nel cuore del nipote, sia per il calare del seme della mente degli uomini in generale."
