Author,Date,Region,Sentence,translation
Brunetto Latini,1260-61,fior.,"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno","Quella guerra apprezzata per il suo successo come etc. Et dal dietro partito Aiacsi era un cavaliere fiorentino e preparò l' armi con grande abilità ma non aveva un grande intelligence

Riscritto in italiano moderno:

ogni battaglia apprezzato per la sua potenza come etc. Et dal fronte sinistro Aiacsi era un cavaliere fiammingo e preparò il suo arco con ardita abilità ma non aveva un grande intelligenza"
Bono Giamboni,1292,fior.,"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.","Crudelíe, y de todos los pecados por venganza, como dice la ley, e un nexo de caballero que haya perdido.

Translation:
Deathly, and all the wrongs done by revenge, as stated in law, and a bridle of knight who lost it."
Valerio Massimo (red. V1,1336,fior.,"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.","A non altro forza d’animo assegnato a Onorato Aliafino, cavaliere romano.

Riscrittura in italiano moderna:
Non d' altro afflizio fu ornata Ponzi Ondigo, romanista."
Lucano volg. (ed. Marinoni),1330/40,prat.,"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.","""Avec une vie qui doit avoir été besoin de tout perdre pour se trouver dans un seul et unique vrai-mangeur, ou de ne pas retourner les épaules récemment aménagées. ""

Revisión moderna:"
Brunetto Latini,1260-61,fior.,"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.","Dati il seguente testo originale in Italiano arcaico, fornisce una versione moderna (in Italiano):

Officio di questa arte puro aspettare al fine di dare credito.

Ritoccamento moderno:"
Simintendi,1333,tosc.,via alle mortali onde.  Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare; e che l'enfiato mare salisse nelle contrade,"Cominciamo con le donne aperte al mondo. Quasi e lunghi ventaglie di caldo arricciano gli occhi scuri; e potresti credere che tutto il cielo cadisse nel mare; e che la folla mare superasse in altitudine la roccaforte

Riscrittura moderna:"
Agostino da Scarperia (?),1390,tosc.,"si nega. Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti, e","Cosa rifiuta? Non è così. Sì, però, che chi non vuole credere in Cristo già ci vediamo, e perché può negare, stropie il dito, e

Reframing: si nega, ma c'è qualcosa a proposito di noi. Ci vediamo, e perché c'è un tono di speranza nel nostro respiro. Chi vuole credere in Cristo già ci vediamo, e perché non può negare, morditi il dito, e

Riscrittura traduttrice:"
Bono Giamboni,1292,fior.,"bestiame, i vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.","Selamat jalan, sekarang dan kenaikannya.

Istri dan perkosa adalah perintis yang membentuk dari gembala-gembala ternak yang sangat kuat.

Fotografi bertajuk: ""Kata kau dengar dari berita?!""

Hati, jerak saja untuk memasuki pusat perjuangan seperti kota yang sangat menakjubkan.

Rumahkandar, yang tersedia dan seperti bubuk-bubuk, sangatlah berada di mana penghambat dan pemuda terjebak bertempat.

""Saya tidur karena kita semua kawinnya!"" - Sama adalah apa yang diseretkan oleh mesek tampan.

Pendidikan untuk menentukan maksud dan keraguan di dalam perpindahannya terutamaku.

Seni, sebuah pengetahuan bernasabat dan dari kondisi seperti bubuk-bubuk yang sama.

Adukan dan pendidikan, jerak saja untuk mengeluarkan barang yang sangat memadai.

""Saya hidup karena tidur dan semanginya!"" - Sama adalah apa yang diterima oleh alam."
Bart. da San Concordio,1313,tosc.,"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato, della impietà verso il mio padre,","Accordo con l'aria recante di sorpassarsi che ora è feroce e onorevole, egli d'ogni male afflitto e tristezza e da disprezzo ai miei genitori, il mio padre.

Romanizzazione moderna:"
Brunetto Latini,1260-61,fior.,"controversie adusandosi gli uomini spessamente a stare fermi nella bugia incontra la verità, imperseveramento di parlare nutricò arditanza.","Conoscendomi a portata di mano i toni espressivi degli uomini, conosciuti in maniera stravagante nella parola ""bugia"" (o ""contrassegno""), si impegnando a fare un discorso impeccabile.

Rispetto alla verità (eccessivamente) impatta di parlare un'ardiente intesura.

Modificazione per l'uso moderno:

Haber inocuamente osserva il tuo linguaggio espressivo degli uomini conosciuti come ""bugia"", impegnando tutt'altro che ad imparare un discorso perfetto.

Riproducire la maggior parte dell'espressione originale, ma con una moderna versione:

Conoscendomi a portata di mano i toni espressivi degli uomini (o ""bugia"" nella parola inglese) posizionati come una ricetta perfetta per fare un discorso impeccabile."
Filippo da Santa Croce,1323,tosc.,"Marco Cornelio ch'era de' dieci compagni, studiosamente  si riservò di parlare all'ultimo.","Era l'inizio del Decimo Complesso e il mio amico Marco scese in campo coi miei compagni. 

Verso l'ultima, egli risvegliava di parlare al suo posto."
Cavalca,1330,tosc.,"Italia, tuttavia, poi che cominciato abbiamo a parlare contra l' eresia ariana, vuoi che per mostrarti meglio la dannazione del predetto errore passiamo","Italia, tuttoVia, poi avremo fatto parlare di cibo all'arco di Eretz-Ariya, vuoi che potresti fare una migliore mostra della dannazione del precedente errore?

Revisione moderna:"
