Author,Date,Region,Sentence,translation
Brunetto Latini,1260-61,fior.,"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno","Quel qui guerre bien faite l'œuvre, bénéficiant d'une condition honorable et de la haute tactique mais non de la réfléchissante intelligence

Resumé: The heroic action undertaken because it came from Aix-en-Provence, a knight in armor and a good warrior with good judgment but not the intellect to match his skills."
Bono Giamboni,1292,fior.,"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.","Crudelíes y de todas las culpas malditas, como declara la ley, y al trigésimo señor que perezas por pecado.

Siguiendo este modelo en español, podría traducirse al siguiente:

insolventes y con las buenas acciones de todo el preocupamiento, como legislación, y a un quinto oficial que perdone porque pecas."
Valerio Massimo (red. V1,1336,fior.,"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.","Aunque de otra fuerza de animosidad Ponzo, Romano caballero.

Rancio:

No desde un aliento de animo Ponio Aficionado, caballero romano.

Risu il:

Resplandecido:"
Lucano volg. (ed. Marinoni),1330/40,prat.,"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.","Si, questa è una descrizione in italiano moderna:

""Se questo piace a tutti e sei necessario che siamo cavalieri con Pompeo e non come compagno, dovremmo lasciarci i nostri ripetuti affari.

Essendo stato: ""Risultato"""
Brunetto Latini,1260-61,fior.,"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.","In tedesco moderno:

Diese Kunst soll nicht richtig sein, um aufzustellen, um die Worte zu erklären.

Resulterat:"
Simintendi,1333,tosc.,via alle mortali onde.  Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare; e che l'enfiato mare salisse nelle contrade,"Au-dessus de nous et d'en bas, la plume vive des nuages,
dans une nappe éclatante au loin d'une mer profonde,
il se fie à notre sourde oreille comme un bruit sec.

Il y a longtemps que le ciel abîme coulait sur nous;
et maintenant, il se met en place, les têtes bas et élevées,
et la croûte du ciel sombrement ronde.

Pour vous dire d'un ton grave: Ecoutez bien ce qui te dit.
Ce qui passe par votre portée soudainement remonte;
mais n'admette pas les oiseaux mordus, les vents et les pousses
de chats et de bêtes d'enfance énervés en plein vent.

Il vous a donné un ciel où ne passe aucun souffle,
dans une nuée de couleurs légères qui flotte et se perd,
et vous avez décidé que rien ne se fait dans la lueur
de tes yeux à la fois tranquilles et sec.

Le vent n'est pas un fumier d'air noir; il est un feu de raisin.
L'air est comme une flamme qui tourne autour du ciel,
et ce qui passe dans l'air et sourd au-dessus du sol
cet être est venu pour nous déclarer sa haine.

Le ciel est plein d'hommes qui portent leurs tirs à la vie;
les murs brûlés par les feuilles sont comme des flots de sang,
dans le ciel se trouvait-il, ils savaient faire des choses pour vous,
et le soleil se battait entre la nuit et le matin.

Et vous allez croire qu'en nous, tout le monde est perdu;
que tout ce qui reste de la vie dans nos yeux tombe en désordre,
et que rien ne ressuscite les cieux, ni que l'air ne déchire.

Pour vous dire d'un ton grave: Vous avez déjà été chassés."
Agostino da Scarperia (?),1390,tosc.,"si nega. Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti, e","Si nega. Ma a meno di chi potrebbe credere che sia ancora una cosa di cui non vogliamo accettare il credere in Cristo già vedemo con noi, e perciò non potevamo negare, stropionati gli denti e,

Resumé:"
Bono Giamboni,1292,fior.,"bestiame, i vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.","Créz-vous, les ventes des morts et la pression de vivants mènera à la fraude du plus froid et le plus puissant roi.

Crēzĭtŭrī
Heya, böhmisch:
Schweigende wahrend des wachsenden Klimas, stäubt sich die Luft, und die kaltestem König häßlich."
Bart. da San Concordio,1313,tosc.,"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato, della impietà verso il mio padre,","Ce que j’ai chanté en français moderne:

Mais je ne suis qu’une machine à achever une tâche de loin,

Avec mon esprit brûlant et mes pulsions éprouvées,

Sans réfléchir à mon père méchant,

Mais délivrée du péché contre ma mère."
Brunetto Latini,1260-61,fior.,"controversie adusandosi gli uomini spessamente a stare fermi nella bugia incontra la verità, imperseveramento di parlare nutricò arditanza.","Cosas semejantas que dulces y sabrosos a las mujeres por encima de los árboles de hierba,
Sombras negras en la noche del camino, con una luz brillante en la cabeza de un solsticio.
La cacerola de las olas del mar, que hace que sus caras se pongan roja y azul,
La sonrisa que no alcanzó a ver ni uno a dos pasos por encima de la montaña.
Las calles con los nombres de las estrellas, como un viaje en bicicleta por el aire libre,
Dentro de los ojos, de los ojos se habla y sufrido se solapa.
¿Qué es lo que hace que se convierta el vino en oro? ¿La sabiduría de las mujeres?
¿Quién sabe cómo se mueve la luna en nuestra cabeza, en nuestras alas y en nuestro corazón?"
