Author,Date,Region,Sentence,translation
Brunetto Latini,1260-61,fior.,"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno","Quella guerra fu condotta bene, e l'opera fu compiuta come previsto. E dall'altra parte Aiaces era un cavaliere franco e prodi all'arma, di grande capacità, ma non era pieno di grande saggezza."
Bono Giamboni,1292,fior.,"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.","Crudele, e di tutte le colpe pigli vendetta come dice la legge, e a nessuno cavallo perdoni che pecca."
Valerio Massimo (red. V1,1336,fior.,"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.","Ponzio Aufidiano non era dotato di altro vigore d'animo, romano cavaliere."
Lucano volg. (ed. Marinoni),1330/40,prat.,"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.","Se questo piace a tutti e se il tempo ha bisogno di avere Pompeio come cavaliero e non come compagno, non ripeterò più i fati."
Brunetto Latini,1260-61,fior.,"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.","L'obiettivo di questa arte sembra essere affermare apertamente la verità, finalità è rendere credibile la verità a mezzo della sua affermazione."
Simintendi,1333,tosc.,Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare,"Ecco, e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cade nel mare."
Agostino da Scarperia (?),1390,tosc.,"Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti.","Però che ora chi spererebbe che nessuno creda ancora in Cristo, già l'avevano visto con noi, e perché non possono negare, gridano come denti."
Bono Giamboni,1292,fior.,I vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.,I vendimenti dei morti e le pressioni dei vivi crearono la frode di un feroce re.
Bart. da San Concordio,1313,tosc.,"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato della impietà verso il mio padre.","Perché chiunque ora, in questa sua grande dignità, sia ferozmente e onorabilmente arrogante, sia perseguitato e tormentato da ogni male a causa della sua impietà verso il mio padre."
Brunetto Latini,1260-61,fior.,Gli uomini spessamente a stare fermi nella bugia incontra la verità.,Gli uomini spesso restano immobile nella bugia incontra la verità.
