Author,Date,Region,Sentence,translation
Brunetto Latini,1260-61,fior.,"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno","That war was very well fought, and it did its work because of that. On the other hand, Aiaces was a Frankish knight, skilled and brave, but not known for his great wisdom."
Bono Giamboni,1292,fior.,"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.","**Crudele è la vendetta di tutte le colpe. Nessun cavaliere che pecca esca la punizione della legge.**

This archaic Italian sentence expresses a harsh and inflexible legal principle where retribution for wrongdoing is concerned."
Valerio Massimo (red. V1,1336,fior.,"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.","In modern Italian, the sentence would be:

""Non aveva altra scelta di non essere nato a Ponzio Aufidiano, cavaliere romano.""

Which means:

""He had no other choice but to be born to Ponzio Aufidiano, a Roman knight."""
Lucano volg. (ed. Marinoni),1330/40,prat.,"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.","If everyone likes it and if time has need of having Pompey on horseback rather than as a companion, I won't hold back any longer."
Brunetto Latini,1260-61,fior.,"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.","In modern Italian, the sentence would be:

""Il lavoro di questa arte sembra solo voler far credere, finalità è far credere per dirlo.""

Which translates to:

""The work of this art seems to be wanting to make you believe, its aim is to make you believe in order to say it."""
Simintendi,1333,tosc.,Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare,"Here and wide are numerous vultures circling about; and you could believe that all the sky would fall into the sea.

This archaic Italian sentence evokes a dramatic scene of chaos and unpredictability."
Agostino da Scarperia (?),1390,tosc.,"Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti.","Cependant, chi ci spererebbe che chiunque creda in Cristo oggi, visto che molti di coloro che non lo credono già da tempo, e perché non possono negarlo, gridano di gusto."
Bono Giamboni,1292,fior.,I vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.,"In modern Italian, the sentence would be:

""I costumi morti e la pressione dei vivi hanno provocato la follia di un re feroce.""

This translation preserves the meaning and syntax of the original sentence while using contemporary Italian vocabulary and grammar."
Bart. da San Concordio,1313,tosc.,"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato della impietà verso il mio padre.","In modern Italian, the sentence would be:

""Perché ieri, che ora per la sua grande dignità è feroz e onorante, è afflitto di ogni male e tormentato dall'impietà verso il mio padre."""
Brunetto Latini,1260-61,fior.,Gli uomini spessamente a stare fermi nella bugia incontra la verità.,"The sentence in modern Italian would be: ""Gli uomini spesso restano fermi nella bugia incontrano la verità.""

""Spiegamente"" can be translated as ""often"" or ""frequently"", while ""restano"" is the present tense of ""restare"" which means ""to remain"" or ""to stay""."
