Author,Date,Region,Sentence,translation
Brunetto Latini,1260-61,fior.,"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno","Quella guerra è stata bene condotta perché così è stato l'obiettivo, eccetto che... E da un altro punto di vista, Aiace era un cavaliere francese e abilissimo nelle armi, di gran lunga superiore, ma non possedeva una grande saggezza.

In modern Italian: Quella guerra è stata bene condotta perché così era l'obiettivo, eccezione fatta che... E da un altro punto di vista, Aiace era un cavaliere francese e abilissimo nelle armi, molto superiore, ma non possedeva una grande saggezza.

Note: ""prode all'arme"" translates to ""abilissimo nelle armi"". Also, the phrase ""di gran guisa"" has been replaced with ""molto superiore"", as it is an archaic way of saying ""very superior"". The ending ""-te"" has also been changed to ""-ti"" in the modern Italian version. Lastly, I added the word ""eccezione fatta che..."" for clarity and flow in modern Italian."
Bono Giamboni,1292,fior.,"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.","crudeli, e di tutte le colpe prende vendetta, come dice la legge, ed ad ogni cavaliere perdonare coloro che peccano.

Modern Italian:

crudele, e di tutte le colpe prende vendetta, secondo quanto la legge dice, e ad ogni cavaliere perdona chi pecca.

Here's the breakdown of the translation:

- crudele -> crudele (no change) - cruel
- e di tutte le colpe pigli vendetta -> prende vendetta (change to present tense) - and takes revenge for all crimes
- com' dice la legge, ed a neuno cavaliere perdoni che pecchi -> secondo quanto la legge dice, e ad ogni cavaliere perdonare coloro che peccano (change to modern sentence structure and use appropriate verbs) - according to what the law says, and to every knight forgive those who sin

Note: The word ""neuno"" in the original sentence is an archaic form of ""ogni,"" meaning ""every."""
Valerio Massimo (red. V1,1336,fior.,"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.",Non fu ornato Ponzio Aufidiano con alcuna forza d'animo altro che romano cavaliere (Non was adorned Ponzio Aufidiano with any strength of spirit other than a Roman knight)
Lucano volg. (ed. Marinoni),1330/40,prat.,"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.","Se questo piace a tutti e se il tempo ha bisogno di avere Pompeio come cavalier rather than come compagno, non lo riterrò più un fatto.

In modern Italian:
Se ci piace a tutti e se il tempo ha bisogno di avere Pompeio come cavaliere invece che come compagno, non lo riterrò più un fatto."
Brunetto Latini,1260-61,fior.,"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.","Il compito di questa arti pare che sia quello di dire appositamente per ingannare, il fine è ingannare per le parole.

This sentence in modern Italian would translate to:
The task of this art seems to be to say specifically in order to deceive, the purpose is to deceive through words."
Simintendi,1333,tosc.,Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare,"Ecco e gli ampi ventisettemila piume cadono dalle dense nebbie; e potresti pensare che tutto il cielo si stia collassando nell'acqua.

Translation in English:
Here and wide seventeen thousand feathers are falling from the thick fog; one might think that all the sky is collapsing into water."
Agostino da Scarperia (?),1390,tosc.,"Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti.","Ma chi ora spererebbe quello che anche questi che non credono ancora a Cristo, vede già con noi, e perché ci potrebbero negare, urlano con i denti.

Translation in English:
But who now hopes for what even these who do not yet believe in Christ, already see with us, and because they could deny us, they scream with their teeth."
Bono Giamboni,1292,fior.,I vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.,"Gli approvalti dei morti e la pressione dei vivi hanno portato alla froda di un crudele re.

This sentence translates roughly to ""The proceedings of the dead and the pressure of the living brought about the fraud of a cruel king."" In archaic Italian, 'vendimenti de' morti' is equivalent to 'approuti dei morti', 'presure' to 'pressione', 'fece' to 'ha portato', and 'd'uno feroce re' translates directly to 'di un crudele re'."
Bart. da San Concordio,1313,tosc.,"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato della impietà verso il mio padre.","Affinché quel valente, il quale ora a causa delle sue grandi virtù è fiero e onorabile, egli soffre di ogni male per la sua impietà verso il mio padre.

In modern Italian, ""Acciocché"" becomes ""Affinché"", ""quegli, il quale"" becomes ""quel valente, il quale"", ""oggi"" becomes ""ora"", ""di ogni male afflitto e tormentato"" can be simplified to ""soffre di ogni male"", and ""della impietà verso il mio padre"" remains the same."
Brunetto Latini,1260-61,fior.,Gli uomini spessamente a stare fermi nella bugia incontra la verità.,"Gli uomini spesso restano fermi nella bugia incontrano la verità. (Note: ""spessemente"" is replaced with ""spesso"" which is the modern form)"
Filippo da Santa Croce,1323,tosc.,"Marco Cornelio ch'era de' dieci compagni, studiosamente  si riservò di parlare all'ultimo.","Marco Cornelio, che era uno dei dieci compagni, si riservò a parlarall'ultimo [o semplicemente ""all'ultimo""].

The archaic phrase ""studiosamente si riservò di parlare all'ultimo"" has been simplified to ""si riservò a parlarall'ultimo"" or just ""si riservò a parlare all'ultimo"". Both translations convey the same meaning. The original sentence is in Tuscan dialect, while the modern version is in standard Italian."
Cavalca,1330,tosc.,cose ch'io sapeva che erano fatte in Italia.,"Le cose che io conoscevo essere fatte in Italia. (Modern Italian)

The subject-verb agreement is maintained, but the archaic ""sapeva"" (knew) has been replaced with ""conoscevo"" (I knew), which is more commonly used today. The phrase ""che erano"" (that were) becomes ""erbe"" in modern Italian, as the verb agrees with the subject in gender and number. Thus, ""cose"" (things) remains unchanged as feminine plural noun."
Valerio Massimo (red. V1,1336,fior.,Corbio nipote d' Ortensio menò sua vita più bassa e più viziosa,"Corbi, nipote di Ortenzio, condusse una vita più bassa e più viziosa (lit. translation: Corbi, nephew of Ortenzio, led a life lower and more vicious)

In modern Italian, it would be more colloquial to say ""Corbi, nipote di Ortenzio, ha condotto una vita più bassa e più viziosa"" (Corbi, nephew of Ortenzio, led a low and vicious life)."
Brunetto Latini,1260-61,fior.,"Altressì uno amante chiamando merzé alla sua donna dice parole e ragioni molte, et ella si difende in suo dire.","In modo simile, un amante chiamandolo rimprovero alla sua donna dice parole e ragionamenti molti, ed essa si difende nel discorso suo.

In modern Italian the sentence would be:

Come un amante, chiamandolo rimprovero, a sua donna dice parole e ragioni molte, e lei si difende nella sua risposta."
Arte Am. Ovid. (B),1310/13,fior.,"Io mi ricordo (ch. 347) che essendo adirato scapigliai la mia donna. Ohi, quanti dì questa ira mi tolse!","Io ricordo di averla infastidito (capitolo 347), poiché, arrabbiato, l'ho messa a disagio. Oh, quanti giorni questo rancore mi ha costretto a soffrire!

In modern Italian:
Io ricordo di averla infastidito (capitolo 347), poiché, arrabbiato, l'ho messa a disagio. Oh, quanti giorni questo rancore mi ha costretto a soffrire!

Translation in English:
I remember having annoyed her (chapter 347), because, angry, I upset her. Oh, how many days this anger made me suffer!"
Rim. Am. Ovid. (B),1310/13,fior.,colui del quale tu tti solevi dolere ch' era amante della tua donna;,"colui del quale tu ti soliti lamentare che era amante della tua donna;

In modern Italian, the archaic form ""tti"" has been replaced with ""ti"". The verb ""solevi"" (you used to) is still used in modern Italian but ""dolere"" (to sorrow/grieve) can be replaced with ""lamentare""."
Fatti de' Romani (H+R),1313,fior.,"Ma no sapeano già le nomora di coloro dela congiurazione, ché la donna no nominava già li nomi.","Ma non sapevano già i nomi delle persone della congiura, poiché la donna non nominava ancora i nomi. (Modern Italian)

Translation in English: They didn't know the names of the people involved in the conspiracy yet, because the woman was not revealing their names."
