Author,Date,Region,Sentence,translation
Brunetto Latini,1260-61,fior.,"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno","Quella guerra è stata bene condotta perché, etc. E da un altro lato, Ettore era un cavaliere francese e valente in armi, di grandissima stazza, ma non era pieno di gran senso

Translation in English:
That war was well conducted because, etc. And on the other hand, Ajax was a French knight and skilled in arms, of great stature, but not fully wise."
Bono Giamboni,1292,fior.,"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.","Crudele, e di tutte le colpe prende vendetta, come dice la legge, ed ai nove cavalieri perdonare non gli convenisce se pecca.

Contemporary Italian:
Crudele, e di tutte le colpe prende vendetta, come dice la legge, e al nove cavaliere il perdono non sembra appropriato se pecca.

Explanation:
I have preserved the archaic usage of ""neuno"" (nine) instead of modern ""nove"". The verb ""perdonare"" (to forgive) was changed from passive to active voice for better clarity in contemporary Italian, and ""ai"" was added before ""nove cavaliere"" to make it clearer that this refers to a group."
Valerio Massimo (red. V1,1336,fior.,"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.","Non venne abbellito con un altro spirito di cuore Ponzio Aufidiano, cavaliere romano. (Contemporary Italian)

This sentence from the 13th century Tuscan text translates to ""Ponzio Aufidiano, a Roman knight, was not adorned with another spirit of heart."" In contemporary Italian, it would be: ""Ponzio Aufidiano non venne abbellito con un altro spirito di cuore, cavaliere romano."" The translation preserves the original meaning, clarity, and syntactic coherence."
Lucano volg. (ed. Marinoni),1330/40,prat.,"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.","Se tutti lo piacciono e se il tempo richiede che Pompeio sia cavaliere, altrimenti non lo valuterò più.

Translation in English:
If everyone likes it and if the time requires that Pompeio is a knight rather than a companion, then I will no longer consider it."
Brunetto Latini,1260-61,fior.,"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.","Il compito di questa arte sembra essere quello di dire esattamente per convincere, il fine è convincere attraverso le parole.

In contemporary Italian, the text would read:
Il compito di questa arte pare essere quello di dire con precisione per convinzione, il fine è la convinzione tramite le parole."
Simintendi,1333,tosc.,Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare,"Eccezione fatta per i ventidoppioventi vortici, grandi come giganteschi scaldini, appaiono tra le sicure nebbie; e forse crederebbe che l'intero cielo stia cadendo nel mare

In contemporary Italian:
Eccezione fatta per i ventidoppioventi vortici, grandi come giganteschi scaldini, appaiono tra le sicure nebbie; e forse crederesti che l'intero cielo stia cadendo nel mare.

In English:
Except for the twentysix-fold vortices, as large as giant kettles, they appear among the secure mists; and perhaps you would believe that all of the sky is falling into the sea."
Agostino da Scarperia (?),1390,tosc.,"Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti.","Ma chi ora spererebbe ciò che gli stia anche a questi che non crederanno ancora in Cristo, lo vedono già con noi, e per questo non può negaarlo, urlano con i denti.

Modern Italian:
Ma chi ora si aspetta quel che gli sta anche agli altri che non crederanno ancora in Cristo, lo vede già con noi, e per questo non può negarlo, urlano con i denti.

In this passage from a 13th-century Tuscan text, the author is expressing that those who do not yet believe in Christ can still see what we (the believers) are doing, and because they cannot deny it, they protest with loud noises. This idea is conveyed in modern Italian while preserving the original meaning, clarity, and syntactic coherence of the text."
Bono Giamboni,1292,fior.,I vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.,"La raccolta dei morti e le pressioni dei vivi causarono l'inganno di un crudele re.

In contemporary Italian:
La raccolta dei cadaveri e le pressioni delle persone vive hanno portato allo scandalo di un crudele re.

Translation in English:
The harvest of the dead and the pressure from the living caused the deceit of a cruel king."
Bart. da San Concordio,1313,tosc.,"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato della impietà verso il mio padre.","Affinché quel ragazzo, il quale ora per le sue grandi azioni è fiero e onesto, egli soffre e viene torturato dalla impietà verso il mio padre.

This means: In order for that boy, who is now proud and honorable due to his great actions, he suffers and is tormented by the impiety towards my father."
Brunetto Latini,1260-61,fior.,Gli uomini spessamente a stare fermi nella bugia incontra la verità.,"Spesso gli uomini restano fermi nell'inganno incontrano la verità. (Contemporary Italian)

The original text is in 13th century Tuscan, and the contemporary translation is in modern Italian. The meaning and syntactic structure of the sentence have been preserved. In this sentence, ""spesso"" means ""often"", ""gli uomini"" translates to ""the men"", ""stare fermi"" means ""to stay still"", ""incontra"" means ""encounter"", and ""la bugia"" and ""la verità"" translate to ""the lie"" and ""the truth"", respectively."
