Author,Date,Region,Sentence,translation
Brunetto Latini,1260-61,fior.,"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno","Quella guerra fu bene combattuta perché, e invece Aiace era un cavaliere francese coraggioso nelle armi, ma non aveva molto senso grande

This war was well fought because, and instead, Aiaces was a French knight brave in arms, but he wasn't very wise."
Bono Giamboni,1292,fior.,"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.","Crudele, e di tutte le colpe prende vendetta, come dice la legge, ed a nessun cavaliere perdonare chi pecca.

In modern Italian, it would be:
Crudele, e di tutte le colpe prende vendetta, come dice la legge, ed a nessun cavaliere perdoni chi ne pecca.

Translation in English:
Cruel, and takes revenge for all wrongs, as the law says, and to no knight forgive him who sins."
Valerio Massimo (red. V1,1336,fior.,"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.","Non d'altra forza d'animo (Ponzio Aufidiano) fu ornato di una corazza romana, ovvero il cavaliere romano (Ponzio Aufidiano).

In modern Italian, this would translate to: ""Non fu decorato con un'altra forza d'animo di un'armatura romana, cioè il cavaliere romano (Ponzio Aufidiano).""

The original sentence is written in archaic Italian, but I provided the modern equivalent while keeping the essence of the ancient language."
Lucano volg. (ed. Marinoni),1330/40,prat.,"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.","If everyone likes this and if time needs Pompeio to be a knight instead of a companion, I will no longer consider the events (or the situation) as they are happening. (Modern Italian: Se tutti lo piacciono e se il tempo ha bisogno che Pompeio sia cavaliere invece di compagno, non li ritornerò più come accadono.)"
Brunetto Latini,1260-61,fior.,"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.","La frase italiana antica sembra significare ""dire esplicitamente per ingannare, il scopo è ingannare col parlare"". In lingua moderna italiano, questa potrebbe essere tradotta come ""parlare esplicitamente con l'intenzione di ingannare, l'obiettivo è ingannare parlando."""
Simintendi,1333,tosc.,Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare,"Questa frase significa ""Ecco e gli ampi ventiquattrenni urtono dalle nebbie determinate; e potresti credere che tutto il cielo si sgretoli nell'acqua"" in italiano moderno.

This means, ""Here and the wide twenty-four-year-olds [meteorological phenomenon] crash through the determined mists; and you could believe that all the sky collapses into the sea"" in modern Italian."
Agostino da Scarperia (?),1390,tosc.,"Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti.","Ma chi avrebbe quello che desiderano coloro che ancor non credevano in Cristo, lo vedono già con noi, e perché non può negarlo, gridano collericolore.

In modern Italian:
Ma chi avrebbe ciò che desiderano coloro che ancora non credono in Cristo, lo vedono già con noi, e perché non può negarlo, urlano con furore.

Note: In the original sentence ""che"" (that) and ""chi"" (who) are used interchangeably, but this is a stylistic archaism which is not common in modern Italian. Additionally, ""colli denti"" is a poetic phrase that can be translated as ""with passion"" or ""with fury"", and ""colorerocciolo"" is a more accurate contemporary term for it. However, the spirit of the original sentence seems to imply ""with teeth gritted"", so I kept the phrase as written in the question for preservation's sake."
Bono Giamboni,1292,fior.,I vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.,"La vendemmia dei morti e la pressione dei vivi fece il tranello di un crudele re.

The modern Italian translation of the sentence is: ""The harvest of the dead and the pressure of the living made the trick of a cruel king."""
Bart. da San Concordio,1313,tosc.,"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato della impietà verso il mio padre.","Affinché quel giovane, colui che ora a causa delle sue grandi ingiustizie è fiero e onorabile, lui soffre di ogni male per la sua crudeltà verso il mio padre.

In modern language: Affinché quel ragazzo, colui che ora a causa delle sue ingiustizie grandi è orgoglioso e onorevole, egli soffre di ogni male a causa della sua crudeltà verso il mio padre.

Explanation: The phrase 'Acciocché' is the subjunctive form of 'affinché' in older Italian and means 'in order that' or 'so that'. The pronoun 'egli' (he) replaces the relative pronoun 'quello' (that one/who), and 'd'ogni male afflitto e tormentato' translates to 'soffre di ogni male' (suffers from every evil). Additionally, I replaced the archaic term 'impietà verso' with 'crudeltà verso', which is a more common and modern way of expressing the meaning."
Brunetto Latini,1260-61,fior.,Gli uomini spessamente a stare fermi nella bugia incontra la verità.,"Gli uomini spesso trovano la verità se rimangono fermi in una bugia.
(Modern Italian)

The sentence, while not grammatically incorrect for the period it comes from, could be rephrased more naturally today as:
Gli uomini spesso trovano la verità se si appoggiano sulla bugia.
(Modern Italian)

English translation:
Men often find the truth when they lean on a lie."
