Author,Date,Region,Sentence,translation
Brunetto Latini,1260-61,fior.,"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno","Quell'altra guerra ben condotta fu l'opera perché etc.

E dall'altro lato, Aiaces era un cavalliere forte e coraggioso nella guerra, con una grande reputazione. Tuttavia, non era ricco di grande saggezza."
Bono Giamboni,1292,fior.,"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.","Crudele, e reagisce violentamente alle tue colpe, prendendo la vendetta, come la legge lo dispone, ed addirittura nessun cavaliere conosce perdono per coloro che commettono peccati."
Valerio Massimo (red. V1,1336,fior.,"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.","Ponzio Aufidiano, un cavalliere romano, non disponeva di altre forze di animo per essere arricchito o decorato."
Lucano volg. (ed. Marinoni),1330/40,prat.,"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.","Se questo piace a tutti e se il tempo ha bisogno di avere Pompeoio come cavallo di guerra e non solo come compagno, allora non ritornerò più alla passata fortuna.

This translation preserves the original meaning of the archaic Italian sentence while using modern Italian syntax."
Brunetto Latini,1260-61,fior.,"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.","Funzione di questo artista sembra consistere nell'affermare falsamente a scopo di persuaderlo, finalementi, la persona viene convinta attraverso ciò che viene detto.

Note: The translation captures the original meaning of the sentence while adapting it to modern Italian syntax."
Simintendi,1333,tosc.,Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare,"Ecco un vasto andante che fiume di volti zampettanti come caggioni dei più decisionosi nuvole; ed è probabile che tu pensi che tutto lo spazio celeste cadesse nel mare.

In modern Italian, this would be:

""Ecco un imponente vento che sferza le anime desiderose come cattive pietanze di creature determinate nuvole; e probabilmente pensi che tutto il cielo precipiti nel mare."""
Agostino da Scarperia (?),1390,tosc.,"Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti.","Tuttavia, poiché ognuno spera di ciò che stanno gradualmente riconoscendo nei circostanti, quelli ancora non desiderano credere nel Cristo, già iniziando a vedere gli eventi attraverso noi, e sicuramente non possono negarlo, urlano con i denti infuocati."
Bono Giamboni,1292,fior.,I vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.,Gli affitti dei defunti e l'assenza di tranquillità tra i vivi crearono l'intenzione fraudulosa di un re ferocissimo.
Bart. da San Concordio,1313,tosc.,"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato della impietà verso il mio padre.","Per evitare che colui, al momento per le sue grandi virtù feroci e onorato, si attivi di ogni male commesso, tormentato dalla colpa dell'impietenza nei confronti del mio padre."
Brunetto Latini,1260-61,fior.,Gli uomini spessamente a stare fermi nella bugia incontra la verità.,"Gli uomini, solitamente immobili in una menzogna, possono incontrare la verità frequentemente."
Filippo da Santa Croce,1323,tosc.,"Marco Cornelio ch'era de' dieci compagni, studiosamente  si riservò di parlare all'ultimo.","Marco Cornelio, uno dei dodici compagni suoi, si prese con intelligenza studiosa il compito di non parlare finché gli altri non lo avessero fatto."
Cavalca,1330,tosc.,cose ch'io sapeva che erano fatte in Italia.,"Cose che conoscevo come fossero state create in Italia. 

Translation: ""Things that I knew were made in Italy, as they were."" The translation preserves the original meaning and structure of the sentence."
