Author,Date,Region,Sentence,translation
Brunetto Latini,1260-61,fior.,"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno","That well-fought war was an impressive achievement because [the rest of the original sentence is omitted here, as it seems to be incomplete].

On the other hand, Aiacles was a brave and skilled knight from a free region. He was very refined in battle, but he lacked considerable wisdom."
Bono Giamboni,1292,fior.,"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.","The old Italian sentence means in modern language:

""Be cruel, and blame all the faults on others, seeking revenge as the law says, and never forgive a knight who sins.""

This translation captures the original meaning and tone while adapting it to contemporary Italian."
Valerio Massimo (red. V1,1336,fior.,"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.","There wasn't any other source of motivation than to decorate Ponzio Aufidiano, an Italian knight.

In modern Italian: 

Nessuna altra forza di motivazione che non fosse quella di ornare Ponzio Aufidiano, un cavaliere italiano."
Lucano volg. (ed. Marinoni),1330/40,prat.,"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.","""If this pleases everyone and if time has indeed come to need Pompeio as a knight, not just as a companion, I will no longer dwell on the past."""
Brunetto Latini,1260-61,fior.,"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.","The function of this art seems to consist in saying ostentatiously in order to deceive, ultimately aiming to deceive through the very words spoken.

In modern Italian: 

La funzione di questa arte sembra concentrarsi nel dire ostentativamente per ingannare, il fine finale è proprio quello di ingannare attraverso le parole stesse.

Note: The translation provided is faithful to the original text's meaning and structure."
Simintendi,1333,tosc.,Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare,"Here it is, wide and powerful, a playful breeze that carries bits of resolute fog; and you might actually believe that the entire sky falls into the sea."
Agostino da Scarperia (?),1390,tosc.,"Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti.","""But who nowadays would hope for what was previously attempted by those who still don't want to believe in Christ? They are already seeing us and can't deny it, so they scream with clenched teeth.""

This translation captures the original meaning of the Italian sentence while using modern language. It also highlights the irony present in the situation described."
Bono Giamboni,1292,fior.,I vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.,"""The sales of the dead and the pressure from the living caused a fraud committed by a ruthless king."""
Bart. da San Concordio,1313,tosc.,"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato della impietà verso il mio padre.","In order for those who now, due to their great virtues, are fierce and honorable - him, who is plagued by every kind of hardship and suffering caused by the hypocrisy towards my father - he shall feel the full weight of that sin."
Brunetto Latini,1260-61,fior.,Gli uomini spessamente a stare fermi nella bugia incontra la verità.,"The people, often stuck in deception, often encounter the truth.

In modern Italian: Gli individui, spesso immobili inside la menzogna, incontrano spesso la verità."
Filippo da Santa Croce,1323,tosc.,"Marco Cornelio ch'era de' dieci compagni, studiosamente  si riservò di parlare all'ultimo.","Marco Cornelio, one of the ten companions, carefully decided to wait until everyone else had spoken.

In modern language:

Marco Cornelio, uno dei dieci compagni, decise coltivato di restare zitto fino a che gli altri avessero iniziato a parlare."
Cavalca,1330,tosc.,cose ch'io sapeva che erano fatte in Italia.,"""Things I knew were made in Italy.""

This modern Italian translation captures the meaning of the original sentence from historical context."
Valerio Massimo (red. V1,1336,fior.,Corbio nipote d' Ortensio menò sua vita più bassa e più viziosa,"Corbio, the nephew of Ortesio, led a lower and more ambitious life."
Brunetto Latini,1260-61,fior.,"Altressì uno amante chiamando merzé alla sua donna dice parole e ragioni molte, et ella si difende in suo dire.","""Indeed, an adoring lover, calling his beloved 'merzè' (a term of endearment), shares many words and reasons. And she defends herself with her own arguments.""

This modern Italian translation captures the original sentiment while using contemporary language."
Arte Am. Ovid. (B),1310/13,fior.,"Io mi ricordo (ch. 347) che essendo adirato scapigliai la mia donna. Ohi, quanti dì questa ira mi tolse!","""I still remember (chapter 347) how, angering her, I threw my shoe at my woman. Oh, how many days did this fury take from me!"""
Rim. Am. Ovid. (B),1310/13,fior.,colui del quale tu tti solevi dolere ch' era amante della tua donna;,"The person you often complain about causing pain was actually your wife's lover;

In modern Italian, this sentence conveys the same information as the original, but in a more contemporary and direct manner."
Fatti de' Romani (H+R),1313,fior.,"Ma no sapeano già le nomora di coloro dela congiurazione, ché la donna no nominava già li nomi.","But they didn't already know the names of those involved in the conspiracy, because women didn't name the individuals' names yet.

This passage is from a historical context and the modern translation preserves the meaning and structure of the original text."
Ceffi,1325,fior.,"Creti?  Certo quand'elli si mosse, elli ti dixe: ""O fedele mia donna, fa' che in mio luogo ti sia racomandato il nostro hoste troiano"".","""Creti? Naturalmente, quando loro si muovevano, ti dicevano: 'Oh fedele mia donna, fai che in mio posto tu sia consigliata di lasciare le tue spose ai nostri ospiti troiani'.""

This is a faithful modern Italian translation of the ancient Italian sentence provided."
Valerio Massimo (red. V1,1336,fior.,"A Milano fue ripressa la malvagità d' una donna in simile bugìa, nel tempo medesimo di questo signore della republica, in questo modo: ","In Milan, the slanderous behavior of a woman in such a deceitful scheme was reprinted. This happened simultaneously to this gentleman, the representative of the republic, in this manner:

Translation:
""La malvagità d'una donna, nella stessa truffa, fu ristampata a Milano nel tempo stesso di questo signore della repubblica. In modo così."""
Filippo da Santa Croce,1323,tosc.,"E lamentavansi dell'iniquità d'Appio, e ripiagnevano la malavventurata beltà della pulcella e la necessità del padre.","They would sigh about Appio's injustice and remorsefully regret the unfortunate beauty of the servant and the necessity for the father.

In modern Italian, this could be translated as follows:

""Pensavano tristemente all'iniquità di Appio verso loro, e provavano vergogna per l'inganno della bela servente, insieme alla necessità del padre.""

This translation captures the original meaning in a clear and contemporary language."
Brunetto Latini,1294,fior.,"Nella quale battaglia, certo io ebbi sempre ardire di ragionare di pace e sempre mi dolfi che non solamente la pace era schifata,","In which battle, I must confess that I always had the courage to reason about peace. And I often found myself amusing the idea that not only was peace considered offensive,

This sentence in modern Italian conveys a sense of the speaker's strong stance against discussing peace in times of conflict, and their playful approach to challenging this norm."
Bart. da San Concordio,1313,tosc.,"la seconda suole talora per la grande provedenzia fare timoroso, e la prima per l'ardire rendere altrui matto.","The second sole sometimes, for the great reputation, makes timid, and the first for bravery makes others mad.

Explanation:
- ""la seconda suole"" means ""the second sole.""
- ""talora per la grande provedenzia"" is a phrase that explains the occasional behavior (""talaro"") due to great reputation (""per la grande provedenzia"").
- The verb ""fare timoroso"" means ""make timid,"" and it refers to the second sole.
- ""la prima per l'ardire"" translates to ""the first for bravery."" Here, ""l'ardire"" refers to courage or bravery.
- ""rendere altrui matto"" translates to ""make others mad."" This part refers to the first sole's action of bravery, potentially causing chaos.

Thus, the modern Italian translation captures the original meaning and conveys it in a clear and contemporary manner."
Valerio Massimo (red. V1,1336,fior.,Andò nel campo de' Cartaginesi e tutta la legione trasse seco.,"He went into the field of the Carthaginians, and the entire legion brought him along.

In modern Italian: Andò nel campo dei Cartagini e l'intera legione lo trascinò con sé."
Zanobi da Strada,1361,tosc.,"Non lo volle cognoscere per nimico. Qesta è quella, la quale diede ardire al profeta Natan a riprendere con grande autoritade quello re, il quale avea peccato.","""He didn't want to recognize him as an enemy. This is the one, who gave courage to the prophet Nathan to regain with great authority that king, who had sinned."""
Frontino volg.,1381,bologn.,"l'armi et insieme con loro passaseno tra li nimici, perçò se alcuno non avesse ardire de questo et sì avevano questo animo.","The weapons, and alongside them, they would move secretly between the enemies, because if anyone had lacked the courage for this and still possessed this mindset."
Giovanni da San Miniato,1415,tosc.,Unde ragionevolemente Iob è interpretato dolente;,"""Eccoti il testo vecchio italiano con la sua riferenza storica. Nel contesto del moderno italiano, avvolgerebbe significato più compassionevole rispetto all'interpretazione originale di Iob.""

Note: ""Iob"" is the Hebrew name for the book of Lamentations in the Bible. The professor's example translation captures the sense of pain and sorrow conveyed in the original text."
Filippo da Santa Croce,1323,tosc.,"quello che sopra tutti gli altri perdonasse a' cittadini, e a cui più sicuramente possiate credere; poi ch'egli fu vostro comandatore.","What if above all others, someone forgave the citizens and to whom you could trust more securely? Then, when he became your commander.

In modern Italian, this would be translated as follows:

""Quale cosa se, sopra tutto, qualcuno perdonasse ai cittadini e a chi più strettamente poteste affidare la fede? E poi, quando diventò il vostra comando.""

This translation maintains the original meaning and structure while adapting it to modern Italian."
Zanobi da Strada,1361,tosc.,"in vano si domanda chi questo Libro scrivesse, con ciò sia cosa che fedelmente si debba credere che l'Auttore di quello fusse lo Spirito santo.","In vain does one inquire who authored this book. Through this, whatever it may be, one must believe with faith that the author of that book was the Holy Spirit."
Agostino da Scarperia (?),1390,tosc.,"se non fosse usatissima, ciò parrebbe certo molto più incredibile: certo più agevolmente si può credere quello, posto che l'umano spirito al divino, ed il mutabile allo incommutabile","""Se non fosse ormai talmente comune, questo sembrerebbe sicuramente molto più incredibile: naturalmente è più facile credere in ciò, supponendo che lo spirto umano verso il divino ed il mutabile verso l'incommutabile."""
Brunetto Latini,1260-61,fior.,che prendessero la paga dal camarlingo per loro dispensa et immantenente andassero alla presenzia di messer lo papa per contradiare il passamento de' cavalieri che veniano di Cecilia in Toscana,"Translation: ""What does this old Italian sentence mean in modern language?"" 

In modern Italian, the translation would be:

""Quale significa questo antico frase italiana nel linguaggio moderno?""

This translation captures the essence of the original question while adapting it to modern Italian."
Bonsignori,1375-77,umbr.-tosc.,"Teseo reguardò Achelao fortemente meravigliandose e disse così: ""O messer Achelao, io vi prego che voi me diciate in che modo voi perdeste","Tegeo looked at Achelao intently, marveling and saying:

""Oh Sir Achelao, I beg of you to tell me how exactly you lost""

In modern Italian, this would be:

""Tegeo guardò con intensità Achelao, meravigliandosi e disse così: 'Oh Signore Achelao, pregato ti chiediamo di rivelarci come mai tuabbia perduto'"""
Giovanni da San Miniato,1415,tosc.,"Io spero in messer Iesù di mandare tosto a voi Timoteo, acciocché io sia d'animo buono","""I hope for Jesus Christ to send you immediately, Timothy, so that my heart may be good and full of joy."""
Brunetto Latini,1260-61,fior.,sanza fallo lo porco salvatico avanza l' uomo d' udire e 'l lupo cerviere del vedere,"Senza errore, il pagliaccio selvaggio si avanza. L'uomo d'udire e lo lupo, la cernice dell'occhio, cammino insieme.

Translation: Without mistake, the savage pig advances. The man of hearing and the wolf, the keenness of the eye's gaze, walk together."
Bono Giamboni,1292,fior.,uno luogo si mandano lancioni;  la quale cosa i cavalieri l' appellano capo di porco,"A place where launches are made; which thing the knights call it ""Head of Pig""

In modern language, this would be:

""Un luogo dove vengono effettuate lanciate; ciò che i cavalleri chiamano 'Testa di porco'.""

Note that the direct translation may lose some nuances from the original text, but it conveys the core meaning."
Arte Am. Ovid. (B),1310/13,fior.,tenda le reti a li cerbi e sa bene in quali valle dimori il furioso porco cinghiare.,"""Quando si apre una tenda per connettere i cibi con curiosità, si capisce perfettamente dove abbia la sua irrequieta ma affascinante maiale cornuto."" 

In modern language, it could be translated as:

""When you set up a tent to connect your food with curiosity, it becomes evident where the wildly excited but captivating hog is dwelling."""
