Author,Date,Region,Sentence,translation
Brunetto Latini,1260-61,fior.,"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno","**Analysis:**

* **Structure:** The text is an archaic sentence fragment, lacking a complete subject and predicate. 
* **Key words:** ""quella guerra,"" ""opera,"" ""Aiaces,"" ""cavaliere,"" ""franco,"" ""prode,"" ""arme,"" ""guisa,"" ""grande senno.""


**Modern Italian:**

La guerra fu ben organizzata e riuscì a raggiungere lo scopo desiderato. D'altra parte, Aiaces era un cavaliero franco e esperto nell'uso delle armi, ma non era dotato di grande intelligenza."
Bono Giamboni,1292,fior.,"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.","**Structure:**

- The sentence is in the indicative mood.
- It consists of three clauses: 
    - The first clause expresses the cruelty of the punishment.
    - The second clause states that the punishment is in accordance with the law.
    - The third clause asserts that no horseman will escape punishment for their crimes.


**Key words:**

- **Crudele:** Cruel
- **Pigli vendetta:** Take revenge
- **Legge:** Law
- **Neuno:** No one


**Final version in modern Italian:**

""Crudele è la punizione che si prevede di tutte le colpe; come dice la legge, e nessuno cavallo escapade dalla sua punizione per i suoi pecchi."""
Valerio Massimo (red. V1,1336,fior.,"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.","## Analysis:

* **Structure:** The sentence is in the negative form, using the modal verb ""non"" followed by the present tense of the verb ""fue"".
* **Key words:** ""Ponzio Aufidiano"", ""romano"", ""cavaliere"".


## Rewrite:

Non fu mai un uomo di forza e animo, il romano Ponzio Aufidiano.


## Meaning:

Ponzio Aufidiano was never a man of great force or spirit, a Roman knight."
Lucano volg. (ed. Marinoni),1330/40,prat.,"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.","## **Analysis:**

* **Structure:** The sentence is a conditional statement. It starts with an hypothetical situation (""se questo piace a tutti"") and ends with a consequent action (""non riterrò più i fati"").
* **Key words:**
    * **palese:** people
    * **tempo:** time
    * **Pompeo:** a person's name
    * **cavaliere:** horse
    * **compagno:** companion
    * **fati:** debts


## **Modern Italian:**

Se questo piace a tutti e se il tempo ha bisogno di avere Pompeio come cavalieri e non come compagno, non ripeterò più i miei debiti."
Brunetto Latini,1260-61,fior.,"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.","**Structure:**

- The sentence is an inversion, with the predicate (""pare che sia dicere appostatamente per fare credere"") preceding the subject (""Officio di questa arte"").
- It consists of four clauses, each with a verb: ""pare"", ""sia"", ""dicere"", and ""fare"".


**Key words:**

- **Officio:** duty, office
- **Arte:** art, craft
- **Appostatamente:** deliberately, intentionally
- **Fare credere:** to make believe

**Modern Italian:**

L'ufficio di questa arte pare di voler dire espressamente per far credere, e la sua fine è proprio far credere per dirlo."
Simintendi,1333,tosc.,Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare,"## Analysis:

* **Structure:** The sentence is an inversion, with the predicate (large wind) coming before the subject (clouds). 
* **Key words:** ventipiovoli (wind), caggiono (fall), risolute (dense), nebbie (fog), cade (falls).

## Rewritten:

Grandi venti piovosi cadono di nuvole dense e potresti credere che tutto il cielo cade nel mare.

## Translation:

The raging winds pour down from the thick clouds, and you could believe that the whole sky is falling into the sea."
Agostino da Scarperia (?),1390,tosc.,"Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti.","## Analysis:

**Structure:**

* The sentence is quite complex and uses several archaic features.
* It starts with a negative conditional clause (ma che...non vogliono ancora credere in Cristo).
* The main clause states that those who don't believe in Christ have already seen enough proof with us.
* The final clause expresses their inability to deny the truth and concludes with a rhetorical flourish.

**Key Words:**

* **or chi:** (or anyone)
* **spererebbe:** (would expect)
* **eziandio:** (indeed)
* **stridono colli denti:** (they shout with bared teeth)


## Modern Italian:

Ma che chiunque credesse che non sia vero quello che abbiamo visto insieme, già prima di Cristo è chiaro a chiunque. Altri non possono negare la verità, e per questo gridano come cani."
Bono Giamboni,1292,fior.,I vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.,"## Analysis of the Text:

**Structure:**

- The sentence is in the active voice with complex syntax.
- It consists of three clauses:
    - I vendimenti de' morti: The selling of corpses
    - Le presure de' vivi: The pressure of living people
    - Fare la frode d'uno feroce re: To cause the fury of a fierce king.


**Key Words:**

- Vendimenti: selling
- Morti: corpses
- Presure: pressure
- Vivi: living people
- Frode: fury
- Re: king


## Modern Italian Version:

I vendite di morti e la pressione di chi vive hanno suscitato la ira di un re feroce."
Bart. da San Concordio,1313,tosc.,"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato della impietà verso il mio padre.","## Analysis:

**Structure:**

- The sentence is quite long and complex, featuring a series of relative clauses.
- It employs formal and literary language appropriate for the period.
- The main clause expresses an accusation towards someone who is proud and arrogant (il quale ora per le sue gran reità è feroce e onorevole).
- The subsequent clause explains the accusation (egli d'ogni male afflitto e tormentato della impietà verso il mio padre).


**Key Words:**

- Acciocché: expresses disapproval or accusation.
- Gran reità: pride or arrogance.
- Feroce: fierce or violent.
- Honorevole: admirable or worthy of respect.
- Afflitto: suffering or tormented.
- Impietà: wickedness or cruelty.
- Padre: father.


## Modern Italian:

La sua arroganza, la quale ora si mostra ferozmente onorabile, lo affligge e tormentò di ogni male a causa della sua spietà verso mio padre."
Brunetto Latini,1260-61,fior.,Gli uomini spessamente a stare fermi nella bugia incontra la verità.,"**Structure Analysis:**

- The sentence is in the present tense.
- It is composed of four clauses:
    - Gli uomini spessamente a stare fermi nella bugia.
    - Incontra.
    - La verità.


**Key Words:**

- uomini: men
- spessamente: often
- stare: to stay
- fermi: firm
- bugia: lie
- incontra: meets
- verità: truth


**Modern Italian Version:**

Gli uomini spesso restano immobile nella bugia, incontrano la verità."
