Author,Date,Region,Sentence,translation
Brunetto Latini,1260-61,fior.,"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno","Quella guerra andò a buon fine perché... Ed d'altra parte, Aiaces era un cavalieri franco e prode all'arma, di grande misura, ma non era pieno di grande saggezza."
Bono Giamboni,1292,fior.,"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.",Crude e terribili sono le colpe; la vendetta li obbliga come la legge prescrive. Nessun cavaliero è libero da colpa.
Valerio Massimo (red. V1,1336,fior.,"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.","Non altro potere d'animo fu la origine di Ponzio Aufidiano, cavaliere romano."
Lucano volg. (ed. Marinoni),1330/40,prat.,"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.","Se questo ti piace a tutti e se il tempo ha bisogno di avere Pompeio come cavalieri e non come compagno, non lo riterrò più."
Brunetto Latini,1260-61,fior.,"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.","L'Ufficio di questa arte sembra dire espressamente per far credere, il fine è far credere per dire."
Simintendi,1333,tosc.,Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare,Ecco e là sono vasti venti pievoli contengono delle risolute nebbie; e potresti pensare che tutto il cielo cade nel mare.
Agostino da Scarperia (?),1390,tosc.,"Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti.","Oggi chi ci crede non crede ancora in Cristo. Ciò che già è chiaro a tutti. Non possono negare la cosa, e per questo gridano come cani."
Bono Giamboni,1292,fior.,I vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.,I vendimenti dei morti e la pressione dei vivi crearono la frode di un feroce re.
Bart. da San Concordio,1313,tosc.,"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato della impietà verso il mio padre.","Oggi, chi ora gode di grande dignità, è feroz e onorabile. Egli è perseguitato e tormentato da ogni torto causatagli dalla sua impietà verso mio padre."
Brunetto Latini,1260-61,fior.,Gli uomini spessamente a stare fermi nella bugia incontra la verità.,Gli uomini spesso restano immobile e fermi nella busa incontrano la verità.
Filippo da Santa Croce,1323,tosc.,"Marco Cornelio ch'era de' dieci compagni, studiosamente  si riservò di parlare all'ultimo.","Marco Cornelio, che era di dieci compagni, si riservò di parlare all'ultimo."
Cavalca,1330,tosc.,cose ch'io sapeva che erano fatte in Italia.,"Cosa sapevo che erano fatte in Italia.

**Contemporary Italian:**
Cosa sapevo che facevano in Italia."
Valerio Massimo (red. V1,1336,fior.,Corbio nipote d' Ortensio menò sua vita più bassa e più viziosa,Il corvo nipote di Ortensio passò la sua vita più bassa e più dissolute.
Brunetto Latini,1260-61,fior.,"Altressì uno amante chiamando merzé alla sua donna dice parole e ragioni molte, et ella si difende in suo dire.","Altro uomo, un amante, chiamando merzé alla sua donna, le dice parole e ragioni tante, e lei si difende dicendo."
Arte Am. Ovid. (B),1310/13,fior.,"Io mi ricordo (ch. 347) che essendo adirato scapigliai la mia donna. Ohi, quanti dì questa ira mi tolse!","Mi ricordo che, quando ero arrabbiato, scappai dalla mia donna. Oh, quanti giorni di ira mi hanno tolto!"
Rim. Am. Ovid. (B),1310/13,fior.,colui del quale tu tti solevi dolere ch' era amante della tua donna;,Lui del quale tu soli di lamentarti perché era l'amante della tua donna.
Fatti de' Romani (H+R),1313,fior.,"Ma no sapeano già le nomora di coloro dela congiurazione, ché la donna no nominava già li nomi.","Ma non sanno già quanti siano coloro che partecipano, perché la donna non nominava già i nomi."
Ceffi,1325,fior.,"Creti?  Certo quand'elli si mosse, elli ti dixe: ""O fedele mia donna, fa' che in mio luogo ti sia racomandato il nostro hoste troiano"".","Certo quando lui si mosse, disse: ""Oh fedele mia donna, farò che in mio luogo ti sia stato consigliato il nostro ospite troiano""."
Valerio Massimo (red. V1,1336,fior.,"A Milano fue ripressa la malvagità d' una donna in simile bugìa, nel tempo medesimo di questo signore della republica, in questo modo: ","A Milano, la malvagità di una donna fu soppressa in un momento simile a quello del signore della repubblica. In questo modo."
Filippo da Santa Croce,1323,tosc.,"E lamentavansi dell'iniquità d'Appio, e ripiagnevano la malavventurata beltà della pulcella e la necessità del padre.","E lamentano l'iniquità di Appio, e ripiano la cattiva sorte della pulcella e la necessità del padre."
Brunetto Latini,1294,fior.,"Nella quale battaglia, certo io ebbi sempre ardire di ragionare di pace e sempre mi dolfi che non solamente la pace era schifata,","Qualunque sia la battaglia, certo io ho sempre avuto la coraggio di ragionare di pace. Tuttavia, mi dolfa sempre che non solo la pace fosse fuggita."
Bart. da San Concordio,1313,tosc.,"la seconda suole talora per la grande provedenzia fare timoroso, e la prima per l'ardire rendere altrui matto.","La seconda [persona] è talora per la grande proposizione a far timore, e la prima per l'ardire rendere gli altri matti."
Valerio Massimo (red. V1,1336,fior.,Andò nel campo de' Cartaginesi e tutta la legione trasse seco.,Andò nel campo dei Cartaginesi e tutta la legione trasse dietro di sé.
Zanobi da Strada,1361,tosc.,"Non lo volle cognoscere per nimico. Qesta è quella, la quale diede ardire al profeta Natan a riprendere con grande autoritade quello re, il quale avea peccato.",Non desiderava conoscerlo come un nemico. Questa è quella che gli diede coraggio al profeta Nathan per riprendere con grande autorità quello re che aveva peccato.
Frontino volg.,1381,bologn.,"l'armi et insieme con loro passaseno tra li nimici, perçò se alcuno non avesse ardire de questo et sì avevano questo animo.",Le armi e insieme con loro passarono tra i nemici. Perciò se qualcuno non avesse l'ardore di questo e sì avevano questo animo.
Giovanni da San Miniato,1415,tosc.,Unde ragionevolemente Iob è interpretato dolente;,"Reasonably enough, Iob is interpreted as being in great pain."
Filippo da Santa Croce,1323,tosc.,"quello che sopra tutti gli altri perdonasse a' cittadini, e a cui più sicuramente possiate credere; poi ch'egli fu vostro comandatore.","Quello che sopra tutti gli altri perdona a tutti gli cittadini, e a cui più certamente potreste credere; poi ch'egli fu vostro comandatore."
Zanobi da Strada,1361,tosc.,"in vano si domanda chi questo Libro scrivesse, con ciò sia cosa che fedelmente si debba credere che l'Auttore di quello fusse lo Spirito santo.","Invano si domanda chi ha scritto questo libro, con ciò sia chiaro che l'Autore era lo Spirito Santo."
Agostino da Scarperia (?),1390,tosc.,"se non fosse usatissima, ciò parrebbe certo molto più incredibile: certo più agevolmente si può credere quello, posto che l'umano spirito al divino, ed il mutabile allo incommutabile","Se non fosse davvero tanto desiderata, ciò parerebbe certo molto più incredibile. Certo più facilmente si può credere quello, visto che l'animo umano al divino e il mutabile allo incommutabile."
Brunetto Latini,1260-61,fior.,che prendessero la paga dal camarlingo per loro dispensa et immantenente andassero alla presenzia di messer lo papa per contradiare il passamento de' cavalieri che veniano di Cecilia in Toscana,Che prendessero la paga dal camarlingo per la loro spesa e contemporaneamente restassero alla presenza di Messer il Papa per contradarre il passaggio dei cavalieri che venivano da Cecilia in Toscana.
Bonsignori,1375-77,umbr.-tosc.,"Teseo reguardò Achelao fortemente meravigliandose e disse così: ""O messer Achelao, io vi prego che voi me diciate in che modo voi perdeste","Teseo osservò Achelao con grande meraviglia e disse: ""Oh signor Achelao, prego di dirmi come siete giunti a perdere."""
Giovanni da San Miniato,1415,tosc.,"Io spero in messer Iesù di mandare tosto a voi Timoteo, acciocché io sia d'animo buono",Ho la speranza nel signor Iesù di farvi sapere presto di come mi sento.
Brunetto Latini,1260-61,fior.,sanza fallo lo porco salvatico avanza l' uomo d' udire e 'l lupo cerviere del vedere,"Senso di fallo, il porco selvatico avanza l'uomo di orecchio e il lupo cerviere del vedere.

**Explanation:**

* **sanza fallo:** literally ""without fault,"" meaning ""naturally,"" ""spontaneously.""
* **lo porco salvatico:** the wild boar.
* **avanza:** advances, moves forward.
* **l'uomo d' udire:** the man of hearing, literally ""the man of ear,"" meaning ""the attentive listener.""
* **il lupo cerviere del vedere:** the wolf of sight, literally ""the wolf of eye,"" meaning ""the observant one."""
Bono Giamboni,1292,fior.,uno luogo si mandano lancioni;  la quale cosa i cavalieri l' appellano capo di porco,"Un luogo si mandano le lancioni; la quale cosa i cavalieri l'appellantano capo di porco.

**Contemporary Italian Translation:** 
Ne un luogo si mandano le pietre; di cui cosa i cavalieri lo chiamano capo di maiale."
Arte Am. Ovid. (B),1310/13,fior.,tenda le reti a li cerbi e sa bene in quali valle dimori il furioso porco cinghiare.,Attraversa i cessi verso i cervi e sai bene in quale valle dimora il feroce cinghiatore di maiale.
Rim. Am. Ovid. (B),1310/13,fior.,"Ora spaventerai li disidirosi cervi con varie e diverse paure, o lo porco cenghiare caggia in terra passato collo spiedo.","Ora spaventerai i disingnosi cervi con varie e diverse paure, oppure il maiale cingeggiare il culo passato col pensiero."
Brunetto Latini,1260-61,fior.,"tratta la natura delle cose incorporali le quali non conversano intra lle corpora, sì come Dio e le divine cose.","Si tratta della natura delle cose incorporali, che non comunicano all'interno dei corpi, come Dio e le cose divine."
Bono Giamboni,1292,fior.,"Dio, per la quale si dispensano et iudicano tutte le cose.","Dio, per quale si distribuiscono e giudicano tutte le cose."
Bonsignori,1375-77,umbr.-tosc.,"Unde gli poeti, parlando de lloro, dicono le virtute loro e dicono fabolosamente gli loro difetti, quando alcuna passava l'ordine a lloro deputato","Quando i poeti parlano di sé stessi, proclamano le proprie virtuti e ammettono gofolatamente i loro difetti, quando qualcuno li obbliga a seguirne le istruzioni."
Giovanni dalle Celle (?),1396,tosc.,"e quella cosa, la quale è diricta et onesta, e con virtute, quella sola penso essere lo bene.","E quella cosa, quella che è diretta e onesta, e con virtute, solo quella penso essere il bene."
Fatti de' Romani (H+R),1313,fior.,"Quando li serpenti invellenava di giorno alcuno Romano, allora iera la maraviglia a vedere come li Psille si combattevano al veleno, ché elli imolavano tutto inazzi della loro salive","Quando le serpenti si ciblavano di giorno di qualcun Romano, era una meraviglia vedere come i Psille combattono al veleno, ché li immolavano tutto di Inorganic della loro saliva."
Chiose a Rim. Am. (B),1310-,fior.,"Dice il poeta: oh, che bella cosa è vedere apertamente con gli occhi quando tu glel fai diretro o in culo o in altro","Il poeta dice: oh, quanto bella cosa è vedere apertamente con gli occhi quando tu glel fai direttato o in culo o altrove."
Cavalca,1330,tosc.,"ma pur questo fu colpa tua, però che volesti cercare di vedere con gli occhi corporali la cosa invisibile.","Anche se questo è stato colpa tuo, nondimenticate di voler vedere la cosa invisibile con gli occhi del corpo."
Brunetto Latini,1260-61,fior.,"Vero è, ma non tine rispondo in questo tempo, perciò che ttu se' mio servo, o perciò ch' è tempo feriato, o perciò ch' io non debbo risponderti","È vero, ma non ti risposto in questo momento, perché sei il mio servo, oppure perché è un tempo di ferimento, oppure perché non devo rispondere."
Fatti de' Romani (H+R),1313,fior.,sì convene che lli desse grande avere perché · lasciasse andare via.,"Sì, è vero che li lasciò andare via perché avevano un grande valore."
Filippo da Santa Croce,1323,tosc.,"notabile esemplo a ciascuno che si guardasse di fare e di pensar tradigione, il servo, il quale gli avea accusati, fu francato, e fugli donata grande quantità di moneta","Un esempio significativo è quello di coloro che si guardano di fare e di pensare alla tradizione. Il servo, accusationato da lui, è stato liberato e ha ricevuto una grande quantità di moneta."
Valerio Massimo (red. Va),1336,tosc.,che sarebbe a llui cosa sconcia se ll'avesse commesso sì che lla colpa del servo e 'l gastigamento di Platone avesse meritato egualmente.,Che sarebbe per lui una cosa sconcia se l'avesse fatto così che la colpa del servo e il gastigamento di Platone avessero meritatamente la stessa quantità.
Valerio Massimo (red. V1,1336,fior.,"mostroe massimamente le forze sue, dando lui re a questa cittade ne la quale nacque servo; al quale avvenne lunghissimamente lo imperio tenere","Molto più della sua potenza, lui diede un re a questa città nella quale nacque suo servo; e da quel momento la sua potenza rimase per molto tempo."
Brunetto Latini,1260-61,fior.,l' anima muta la sua forza per la propietade di quello corpo a cui ella si congiunge.,L'anima muta la propria forza per la proprietà del corpo a cui è collegata.
Cavalca,1308,tosc.,"sono due già non in una carne, ma in uno spirito, cioè Iddio, e l' anima. Onde in altro luogo dice S. Paolo: Chi s' accosta a Dio è uno spirito","Sono due già non in una carne, ma in uno spirito, cioè Dio e l'anima. Onde altro luogo dice San Paolo: Chi si avvicina a Dio è uno spirito."
Fatti de' Romani (H+R),1313,fior.,"per tanto che Lucano il disse, il vi racontiamo. Ivi, quando l'anima di Pompeo ebe sentito la chiarità di lasusso, ella sì cognobe prima in  grande","Pertanto, come disse Lucano, lo raccontiamo. In quel luogo, quando l'anima di Pompeo sentiva la chiare del passato, essa si cognose prima in grande."
Bono Giamboni,1292,fior.,"Sicchè dolore è a udire, quando l' usare l' arme e la fatica ricusano, con grandissimo disonore come pecore essere","Sicché dolore è sentirsi quando si usa l'arma e la fatica ricusano, con un grande disonore come pecore essere."
Bono Giamboni,1292,fior.,et nonn ebbe in fastido Cristo cotali parole d'udire.,E non ne ebbe mai un fascito Cristo tante parole da dire.
Prima catilinaria volg. (red. A),1294,fior.,"la moltitudine de' quali tu ài potuto vedere e riguardare lo studio e poco dinanzi udire le voci, e lle cui mani e lance apena posso ritenere.","La moltitudine di coloro che tu hai potuto vedere e studiare è poco, e poco d'ora a ora udire le voci. Ciò che posso ritenere sono le mani e le lance."
T. Alderotti (?),1295,fior.,"udire di belle novelle et odorare di belli fiori, come et quando et quanto si conviene","Udire di bell'novella e odorare di belli fiori, come e quando e quanto è conveniente."
Filippo da Santa Croce,1323,tosc.,"Il re entrò in uno giardino dietro al suo albergo, quasi come s'egli andasse pensando alla risposta.","Il re entrò nel giardino dietro al suo hotel, quasi come se fosse concentrato sulla risposta."
Ceffi,1325,fior.,"Ma io disioso colà dove io non posso col corpo andare, con la mente vi volo","Ma io desidero essere là dove non posso andare di persona, con la mente vi exprimerò."
Guido da Pisa,1337,tosc.,Ed ecco di subito tutta questa turba degli uccelli si levò a volo dietro all'aquila,Ecco di subito tutta la turba di questi uccelli si alzò in volo dietro all'aquila.
Grazia di Meo,1343,tosc.,Vede anche le ragioni del volo degli uccielli e di tutte le cose sa rendere vero giudicio.,Anche lui osserva le ragioni del volo degli uccelli e di tutto ciò che sa rendere vera la sua decisione.
Zanobi da Strada,1361,tosc.,Or ecco quanto per la sua superbia questo uccello volava in alto.,"Ecco quanto per la tua superbia, questo uccello volava in alto.

**Explanation:**

* The sentence structure and word order are preserved from the original Tuscan text.
* The archaic word ""or"" is replaced with the modern ""ecco"" which means ""here"" or ""indeed.""
* The archaic word ""superbia"" is replaced with the modern ""tua superbia"" which means ""your pride.""
* The archaic word ""uccello"" is replaced with the modern ""quest'uccello"" which means ""this bird."""
Bonsignori,1375-77,umbr.-tosc.,"Gorgone, e ho questa proprietà che io volo per l'aire sì come uno ucello"".",Gorgone! Ho questa proprietà: mi vo come un uccello attraverso l'aria.
Bono Giamboni,1292,fior.,"quando nella matricola si scrivono giurano per Dio, e per Cristo, e per lo Spirito Santo","Quando nella matricola si scrivono giuramenti a Dio, a Cristo e allo Spirito Santo."
Bono Giamboni,1292,fior.,"per necessitade i' ridico ke, secondo il comandamento tuo, padre santo Agostino, le battaglie già state nel mondo [..]","Per necessità, il ridicolo [il nome del ricco] lo rende, secondo il comandamento tuo, padre santo Agostino, le battaglie già state nel mondo."
Brunetto Latini,1294,fior.,"molto di maggiore memoria saranno faccendole al re, perciò che nella nostra cittade sempre fue santo e glorioso il nome reale, e sse furono compagni fue il loro nome santissimo;","Molto di maggiore memoria saranno fatte al re, poiché nella nostra città sempre è stato sacro e glorioso il suo nome reale, e quando erano compagni erano nomi santissimi loro."
Cavalca,1308,tosc.,"Non voglio, che insuperbischi per lo santo proposito, e voto della verginità vedendo le sue laudi","Non voglio che tu sia incapace di comprendere la santa causa, e vi prometto la verginità vedendo le sue lode."
Fatti de' Romani (H+R),1313,fior.,"Santo Agostino fece u· libro ch'avea nome ""Agostino Della Città di Dio"".","Santo Agostino compose un libro che aveva il nome ""Agostino della Città di Dio""."
Cavalca,1330,tosc.,Gregorio. Non udii mai che egli avesse maestro; ma il dono dello Spirito Santo non si può stringere a legge.,Gregorio. Mai hai udito che nessuno abbia mai avuto maestro; ma il dono dello Spirito Santo non può essere limitato da alcuna legge.
Brunetto Latini,1260-61,fior.,Verbigrazia: Mercatanti fiorentini passavano in nave per andare oltramare.,"Verbigrazia: I mercanti fiorentini passavano in nave per andare oltremare.

**Explanation:**

* ""Verbigrazia"" is an archaic term meaning ""Praise"" or ""Exultation"".
* ""Mercatanti fiorentini"" refers to merchants from Florence.
* ""Passavano in nave"" means ""were passing in ships"".
* ""Per andare oltramare"" means ""to go beyond the sea"".

The sentence expresses the joy or celebration of the Florentine merchants who were setting out on a journey beyond the sea."
