Author,Date,Region,Sentence,translation
Brunetto Latini,1260-61,fior.,"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno","A nice challenge!

Here's the translation from Archaic Italian to Modern Italian:

Quella guerra è stata ben fatta per l'opera ecc. Dall'altra parte, Aiace era un cavaliere franco e prode al combattimento, di grande valore, ma non era pieno di grande intelligenza.

Breaking down the translation:

* ""quella guerra"" -> ""quella guerra è stata"" (to indicate that it's a completed action)
* ""ben fatta"" -> ""è stata ben fatta"" (to match the verb tense and meaning)
* ""l'opera"" -> no change, as ""opera"" is still used in Modern Italian to mean ""work"" or "" deed""
* ""perché ecc."" -> no direct translation needed, as this phrase is more like a parenthetical remark
* ""Dall'altra parte"" -> no change, as the phrase remains equivalent to ""On the other hand""
* ""Aiace"" -> ""Aiace"" (no change, as it's a proper noun)
* ""era uno cavaliere franco e prode"" -> ""era un cavaliere franco e prode al combattimento"" (to add the preposition ""al"" and specify what kind of ""prodezza"" is being referred to)
* ""di gran guisa"" -> ""di grande valore"" (to use a more modern expression for ""greatness"")
* ""ma non era pieno di grande senno"" -> ""ma non era pieno di grande intelligenza"" (to translate the concept of ""senso"" as ""intelligenza"", which means ""intelligence"")

Please note that Archaic Italian is a historical dialect, and translations may vary depending on the context and intended meaning."
Bono Giamboni,1292,fior.,"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.","A beautiful phrase in Archaic Italian!

Here's the translation into Modern Italian:

""Cruelto e prenderà vendetta contro ogni peccato, come stabilisce la legge, e non perdonerà a nessun cavaliere che pecca.""

Breakdown:

* ""Crudele"" becomes ""Cruelto"" (both mean ""cruel"", but the modern form is more commonly used)
* ""e di tutte le colpe"" remains unchanged
* ""piglio vendetta"" becomes ""prenderà vendetta"" (modern Italian uses ""prendere"" instead of ""pigliare"" for the verb ""to take"")
* ""come dice la legge"" remains unchanged
* ""ed a neuno cavaliere"" becomes ""e non perdonerà a nessun cavaliere"" (Modern Italian uses ""non"" instead of ""ed"", and changes the word order slightly)
* ""perdoni che pecchi"" becomes ""che pecca"" (Modern Italian drops the verb ""perdonare"" since it's implied in the sentence)

So, the overall meaning remains similar: a cruel person takes revenge against every wrongdoer, as the law dictates, and shows no mercy to any knight who sins."
Valerio Massimo (red. V1,1336,fior.,"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.","The original sentence in Archaic Italian is:

""Non d'altra forza d'animo fue ornato Ponzio Aufidiano, romano cavaliere.""

Translated to Modern Italian, it becomes:

""Non ebbe altra virtù di animo che essere decorato Ponzio Aufidiano, cavaliere romano.""

Translation: ""He had no other virtue of spirit than being decorated Ponzio Aufidiano, a Roman knight."""
Lucano volg. (ed. Marinoni),1330/40,prat.,"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.","Here is the translation of the sentence from Archaic Italian (15th-17th centuries) to Modern Italian:

Se questo piace a tutti e se il tempo ha bisogno di avere Pompeio come cavaliere e non come compagno, non riterò più i fatti.

In case you'd like me to break it down further:

* ""Se questo"" is unchanged, meaning ""If this"".
* ""piace a tutti"" is also unchanged, meaning ""pleases everyone"".
* ""'l tempo"" becomes ""il tempo"", meaning ""time"".
* ""hae bisogno d'avere"" becomes ""ha bisogno di avere"", meaning ""needs to have"".
* ""Pompeio per cavaliere e non per compagno"" is a bit more tricky, as the original sentence uses the obsolete verb ""hæ"" (the equivalent of modern Italian ""è"") and the archaic word ""compagno"" (which means ""companion""). In Modern Italian, this becomes ""come cavaliere e non come compagno"", maintaining the same meaning.
* ""non riterrò più i fati"" becomes ""non riterò più i fatti"", where ""riterrò"" is the modern equivalent of the archaic verb ""riterò"" (meaning ""to consider""), and ""i fati"" becomes ""i fatti"", meaning ""the facts"".

So, in essence, the sentence is saying: ""If this pleases everyone and time requires Pompeius to be a knight rather than a companion, I won't consider these facts anymore."""
Brunetto Latini,1260-61,fior.,"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.","A beautiful example of archaic Italian!

Here's the translation into Modern Italian:

""Mi sembra che questo mestiere consista nel fingere per convincere, e il fine è convincere mediante la parola.""

Or, in a more literal translation:

""It seems to me that this profession consists in pretending to convince, and the goal is to convince through speaking.""

Let me explain the changes I made:

* ""Officio"" becomes ""mestiere"", which means ""profession"" or ""trade"".
* ""Di questa arte"" is redundant and can be omitted.
* ""Pare che sia dicere appostatamente"" becomes ""Mi sembra che..."". The verb ""pare"" (to seem) is updated to the more common expression ""mi sembra"" (it seems to me).
* ""Per fare credere"" becomes ""nel fingere per convincere"", as ""fingere"" means ""to pretend"" or ""to feign"", which fits the context better.
* ""Fine è far credere"" is simplified to ""e il fine è convincere mediante la parola"". The phrase ""fine è"" (the goal is) is updated to ""e il fine è"" (and the goal is), and ""per lo dire"" becomes ""mediante la parola"", which means ""through speaking""."
Simintendi,1333,tosc.,Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare,"A beautiful and poetic sentence in Archaic Italian!

Here's the translation into Modern Italian:

""Ecco e grandi nuvole di pioggia si accumulano sulle nebbie decise; e potresti credere che tutto il cielo scadesse nel mare""

Breakdown:

* ""Ecco"" remains unchanged, meaning ""Behold"" or ""Lo and behold"".
* ""larghi"" becomes ""grandi"", meaning ""large"" or ""great"".
* ""ventipiovoli"" is a bit tricky. In Archaic Italian, ""pivo"" meant ""rain"", so ""ventipiovoli"" likely referred to rain clouds. In Modern Italian, we'd use ""di pioggia"" instead, which literally means ""of rain"". So, the phrase becomes ""nuvole di pioggia"".
* ""caggiono"" is an archaic verb form that's equivalent to modern ""si accumulano"", meaning ""are accumulating"" or ""are piling up"".
* The phrase ""delle risolute nebbie"" remains relatively unchanged, with ""risolute"" becoming ""decise"", meaning ""firmly decided"" or ""resolute"". In Modern Italian, we'd use the definite article ""le"" instead of ""delle"", so it becomes ""sulle le nebbie decise"".
* The final part of the sentence translates similarly: ""potresti credere che tutto il cielo cadesse nel mare"" becomes ""potresti credere che tutto il cielo scadesse nel mare"".

Overall, the translation aims to preserve the poetic flair and imagery of the original Archaic Italian text."
Agostino da Scarperia (?),1390,tosc.,"Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti.","The archaic Italian sentence you provided is:

Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti.

Here's the translation into modern Italian:

Tuttavia, coloro che non vogliono ancora credere in Cristo già vedono con noi e, poiché non possono negare, sbraitano tra i denti.

Breakdown of the translation:

* Però che -> Tuttavia (meaning ""however"" or ""nevertheless"")
* or chi spererebbe -> coloro che non vogliono ancora credere (meaning ""those who do not want to believe yet"")
* quello che eziandio questi -> in Cristo (meaning ""in Christ"")
* già veggiono con noi -> già vedono con noi (meaning ""already see with us"")
* e perché -> poiché (meaning ""since"" or ""because"")
* nol possono negare -> non possono negare (meaning ""cannot deny"")
* stridono colli denti -> sbraitano tra i denti (meaning ""shout between their teeth"")

Note that the archaic Italian sentence has a poetic and somewhat dramatic tone, which is reflected in the modern Italian translation."
Bono Giamboni,1292,fior.,I vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.,"A lovely archaic Italian sentence!

Here's my translation of it into Modern Italian:

""Il commercio dei morti e le pressioni dei vivi fecero la frode di un re crudele.""

Breakdown:

* ""I vendimenti"" -> ""Il commercio"" (commercial transactions)
* ""de' morti"" -> ""dei morti"" (of the dead, but I used the definite article ""il"" to make it more natural in Modern Italian)
* ""et"" -> ""e"" (and)
* ""le presure"" -> ""le pressioni"" (pressures)
* ""de' vivi"" -> ""dei vivi"" (of the living)
* ""fece"" -> ""fecero"" (third person plural imperfect tense of ""fare"", which is the correct translation here)
* ""la frode"" -> ""la frode"" (the fraud)
* ""d'uno feroce re"" -> ""di un re crudele"" (of a cruel king)

So, the sentence now means: ""The commercial transactions of the dead and the pressures from the living led to the fraud of a cruel king."""
Bart. da San Concordio,1313,tosc.,"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato della impietà verso il mio padre.","The archaic Italian sentence is:

""Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato della impietà verso il mio padre.""

Here's the translation into modern Italian:

""Affinché quell'uomo, che adesso per i suoi grandi errori è fiero e degno di rispetto, soffre e si lamenta di tutti i mali causati dalla sua ingiustizia contro mio padre.""

Note: ""Acciocché"" is an archaic way of saying ""affinché"", which means ""so that"" or ""in order that"". ""Gran reità"" can be translated to ""grandi errori"", meaning ""great errors"" or ""serious mistakes""."
Brunetto Latini,1260-61,fior.,Gli uomini spessamente a stare fermi nella bugia incontra la verità.,"What a lovely sentence!

The original sentence is in Archaic Italian, which was spoken from around the 12th to the 16th century. Here's my translation into Modern Italian:

Gli uomini spesso trovano la verità quando sono pronti a fermarsi nella sincerità.

Translation: ""Men often find the truth when they are willing to stand still in sincerity.""

In the original sentence, I noticed that:

* ""spessamente"" is an archaic way of saying ""spesso"", which means ""often"".
* ""bugia"" is an old-fashioned word for ""menzogna"" or ""falsehood"". In Modern Italian, it's more common to use ""incontra"" (meaning ""meets"") instead of ""incontra la"" (which is a bit formal).
* ""stare fermi"" has two possible meanings: ""to be still"" or ""to stand firm"". I chose the latter, which fits better with the idea of being sincere and truthful.

Please let me know if you have any further questions!"
