Author,Date,Region,Sentence,translation
Brunetto Latini,1260-61,fior.,"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno","Quella guerra fu bene condotta, l'operazione perché così fu necessario. E dall'altra parte, Aiace era un cavaliere francese coraggioso nelle armi, molto forte, ma non pienamente sensato

In this text, the original structure is a simple sentence followed by another one connected with ""ma"" (but). The key words are: guerra (war), opera (operation), bene fatta (well-done), perché (because), et (and), dall'altra parte (on the other hand), Aiaces (Aiace, an archaic spelling of Achilles), cavaliere (knight), franco (French), prode all'arme (brave in arms), gran guisa (great shape or form), ma (but) and non pieno di grande senno (not full of great wisdom). The modern translation preserves the original meaning, clarity, and syntactic coherence while using contemporary Italian vocabulary."
Bono Giamboni,1292,fior.,"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.","Crudelissimo, e di tutte le colpe si prende vendetta, come dice la legge, ed a nessun cavaliere perdonare chi pecca.

Analysis: The text is written in Tuscan dialect from the 13th century. It uses archaic vocabulary and syntax. Here's the breakdown:
- crudele, e di tutte le colpe pigli vendetta: Cruel, and of all the sins takes revenge.
- come dice la legge: as the law says.
- ed a neuno cavaliere perdoni che pecchi: and to no knight pardon the one who sins.

Final version in modern Italian:
Crudele e di tutte le colpe si prende vendetta, come dice la legge, ed a nessun cavalier perdonare chi pecca.
- Cruel and of all the sins it takes revenge, as the law says, and to no knight grant pardon to the one who sins."
Valerio Massimo (red. V1,1336,fior.,"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.","Ponzio Aufidiano non fu abbigliato con nessuna altra forza d'animo, un romano cavaliere.

Analysis:
The sentence is in the past tense (non fu - was not) and describes a person named Ponzio Aufidiano who was a Roman knight (romano cavaliere). The key words here are ""Ponzio Aufidiano"", ""romano cavaliere"", and ""fu ornato"" (was adorned/dressed), which all contribute to understanding the meaning of the sentence.

In modern Italian, we would say ""non fu abbigliato con nessuna altra forza d'animo"" as ""non fu vestito con nessuna altra forza d'animo"", but since the original text uses ""ornato"" (adorned), which can also mean dressed, I will keep it in the translation.

Final version:
Ponzio Aufidiano non fu abbigliato con nessuna altra forza d'animo, un romano cavaliere.

Translation: Ponzio Aufidiano was not dressed with any other force of spirit, a Roman knight."
Lucano volg. (ed. Marinoni),1330/40,prat.,"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.","Analisi della struttura: Il testo è scritto in volgare italiano del Trecento originario dalla Toscana. La frase è una dichiarazione di un'azione futura condizionale (non riterrò più) che dipende da due condizioni congiunte (se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno). I termini chiave sono ""Pompeio,"" che rappresenta una persona, e ""fati"" che sembra essere sinonimo di decisioni.

 Traduzione moderna: Se tutti vogliono questo ed il tempo ha bisogno di Pompeio come cavaliere e non come compagno, non farò più le mie decisioni (non riterrò più i miei fatti)."
Brunetto Latini,1260-61,fior.,"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.","Il compito di questa arti sembra essere quello di dichiarare in modo esatto per ingannare, il fine è ingannare con le parole.

Translation in modern Italian:
Il compito di questa arte sembra essere quello di dire qualcosa in modo preciso per ingannare, il fine è ingannare con le parole.

The structure of the original text is a declarative sentence, with an infinitive verb ""essere"" (to be) followed by the accusative form of the noun ""officio"" (job/task), which is describing a noun, ""questa arte"" (this art). The subject and object are both in the nominative case. The sentence continues with the conjunction ""che"" (that), then a subordinate clause starting with the infinitive verb ""dicere"" (to say) that is describing the action of the noun ""officio"". The sentence ends with another subordinate clause, this time starting with the infinitive verb ""essere"" (to be) again, but in this case it describes the goal or purpose of the action described in the previous clause.

Key words are: officio (task/job), questa arte (this art), dicere (to say), fine (goal/purpose), fare credere (to make believe), per (for), lo dire (the saying).

The modern Italian version follows the same structure and preserves the original meaning, clarity, and syntactic coherence while using modern Italian vocabulary."
Simintendi,1333,tosc.,Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare,"Questo è come vedere ventiquattrenove gruppetti di grandi nuvole emergere dalle nebbie decisamente dense; ed é possibile che tu creda che tutto il cielo stia precipitando nell'acqua.

In modern Italian:
Questo è come vedere ventiquattrenove gruppetti di grandi nuvole emergere dalle nebbie decisamente dense; ed é possibile che tu creda che tutto il cielo si stia precipitando nell'acqua.

Explanation:
1. The original text is in the Tuscan dialect from the 13th century and uses a mixture of Latin and Italian words, which have evolved over time. The sentence is written in the indicative mood (ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare) with no subject, verb conjugation, or auxiliary verbs.
2. The key words are: ecco (this), e (and), larghi ventipiovoli (large groups of), caggiono (emerge/come out), delle risolute nebbie (from the dense fog), potresti credere (you might believe), che (that), tutto il cielo (the whole sky), cadesse (falls), nel (in) and mare (sea).
3. The modern Italian version uses the same structure as the original, maintaining its clarity and syntactic coherence while replacing archaic words with their modern equivalents. For example, larghi ventipiovoli is replaced with ventiquattrenove gruppetti di grandi nuvole (large groups of 215 rainclouds) to provide a more accurate description in modern Italian. Additionally, potresti credere che is replaced with è possibile che tu creda (it is possible that you believe), and cadesse nel mare is replaced with si stia precipitando nell'acqua (is falling into the water). The rest of the sentence remains unchanged to preserve the original meaning."
Agostino da Scarperia (?),1390,tosc.,"Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti.","Ma chi potrebbe aspettarsi quel che anche coloro che ancora non credono in Cristo vedono con noi? E perché non possono neghiarlo, gracchiaiano con i denti.

Modern Italian interpretation:
Ma chi potrebbe attenderselo che anche quelli che ancora non credevano in Cristo lo vedono con noi? E perché non possono negareselo, strisciano i denti."
Bono Giamboni,1292,fior.,I vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.,"La raccolta dei morti e le pressioni dei vivi portarono alla frodatura di un crudele re.

Explanation:
The archaic text ""I vendimenti de' morti et le presure de' vivi fece la frod d'uno feroce re"" was written in the Tuscan dialect during the 13th century.

In modern Italian, it can be translated as ""La raccolta dei morti e le pressioni dei vivi portarono alla frodatura di un crudele re."" Here is the breakdown:

- ""I vendimenti de' morti"" translates to ""La raccolta dei morti"", meaning ""the collection of the dead.""
- ""et"" means ""e"" in modern Italian, connecting two parts of a sentence.
- ""le presure de' vivi"" translates to ""le pressioni dei vivi,"" meaning ""the pressures of the living.""
- ""fece"" means ""portarono"", which is more appropriate for the context of this sentence in present tense, as it denotes an action caused by another action.
- ""la frod d'uno feroce re"" translates to ""la frodatura di un crudele re,"" meaning ""the deceit of a cruel king.""

In modern Italian, ""frodatura"" is more commonly used than ""froda"", and ""crudele"" is a more appropriate adjective for ""king"" (re) in this context."
Bart. da San Concordio,1313,tosc.,"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato della impietà verso il mio padre.","Affinché colui che ora a causa delle sue grandi reazioni è fiero e onorevole, egli soffre e viene tormentato per l'impietà verso mio padre,

Meaning: To make the person who is now due to his great actions fierce and honorable suffer and be tormented by their cruelty towards my father.

In modern Italian:

 Affinché quello che oggi a causa delle sue grandi reazioni è fiero e onorevole, egli subisca e viene torturato per la sua impietà verso mio padre,

Translation in English: To make the person who is now due to his great actions fierce and honorable suffer and be tormented by their cruelty towards my father."
Brunetto Latini,1260-61,fior.,Gli uomini spessamente a stare fermi nella bugia incontra la verità.,"Gli uomini spesso restano fermi nella menzogna incontrano la verità (Men frequently remain still in the lie encounter truth)

Analysis: The structure of this sentence is simple, with a subject (""Gli uomini"" or ""the men""), a verb in the present tense (""spessamente a stare fermi"" or ""frequently remain still""), an adverb (""incontra"" or ""encounter"") and an object (""la verità"" or ""truth""). The key words are ""uomini"", ""stare fermi"", ""incontra"", and ""verità"".

Final Version: Gli uomini spesso restano fermi nella menzogna, incontrando la verità. (Men frequently remain still in the lie, encountering truth)"
