Author,Date,Region,Sentence,translation
Brunetto Latini,1260-61,fior.,"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno","Quella guerra fu bene condotta e l'operazione fu compiuta perché (...) E dall'altro lato, Achille era un cavaliere francese valoroso ed abilissimo nell'arme, di grandi dimensioni, ma non aveva una grande astuzia.

Meaning: That war was well conducted and the operation was completed because (...) And on the other hand, Achilles was a French knight, brave and skillful in arms, of great size, but not very wise."
Bono Giamboni,1292,fior.,"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.","Crudele e si vendica di tutte le colpe, come la legge dice, e non perdonerà alcun cavalier che pecca. (This translation preserves the original meaning and uses modern Italian syntax.)"
Valerio Massimo (red. V1,1336,fior.,"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.",Ponzio Aufidiano non era dotato di altro vigore d'animo; egli era un romano cavaliere. (Ponzio Aufidiano non aveva altro vigore d'animo; era un romano cavalier.) The second version preserves the original sentence structure more closely.
Lucano volg. (ed. Marinoni),1330/40,prat.,"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.","Se tutti lo apprezzano e se il tempo richiede che Pompeio diventi cavaliere e non un compagno, non lo considererò più loro destino.

[Note: 'i fati' translates as 'their fate/destiny']"
Brunetto Latini,1260-61,fior.,"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.","Sembra che l'officio di questa arte consistesse nel dire appositamente per far credere, il proposito era quello di far credere con le parole. (In modern Italian)"
Simintendi,1333,tosc.,Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare,"Ecco e larghe ventitré volti emergono dalle nebbie determinate; e si potrebbe credere che l'intero cielo stesse per collassare nell'acqua. (In modern Italian, ""ecco"" is usually written as ""ecce"", but I kept the spelling as it appears in the original text.)"
Agostino da Scarperia (?),1390,tosc.,"Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti.","Ma chi ora sperava ciò che anche quelli che ancora non credevano in Cristo vedono con noi, e perché ciò non potevano neghiarlo, urlano con gli denti. (Modern Italian)"
Bono Giamboni,1292,fior.,I vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.,"I vendette dei morti e le pressioni dei vivi fecero cadere il regno in mano di un crudele re. (Modern Italian)

The original sentence talks about a cruel king taking power due to the vengeance of the dead and pressure from the living, so the translation tries to preserve the same meaning in modern Italian."
Bart. da San Concordio,1313,tosc.,"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato della impietà verso il mio padre.","Affinché quel ragazzo, che ora a causa delle sue grandi ingiustizie è fiero e onorato, soffre di ogni male a causa dell'impiegata crudeltà verso mio padre. (Modern Italian)"
Brunetto Latini,1260-61,fior.,Gli uomini spessamente a stare fermi nella bugia incontra la verità.,"Gli uomini spesso finiscono per incontrare la verità rimanendo fermi nella bugia. (or, more colloquially: Gli uomini spesso si trovano a dover affrontare la verità quando restano fermi nella bugia)"
Filippo da Santa Croce,1323,tosc.,"Marco Cornelio ch'era de' dieci compagni, studiosamente  si riservò di parlare all'ultimo.","Marco Cornelio, che era uno dei dieci compagni, studiosamente si rese in appello alla fine. (Note: The verb ""si riservò"" is translated as ""si rese in appello"" to preserve the original meaning of ""to make oneself available/reserved for something"".)"
Cavalca,1330,tosc.,cose ch'io sapeva che erano fatte in Italia.,"Cose che io conoscevo essere fatte in Italia (literally, ""things that I knew were made in Italy""). In this case, it would be more idiomatic to say: ""Cose che io sapevo fossero fatte in Italia"" or simply ""Cose fatte in Italia di cui sapevo"". The first translation is grammatically correct but the second one sounds more natural."
Valerio Massimo (red. V1,1336,fior.,Corbio nipote d' Ortensio menò sua vita più bassa e più viziosa,"Corbio, nipote di Ortensio, condusse una vita più bassa e più viziosa."
Brunetto Latini,1260-61,fior.,"Altressì uno amante chiamando merzé alla sua donna dice parole e ragioni molte, et ella si difende in suo dire.","Un amante che la chiamava misericordia sulla propria donna diceva molte parole e ragioni, ma lei si difendeva nel suo discorso.

(An lover who called upon mercy for his woman spoke many words and reasons, but she defended herself in her speech.)"
Arte Am. Ovid. (B),1310/13,fior.,"Io mi ricordo (ch. 347) che essendo adirato scapigliai la mia donna. Ohi, quanti dì questa ira mi tolse!","Io ricordo (capitolo 347) che, avendo stato arrabbiato, ho strappato la mia donna fuori di sé. Oh, quanti giorni questa rabbia mi ha tolto!
In modern Italian, it would be: Io ricordo (capitolo 347) che, essendomi arrabbiato, ho strappato la mia moglie fuori di sé. Oh, quanti giorni questa rabbia mi hanno tolto!"
Rim. Am. Ovid. (B),1310/13,fior.,colui del quale tu tti solevi dolere ch' era amante della tua donna;,"Colui di cui tu ti stavi solito a lamentare, che amava la tua donna. (In this translation, I kept the original construction of the sentence for a more archaic feel, but ""si stavo"" is commonly used in modern Italian instead of ""ti stavi solito"".)"
Fatti de' Romani (H+R),1313,fior.,"Ma no sapeano già le nomora di coloro dela congiurazione, ché la donna no nominava già li nomi.","Ma non sapevano ancora i nomi delle persone della congiura, perché la donna non nominava ancora i nomi. (lit. translation: But they didn't know the names of the people of the conspiracy yet, as the woman wasn't mentioning the names yet)"
Ceffi,1325,fior.,"Creti?  Certo quand'elli si mosse, elli ti dixe: ""O fedele mia donna, fa' che in mio luogo ti sia racomandato il nostro hoste troiano"".","certo, quando egli si muoveva, gli diceva: ""Oh fedelissima moglie, fai che in mio posto ti sia affidato il nostro ospite troiano"".

Translation (informal):
certo, quando egli muoveva, gli diceva: ""Oh fedele mia donna, fai sì che nell'altro mi sia affidata la tua ospite troiana""

In this sentence, the use of the verb 'muoveva' (moved) instead of the more modern 'si muoveva', and the archaic term 'ospite' instead of the more common 'ospite' or 'guest', has been preserved. The original meaning remains the same: ""certainly, when he moved, he told you: 'Oh faithful my woman, make sure that in my place you are entrusted with our Trojan guest'"""
Valerio Massimo (red. V1,1336,fior.,"A Milano fue ripressa la malvagità d' una donna in simile bugìa, nel tempo medesimo di questo signore della republica, in questo modo: ","In Milano fu repressa la malvagità di una donna con una tale artifizio, nel medesimo periodo di questa signora della repubblica, in questo modo:

Translation: A woman's wickedness was suppressed in Milan with such a ruse, at the same time as this lady of the republic, in this manner:"
Filippo da Santa Croce,1323,tosc.,"E lamentavansi dell'iniquità d'Appio, e ripiagnevano la malavventurata beltà della pulcella e la necessità del padre.","E piangevano l'iniquità di Appio, e lamentavano la malfortuna della bella ragazza e la necessità del padre. (literally ""They were mourning the injustice of Appius, and they were lamenting the misfortune of the beautiful girl and the necessity of the father."")

In this modern translation, the sentence preserves its original meaning while using contemporary grammatical structures."
