Author,Date,Region,Sentence,translation
Brunetto Latini,1260-61,fior.,"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno","""Quell'altra guerra ben eseguita fu un'opera perché ecco il resto. Dall'altro lato, Aiaces era un cavaliere francese e coraggioso nelle armi, molto abile ma non privo di grande intelligenza."""
Bono Giamboni,1292,fior.,"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.","Bruto, e di ogni colpa prese vendetta, come dice la legge, e nessun cavaliere può perdere pietà a chi commette un errore."
Valerio Massimo (red. V1,1336,fior.,"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.","Non essendo di altre forze d'animo, fu arricchito da Ponzio Aufidiano, un romano cavaliero."
Lucano volg. (ed. Marinoni),1330/40,prat.,"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.","Se questo piace a tutti e se il tempo ha bisogno di avere Pompeo come cavaliere e non come compagno, non ritornerò più alle circostanze passate.

In modern Italian, the sentence structure is slightly different but conveys the same meaning."
Brunetto Latini,1260-61,fior.,"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.","Il compito di questa arte sembra consistere nel dichiarare frettolosamente per far credere qualcosa, il fine essendo proprio far crede attraverso l'affermazione stessa."
Simintendi,1333,tosc.,Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare,"Ecco, vasti e violenti venti crepavano in putridi caggioni delle nuvole decise. E potresti pensare che tutto lo spazio azzurro cadesse nel mare."
Agostino da Scarperia (?),1390,tosc.,"Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti.","Tuttavia, che sia o chiunque sperasse di ciò che, gradualmente, queste persone non vogliono ancora credere nel Cristo, già lo vedono con noi. E per il motivo che non possono negarlo, stridono con le loro denti.

Translation: 

However, whether it's or anyone who would hope for what gradually these individuals, who don't yet want to believe in Christ, are already seeing through us. And because they can't deny it, they scream with their teeth."
Bono Giamboni,1292,fior.,I vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.,"I numeri di vendita dei morti e l'的压力生活的逼迫催生了一个凶猛君主的欺诈行为。

(kept in modern Italian style)"
Bart. da San Concordio,1313,tosc.,"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato della impietà verso il mio padre.","Perché quello che ora, grazie alle sue grandezze morali, è feroce e onorabile, egli soffera e viene tormentato da ogni male derivante dall'impietenza verso mio padre."
Brunetto Latini,1260-61,fior.,Gli uomini spessamente a stare fermi nella bugia incontra la verità.,"I uomini, frequentemente, ad agir in modo immobile nella menzogna, incontrano la verità."
Filippo da Santa Croce,1323,tosc.,"Marco Cornelio ch'era de' dieci compagni, studiosamente  si riservò di parlare all'ultimo.","Marco Cornelio, uno dei tredici compagni, consapevolmente decise di parlare solo alla fine.

(Translation from archaic Italian to modern Italian)"
Cavalca,1330,tosc.,cose ch'io sapeva che erano fatte in Italia.,"Cose che io sapevo che erano fatte in Italia.

Translation: Things I knew were made in Italy. (Modern Italian)"
Valerio Massimo (red. V1,1336,fior.,Corbio nipote d' Ortensio menò sua vita più bassa e più viziosa,"""CORBIO, figlio di ORTENSIO, guidò la sua vita con un livello più basso e visionario."""
Brunetto Latini,1260-61,fior.,"Altressì uno amante chiamando merzé alla sua donna dice parole e ragioni molte, et ella si difende in suo dire.","Certo, ecco la traduzione dal italiano antico al italiano moderno:

""Assolutamente, se un amante chiama merzè a sua donna, dice molte parole e motivi, ed essa si difende con le sue argomentazioni.""

Ricorda che l'archaico italiano può essere più complesso da tradurre rispetto alle forme moderne."
Arte Am. Ovid. (B),1310/13,fior.,"Io mi ricordo (ch. 347) che essendo adirato scapigliai la mia donna. Ohi, quanti dì questa ira mi tolse!","Mi ricordo (chi. 347) di essere furioso e saltai da parte mia per respingere la mia moglie. Oh, quanto tempo quella rabbia mi portò via!"
Rim. Am. Ovid. (B),1310/13,fior.,colui del quale tu tti solevi dolere ch' era amante della tua donna;,"""Quello di cui ti ricidi frequentemente dolore che era innamorato della tua donna."" 

In modern Italian, the sentence would convey a similar meaning but with a smoother and more contemporary phrasing."
Fatti de' Romani (H+R),1313,fior.,"Ma no sapeano già le nomora di coloro dela congiurazione, ché la donna no nominava già li nomi.","Ma non lo sapevano già, visto che le nomine degli individui coinvolti nella congiura erano ancora note solo alle donne, poiché queste ultime non avevano l'autorità di denominare i nomi stessi."
Ceffi,1325,fior.,"Creti?  Certo quand'elli si mosse, elli ti dixe: ""O fedele mia donna, fa' che in mio luogo ti sia racomandato il nostro hoste troiano"".","Creoti? Certamente quando loro si mossero, loro ti dissero: ""Oh fedele mia donna, fai che in mio luogo ti sia ricordato il nostro ospitale troiano."" 

Translation: 
 Creoti? Of course when they moved, they told me: ""Oh faithful my dear wife, make sure in my place, you are recommended to our Trojan host."""
Valerio Massimo (red. V1,1336,fior.,"A Milano fue ripressa la malvagità d' una donna in simile bugìa, nel tempo medesimo di questo signore della republica, in questo modo: ","A Milano è stata revivida l'iniquità di una donna in un luogo così nascosto. E ciò è avvenuto contemporaneamente a questo signore della repubblica, in modo specifico:

Milano, la malvagità di una donna in un oscuro luogo come quello, ha ritrovato forza contemporaneamente alla figura di questo sovrano della repubblica."
Filippo da Santa Croce,1323,tosc.,"E lamentavansi dell'iniquità d'Appio, e ripiagnevano la malavventurata beltà della pulcella e la necessità del padre.","""Voi piangevate per l'iniquità di Appio, e ristavolettevi per la disfortunatamente bellozza della pulizia e la necessità del padre.""

In modern Italian, the sentence would retain its structure but with updated language. The key phrases have been adapted while preserving their original meaning."
Brunetto Latini,1294,fior.,"Nella quale battaglia, certo io ebbi sempre ardire di ragionare di pace e sempre mi dolfi che non solamente la pace era schifata,","""Nell'战役具体哪一次， certamente io ho sempre avuto il coraggio di ponderare la pace e mi rilassavo sempre pensando che non solo la pace stava per essere considerata oscena, ma anche le altre forme di pacificazione erano oggetto di disapprovazione."""
