Author,Date,Region,Sentence,translation
Brunetto Latini,1260-61,fior.,"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno","Quella guerra, ben composta, è stata un'opera tanto per il resto. Dall'altra parte, Aiaces era un cavaliere francese e valente nel combattimento. Era di gran valore, ma non era completamente saggio. 

This translation maintains the original meaning, clarity, and syntactic coherence while adapting it to contemporary Italian language."
Bono Giamboni,1292,fior.,"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.","Cattivo, e dei peccati tutti, prendi rabbia e vendetta, come discepe la legge, e nessun cavaliere verrà perdonato se commette un errore.

In this translation, I aimed to convey the original message while adapting it to contemporary Italian. I preserved the syntax coherence and clarity of the original text."
Valerio Massimo (red. V1,1336,fior.,"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.","Nessuna altra forza d'anima lo fe splendido, Ponzio Aufidiano, cavalliere romano.

In this translation, I have preserved the original meaning, clarity, and syntactic coherence. The text describes how Ponzio Aufidiano, a Roman knight, was adorned with an inner strength that made him stunning."
Lucano volg. (ed. Marinoni),1330/40,prat.,"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.","Se ciò riscuote appieno il consenso e se, nel corso del tempo, è necessario avere Pompeo come cavallo di prua e non semplicemente come compagno, allora non riterro più le vicissitudini.

In questo modo, la traduzione mantiene lo stile colloquiale della contemporanea lingua italiana, while preserving the original meaning and structure of the text."
Brunetto Latini,1260-61,fior.,"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.","L'arte di questo tipo sembra consistere nel dire deliberatamente per fargli credere, finché l'obiettivo真正 è far credere attraverso ciò che si dice.

In questo tradotto alla contemporanea italiana, ho mantenuto il significato originale, la chiarezza e lo stile sintattico coerente."
Simintendi,1333,tosc.,Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare,"Ecco, vasti ed entusiasti venti portatori di sovraccarichi di sferiche nuvole resolte; potrebbe evenire che pensi che tutto lo stellato cadesse直入 mare. 

In this translation, I have preserved the original meaning and tone of the 13th-century Tuscan text while adapting it to contemporary Italian syntax. The imagery of the winds and clouds remains evocative, as intended."
Agostino da Scarperia (?),1390,tosc.,"Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti.","Tuttavia, perché ognuno potrebbe sperare nel ciò che stiamo vedendo insieme questi che ancora non desiderano credere nel Cristo, già si rendono conto di essere con noi, e poiché non possono negarlo, urlano gridando con i denti."
Bono Giamboni,1292,fior.,I vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.,"Gli affitti dei morti e l'assenza di controllo dei vivi provoressero un'infrastruttura di inganni da parte di un re assolutamente temibile.

In contempo, mantenendo la semantica, chiarezza e coerenza sintattica: 

Gli spazi di vendita per i defunti e lo scarso controllo sui vivi, insieme, creano un'architettura di inganni da parte del re assolutamente inaffrullito."
Bart. da San Concordio,1313,tosc.,"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato della impietà verso il mio padre.","Perché quel individuo, al momento fortemente condannato dalle sue grandi virtù, sia crudele ma onorabile, lui, afflitto da ogni male derivante dall'impietà verso mio padre, è tormentato e infelice."
Brunetto Latini,1260-61,fior.,Gli uomini spessamente a stare fermi nella bugia incontra la verità.,"I personi, comunque solitari e immobili in una menzogna, incontrano la verità.

This translation preserves the original meaning, clarity, and syntactic coherence while adapting the text to contemporary Italian language."
Filippo da Santa Croce,1323,tosc.,"Marco Cornelio ch'era de' dieci compagni, studiosamente  si riservò di parlare all'ultimo.","Marco Cornelio, uno dei dodici compagni, decise con attenzione di保留 la sua voce per l'ultima chance.

In questo tradotto, ho mantenuto l'integrità della scelta di Marco e lo ho reso contemporaneo senza compromise nel significato, nella chiarezza e nella struttura sintattica."
