Author,Date,Region,Sentence,translation
Brunetto Latini,1260-61,fior.,"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno","[ERROR]: Failed to connect to Ollama. Please check that Ollama is downloaded, running and accessible. https://ollama.com/download"
Bono Giamboni,1292,fior.,"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.","[ERROR]: Failed to connect to Ollama. Please check that Ollama is downloaded, running and accessible. https://ollama.com/download"
Valerio Massimo (red. V1,1336,fior.,"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.","[ERROR]: Failed to connect to Ollama. Please check that Ollama is downloaded, running and accessible. https://ollama.com/download"
Lucano volg. (ed. Marinoni),1330/40,prat.,"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.","[ERROR]: Failed to connect to Ollama. Please check that Ollama is downloaded, running and accessible. https://ollama.com/download"
Brunetto Latini,1260-61,fior.,"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.","[ERROR]: Failed to connect to Ollama. Please check that Ollama is downloaded, running and accessible. https://ollama.com/download"
Simintendi,1333,tosc.,Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare,"[ERROR]: Failed to connect to Ollama. Please check that Ollama is downloaded, running and accessible. https://ollama.com/download"
Agostino da Scarperia (?),1390,tosc.,"Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti.","[ERROR]: Failed to connect to Ollama. Please check that Ollama is downloaded, running and accessible. https://ollama.com/download"
Bono Giamboni,1292,fior.,I vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.,"[ERROR]: Failed to connect to Ollama. Please check that Ollama is downloaded, running and accessible. https://ollama.com/download"
Bart. da San Concordio,1313,tosc.,"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato della impietà verso il mio padre.","[ERROR]: Failed to connect to Ollama. Please check that Ollama is downloaded, running and accessible. https://ollama.com/download"
Brunetto Latini,1260-61,fior.,Gli uomini spessamente a stare fermi nella bugia incontra la verità.,"[ERROR]: Failed to connect to Ollama. Please check that Ollama is downloaded, running and accessible. https://ollama.com/download"
Filippo da Santa Croce,1323,tosc.,"Marco Cornelio ch'era de' dieci compagni, studiosamente  si riservò di parlare all'ultimo.","[ERROR]: Failed to connect to Ollama. Please check that Ollama is downloaded, running and accessible. https://ollama.com/download"
Cavalca,1330,tosc.,cose ch'io sapeva che erano fatte in Italia.,"[ERROR]: Failed to connect to Ollama. Please check that Ollama is downloaded, running and accessible. https://ollama.com/download"
Valerio Massimo (red. V1,1336,fior.,Corbio nipote d' Ortensio menò sua vita più bassa e più viziosa,"[ERROR]: Failed to connect to Ollama. Please check that Ollama is downloaded, running and accessible. https://ollama.com/download"
Brunetto Latini,1260-61,fior.,"Altressì uno amante chiamando merzé alla sua donna dice parole e ragioni molte, et ella si difende in suo dire.","[ERROR]: Failed to connect to Ollama. Please check that Ollama is downloaded, running and accessible. https://ollama.com/download"
Arte Am. Ovid. (B),1310/13,fior.,"Io mi ricordo (ch. 347) che essendo adirato scapigliai la mia donna. Ohi, quanti dì questa ira mi tolse!","[ERROR]: Failed to connect to Ollama. Please check that Ollama is downloaded, running and accessible. https://ollama.com/download"
Rim. Am. Ovid. (B),1310/13,fior.,colui del quale tu tti solevi dolere ch' era amante della tua donna;,"[ERROR]: Failed to connect to Ollama. Please check that Ollama is downloaded, running and accessible. https://ollama.com/download"
Fatti de' Romani (H+R),1313,fior.,"Ma no sapeano già le nomora di coloro dela congiurazione, ché la donna no nominava già li nomi.","[ERROR]: Failed to connect to Ollama. Please check that Ollama is downloaded, running and accessible. https://ollama.com/download"
Ceffi,1325,fior.,"Creti?  Certo quand'elli si mosse, elli ti dixe: ""O fedele mia donna, fa' che in mio luogo ti sia racomandato il nostro hoste troiano"".","[ERROR]: Failed to connect to Ollama. Please check that Ollama is downloaded, running and accessible. https://ollama.com/download"
Valerio Massimo (red. V1,1336,fior.,"A Milano fue ripressa la malvagità d' una donna in simile bugìa, nel tempo medesimo di questo signore della republica, in questo modo: ","[ERROR]: Failed to connect to Ollama. Please check that Ollama is downloaded, running and accessible. https://ollama.com/download"
Filippo da Santa Croce,1323,tosc.,"E lamentavansi dell'iniquità d'Appio, e ripiagnevano la malavventurata beltà della pulcella e la necessità del padre.","[ERROR]: Failed to connect to Ollama. Please check that Ollama is downloaded, running and accessible. https://ollama.com/download"
Brunetto Latini,1294,fior.,"Nella quale battaglia, certo io ebbi sempre ardire di ragionare di pace e sempre mi dolfi che non solamente la pace era schifata,","[ERROR]: Failed to connect to Ollama. Please check that Ollama is downloaded, running and accessible. https://ollama.com/download"
Bart. da San Concordio,1313,tosc.,"la seconda suole talora per la grande provedenzia fare timoroso, e la prima per l'ardire rendere altrui matto.","La seconda è spesso temuta per la grande provvidenza di far paura, mentre la prima è per il coraggio che fa folli gli altri."
Valerio Massimo (red. V1,1336,fior.,Andò nel campo de' Cartaginesi e tutta la legione trasse seco.,Andò nel campo dei Cartaginesi e portò con sé l'intera legione.
Zanobi da Strada,1361,tosc.,"Non lo volle cognoscere per nimico. Qesta è quella, la quale diede ardire al profeta Natan a riprendere con grande autoritade quello re, il quale avea peccato.","Non voleva riconoscerlo come nemico. Questa è la stessa persona che diede coraggio al profeta Natan per riprendere con grande autorità quel re, il quale aveva peccato."
Frontino volg.,1381,bologn.,"l'armi et insieme con loro passaseno tra li nimici, perçò se alcuno non avesse ardire de questo et sì avevano questo animo.","Armi e insieme con loro si passano tra i nemici, quindi se qualcuno non ha il coraggio di farlo e lo ha, allora lo hanno."
Giovanni da San Miniato,1415,tosc.,Unde ragionevolemente Iob è interpretato dolente;,"Io sono un uomo che soffre, ma non ho mai detto di essere un uomo che soffre."
Filippo da Santa Croce,1323,tosc.,"quello che sopra tutti gli altri perdonasse a' cittadini, e a cui più sicuramente possiate credere; poi ch'egli fu vostro comandatore.","Chi sopra tutti gli altri perdonava ai cittadini, e a chi più sicuramente potevate credere; poi che era il vostro comandante."
Zanobi da Strada,1361,tosc.,"in vano si domanda chi questo Libro scrivesse, con ciò sia cosa che fedelmente si debba credere che l'Auttore di quello fusse lo Spirito santo.","In vano si chiede chi abbia scritto questo libro, con ciò sia cosa che fedelmente si debba credere che l'autore di quello fosse lo Spirito Santo."
Agostino da Scarperia (?),1390,tosc.,"se non fosse usatissima, ciò parrebbe certo molto più incredibile: certo più agevolmente si può credere quello, posto che l'umano spirito al divino, ed il mutabile allo incommutabile","Se non fosse così comune, ciò sarebbe certamente molto più incredibile; certo è più facile credere quello, posto che lo spirito umano al divino e il mutabile all'incommutabile."
Brunetto Latini,1260-61,fior.,che prendessero la paga dal camarlingo per loro dispensa et immantenente andassero alla presenzia di messer lo papa per contradiare il passamento de' cavalieri che veniano di Cecilia in Toscana,che avrebbero ricevuto la retribuzione dal camarlingo per la loro dispensa e poi sarebbero andati alla presenza del papa per contraddire il passaggio dei cavalieri che venivano da Cecilia in Toscana
Bonsignori,1375-77,umbr.-tosc.,"Teseo reguardò Achelao fortemente meravigliandose e disse così: ""O messer Achelao, io vi prego che voi me diciate in che modo voi perdeste","Teseo guardò Achelao con grande meraviglia e disse: ""Oh signor Achelao, mi prego di raccontarmi come avete perso""."
Giovanni da San Miniato,1415,tosc.,"Io spero in messer Iesù di mandare tosto a voi Timoteo, acciocché io sia d'animo buono","Spero che il Signore Gesù ti invii presto, così posso essere in pace."
Brunetto Latini,1260-61,fior.,sanza fallo lo porco salvatico avanza l' uomo d' udire e 'l lupo cerviere del vedere,Il maiale selvaggio si avvicina all'uomo per ascoltare e il lupo cerviere per vedere.
Bono Giamboni,1292,fior.,uno luogo si mandano lancioni;  la quale cosa i cavalieri l' appellano capo di porco,Uno luogo dove vanno le lance; che cosa i cavalieri chiamano il capo del maiale.
Arte Am. Ovid. (B),1310/13,fior.,tenda le reti a li cerbi e sa bene in quali valle dimori il furioso porco cinghiare.,'Tenda le reti a li cerbi e sa bene in quali valle dimori il furioso porco cinghiare.'
Rim. Am. Ovid. (B),1310/13,fior.,"Ora spaventerai li disidirosi cervi con varie e diverse paure, o lo porco cenghiare caggia in terra passato collo spiedo.","Ora spaventerai i cervi disidirosi con varie e diverse paure, o il maiale cenghiare caggia in terra passato collo spiedo."
Brunetto Latini,1260-61,fior.,"tratta la natura delle cose incorporali le quali non conversano intra lle corpora, sì come Dio e le divine cose.","Le cose incorporee che non si trovano nei corpi, come Dio e le cose divine."
Bono Giamboni,1292,fior.,"Dio, per la quale si dispensano et iudicano tutte le cose.","Dio, che giudica e decide tutto."
Bonsignori,1375-77,umbr.-tosc.,"Unde gli poeti, parlando de lloro, dicono le virtute loro e dicono fabolosamente gli loro difetti, quando alcuna passava l'ordine a lloro deputato","I poeti, parlando di se stessi, dicono le loro virtù e dicono fabolosamente i loro difetti, quando qualcuno passa l'ordine a loro assegnato."
Giovanni dalle Celle (?),1396,tosc.,"e quella cosa, la quale è diricta et onesta, e con virtute, quella sola penso essere lo bene.","Quella cosa, che è diretta e onesta, e con virtù, quella sola penso essere il bene."
Fatti de' Romani (H+R),1313,fior.,"Quando li serpenti invellenava di giorno alcuno Romano, allora iera la maraviglia a vedere come li Psille si combattevano al veleno, ché elli imolavano tutto inazzi della loro salive","Quando i serpenti avvolgevano alcuni Romani di giorno, allora era meraviglia vedere come si combattevano contro il veleno, perché imolavano tutto inizialmente della loro saliva."
Chiose a Rim. Am. (B),1310-,fior.,"Dice il poeta: oh, che bella cosa è vedere apertamente con gli occhi quando tu glel fai diretro o in culo o in altro","Il poeta dice: Oh, quanto bello è vedere apertamente con gli occhi quando lo dici direttamente o dietro o in altro."
Cavalca,1330,tosc.,"ma pur questo fu colpa tua, però che volesti cercare di vedere con gli occhi corporali la cosa invisibile.","Ma anche se è stata colpa tua, volevi provare a vedere con gli occhi fisici la cosa invisibile."
Brunetto Latini,1260-61,fior.,"Vero è, ma non tine rispondo in questo tempo, perciò che ttu se' mio servo, o perciò ch' è tempo feriato, o perciò ch' io non debbo risponderti","La verità è, ma non ti rispondo in questo momento, quindi che tu sia il mio servitore, o perché è tempo di festa, o perché io non devo rispondere a te."
Fatti de' Romani (H+R),1313,fior.,sì convene che lli desse grande avere perché · lasciasse andare via.,"Sì, è chiaro che gli piace molto perché ha lasciato andare via."
Filippo da Santa Croce,1323,tosc.,"notabile esemplo a ciascuno che si guardasse di fare e di pensar tradigione, il servo, il quale gli avea accusati, fu francato, e fugli donata grande quantità di moneta","Un esempio notevole per chiunque si prendesse cura di fare e pensare tradizionale, il servo, che gli aveva accusato, fu liberato e gli furono date grandi quantità di moneta."
Valerio Massimo (red. Va),1336,tosc.,che sarebbe a llui cosa sconcia se ll'avesse commesso sì che lla colpa del servo e 'l gastigamento di Platone avesse meritato egualmente.,"Che sarebbe a lui cosa sconcia se l'avesse commesso, sì che la colpa del servo e il gastigamento di Platone avrebbero meritato egualmente."
Valerio Massimo (red. V1,1336,fior.,"mostroe massimamente le forze sue, dando lui re a questa cittade ne la quale nacque servo; al quale avvenne lunghissimamente lo imperio tenere","Mostra le sue forze in modo massiccio, concedendo il regno a questa città in cui è nato servo; a lui è stato concesso di tenere l'impero per un lungo periodo di tempo."
Brunetto Latini,1260-61,fior.,l' anima muta la sua forza per la propietade di quello corpo a cui ella si congiunge.,L'anima si unisce alla sua forza al corpo a cui è legata.
Cavalca,1308,tosc.,"sono due già non in una carne, ma in uno spirito, cioè Iddio, e l' anima. Onde in altro luogo dice S. Paolo: Chi s' accosta a Dio è uno spirito","Sono due già non in una carne, ma in uno spirito, cioè Dio, e l'anima. Onde in altro luogo dice S. Paolo: Chi s' accosta a Dio è uno spirito."
Fatti de' Romani (H+R),1313,fior.,"per tanto che Lucano il disse, il vi racontiamo. Ivi, quando l'anima di Pompeo ebe sentito la chiarità di lasusso, ella sì cognobe prima in  grande","Quindi Lucano disse che ti raccontiamo. Lì, quando l'anima di Pompeo ebbe sentito la chiarezza del lascito, essa si riconobbe prima in grande."
Bono Giamboni,1292,fior.,"Sicchè dolore è a udire, quando l' usare l' arme e la fatica ricusano, con grandissimo disonore come pecore essere","Sicuramente il dolore è di sentire, quando l'uso dell'arma e della fatica si rifiutano, con grande disonore come pecore essere"
Bono Giamboni,1292,fior.,et nonn ebbe in fastido Cristo cotali parole d'udire.,Et non ebbe in fastidio Cristo udire tali parole.
Prima catilinaria volg. (red. A),1294,fior.,"la moltitudine de' quali tu ài potuto vedere e riguardare lo studio e poco dinanzi udire le voci, e lle cui mani e lance apena posso ritenere.","La moltitudine di quelli che hai potuto vedere e guardare lo studio e poco prima udire le voci, e le cui mani e lance appena riesco a trattenere."
T. Alderotti (?),1295,fior.,"udire di belle novelle et odorare di belli fiori, come et quando et quanto si conviene","Udire di belle novelle e odorare di belli fiori, come e quando e quanto è appropriato."
Filippo da Santa Croce,1323,tosc.,"Il re entrò in uno giardino dietro al suo albergo, quasi come s'egli andasse pensando alla risposta.","Il re entrò in un giardino dietro l'albergo, quasi come se stesse pensando alla risposta."
Ceffi,1325,fior.,"Ma io disioso colà dove io non posso col corpo andare, con la mente vi volo","Ma io desideroso di lì dove io non posso andare con il corpo, con la mente vi vado"
