Author,Date,Region,Sentence,translation
Brunetto Latini,1260-61,fior.,"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno","Quella guerra è stata ben fatta per il suo scopo. Dall'altra parte, Aiace era un cavaliere francese e valoroso in armi, tanto più che non aveva una gran intelligenza.

(Note: I've kept the translation quite literal to preserve the original meaning and style of the sentence.)"
Bono Giamboni,1292,fior.,"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.","Cruello, e di tutte le colpe prendi vendetta, come dice la legge, e perdoni a nessun cavalierato che pecca.

(Note: ""cavaliere"" is an old-fashioned term for ""gentleman"", so I translated it to the more common phrase ""nessun cavalierato"", which means ""no noble person"". The original sentence seems to be using poetic language, and my translation tries to preserve that tone.)"
Valerio Massimo (red. V1,1336,fior.,"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.","Non c'è altra forza d'animo che abbia onorato Poncio Aufidio, cavaliere romano."
Lucano volg. (ed. Marinoni),1330/40,prat.,"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.","Se questo ti piace a tutti e se il tempo ha bisogno di un Pompeo come cavaliere e non come compagno, non ritornerò più ai fatti."
Brunetto Latini,1260-61,fior.,"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.","Il mio compito in questo campo sembra essere quello di affermare qualcosa con convinzione per far credere, il fine è fare credere attraverso la comunicazione."
Simintendi,1333,tosc.,Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare,"Here is the translation:

Ecco che i temporali estesi si addensano di nuvole decise; e potresti pensare che tutto il cielo cada nel mare."
Agostino da Scarperia (?),1390,tosc.,"Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti.","Tuttavia, chiunque sperasse nel fatto che persino questi che non sono ancora disposti a credere in Cristo, comunque già partecipano con noi e, perché non possono negare la verità, protestano interiormente.

(Note: I've taken into account the archaic Italian of the original sentence and translated it to modern Italian. The result is a more natural and idiomatic translation.)"
Bono Giamboni,1292,fior.,I vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.,"""Il mercato dei morti e le pressioni dei vivi fecero la frode di un fiero re.""

(Note: I've kept the translation as literal as possible, but it's worth noting that the original sentence is quite archaic and poetic, so a more modern translation might be more concise or idiomatic. This translation aims to preserve the original's flavor and syntax.)"
Bart. da San Concordio,1313,tosc.,"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato della impietà verso il mio padre.","Affinché colui che, a causa delle sue gravi colpe, è diventato crudele e dignitoso, sia liberato da ogni male e tormento dovuto all'ingiustizia commessa contro il mio padre."
Brunetto Latini,1260-61,fior.,Gli uomini spessamente a stare fermi nella bugia incontra la verità.,Gli uomini spesso si incontrano con la verità quando restano fermi nella menzogna.
